"standardized_trait_name","aliases","expected_unit_class","value_type","standard_unit","trait_class","notes","value_min","value_max","range_source","range_citation_quality","range_reference_doi_url"
"leaf_thickness","leaf thickness;leaf_thickness;leaf thickness (mm)","length","numeric","mm","leaf_economics","Leaf thickness; may be reported in mm or um.",0.01,20,"Pérez-Harguindeguy et al. 2013 Aust J Bot 61:167-234. DOI:10.1071/BT12225. Most leaves 0.05-1 mm; CAM succulents up to ~20 mm.","high","https://doi.org/10.1071/BT12225"
"photosynthetic_rate","photosynthetic rate;photosynthesis;amax;asat;net photosynthesis;assimilation rate;pmax;carbon assimilation","gas_exchange","numeric","umol_co2_per_m2_per_s","gas_exchange","Light-saturated net CO2 assimilation rate per unit leaf area.",0.1,60,"Kattge & Knorr 2007 Plant Cell Environ 30:1176-1190. DOI:10.1111/j.1365-3040.2007.01691.x; Kattge et al. 2020 TRY. Shade specialists ~0.5; fast-growing herbs up to ~50-60 umol/m2/s.","provisional",""
"stomatal_conductance","stomatal conductance;gs;gswat;stomatal conductance to water;gwat","gas_exchange","numeric","mmol_h2o_per_m2_per_s","gas_exchange","Stomatal conductance to water vapor; paired with photosynthesis for WUE.",0.5,2000,"Medlyn et al. 2011 Glob Change Biol 17:2134-2144. DOI:10.1111/j.1365-2486.2010.02375.x. Typical operational range 50-500 mmol/m2/s; extremes 0.5-2000.","provisional",""
"wood_density","wood density;wood specific gravity;stem density;wood_density","density","numeric","g_per_cm3","stem_structure","Wood density; balsa ~0.12; most tropical hardwoods 0.5-0.9; theoretical max ~1.4.",0.05,1.4,"Chave et al. 2009 Ecol Lett 12:351-366. DOI:10.1111/j.1461-0248.2009.01285.x; Zanne et al. 2009 Dryad Global Wood Density Database. DOI:10.5061/dryad.234.","high","https://doi.org/10.1111/j.1461-0248.2009.01285.x"
"stem_specific_density","stem specific density;ssd;stem_specific_density;stem specific density (mg/mm3);ssd (mg/mm3)","density","numeric","g_per_cm3","stem_structure","Some studies separate stem from bulk wood tissue; same physical constraints.",0.05,1.4,"Chave et al. 2009 Ecol Lett 12:351-366. DOI:10.1111/j.1461-0248.2009.01285.x.","moderate","https://doi.org/10.1111/j.1461-0248.2009.01285.x"
"stem_diameter","stem diameter;dbh;diameter breast height;diameter at breast height;trunk diameter;basal diameter;stem dbh","length","numeric","cm","stem_structure","Stem or trunk diameter; dbh most common for trees. Confirm measurement height.",0.01,1000,"Chave et al. 2014 Glob Change Biol 20:3177-3190. DOI:10.1111/gcb.12629. Seedlings ~0.01 cm; giant sequoias up to ~1000 cm diameter.","provisional",""
"bark_thickness","bark thickness;bark_thickness;outer bark;bark depth","length","numeric","mm","stem_structure","Outer bark thickness; fire resistance and insulation trait.",0.1,200,"Pausas 2015 New Phytol 207:583-585. DOI:10.1111/nph.13349. Thin-barked species ~0.5 mm; fire-adapted thick-barked trees up to ~200 mm.","provisional",""
"vessel_density","vessel density;vessel_density;conduit density;vessels per mm2","density","numeric","vessels_per_mm2","stem_structure","Number of xylem conduits per mm2 of xylem cross-section; tradeoff with vessel diameter.",0.1,3000,"Zanne et al. 2010 Am J Bot 97:519-531. DOI:10.3732/ajb.0900178. Vessel-rich angiosperms up to ~3000; diffuse-porous ~50-500.","provisional",""
"xylem_vessel_diameter","xylem vessel diameter;vessel diameter;conduit diameter;mean vessel diameter;tracheid diameter","length","numeric","um","stem_structure","Mean xylem conduit lumen diameter; determines conductance by Hagen-Poiseuille (r^4) scaling.",5,500,"Wheeler et al. 2005 Am J Bot 92:1588-1600. DOI:10.3732/ajb.92.9.1588. Gymnosperm tracheids ~5-50 um; angiosperm vessels ~10-500 um.","provisional",""
"huber_value","huber value;huber_value;sapwood area leaf area ratio;sa la ratio","ratio","numeric","m2_per_m2","stem_structure","Sapwood cross-sectional area per unit leaf area; hydraulic sufficiency index.",1e-05,0.01,"Tyree & Ewers 1991 New Phytol 119:345-360. DOI:10.1111/j.1469-8137.1991.tb00035.x. Typical range 1e-5 to 1e-2 m2/m2.","provisional",""
"seed_mass","seed mass;seed weight;seed_mass","mass","numeric","mg","whole_plant","Seed mass; often per-seed mean values. Min = orchid dust seeds; max = coco de mer.",0.001,2.5e+07,"Moles et al. 2005 Science 307:576-580. DOI:10.1126/science.1105809; Kattge et al. 2020 TRY. DOI:10.1111/gcb.14904.","high","https://doi.org/10.1126/science.1105809"
"fruit_mass","fruit mass;fruit weight;fruit_mass;fruit fresh mass","mass","numeric","mg","whole_plant","Fruit mass including pericarp; distinct from seed mass. Report basis clearly.",1,5e+06,"Moles et al. 2005 Science 307:576-580. DOI:10.1126/science.1105809. Range spans berries ~1 mg to Theobroma/coconut-sized fruits ~5e6 mg.","provisional",""
"plant_height","plant height;height;max height;plant_height;canopy height;maximum height;plant height (mm);height (mm)","length","numeric","m","whole_plant","Plant or canopy height; confirm life stage. Min = small mosses; max = tallest Sequoia.",0.001,120,"Díaz et al. 2016 Nature 529:167-171. DOI:10.1038/nature16489; Kattge et al. 2020 TRY; Koch et al. 2004 (tallest Sequoia sempervirens ~116 m).","moderate","https://doi.org/10.1038/nature16489"
"specific_root_length","specific root length;srl;specific_root_length;root length per mass","ratio","numeric","m_per_g","root_economics","Fine root length per unit dry mass; root analog of SLA.",1,1000,"Weemstra et al. 2016 New Phytol 211:1213-1229. DOI:10.1111/nph.14065. Thin high-SRL roots ~500-1000 m/g; thick storage roots ~1-10 m/g.","provisional",""
"root_tissue_density","root tissue density;root_tissue_density;rtd;root density;fine root density","density","numeric","g_per_cm3","root_economics","Fine root tissue density; root economics spectrum complement to SRL.",0.05,1,"Kramer-Walter et al. 2016 J Ecol 104:796-807. DOI:10.1111/1365-2745.12562. Mycorrhizal fast roots ~0.05-0.2; dense storage roots up to ~1.0 g/cm3.","provisional",""
"p50","p50;xylem p50;hydraulic p50;psi50;p_50;cavitation resistance;water potential at 50 percent loss","pressure","numeric","MPa","hydraulics","Water potential at 50% hydraulic conductivity loss (cavitation vulnerability). Values must be negative MPa.",-20,-0.05,"Choat et al. 2012 Nature 491:752-755. DOI:10.1038/nature11688. Global range: tropical angiosperms ~-1 MPa; desert shrubs < -10 MPa; most angiosperms -0.5 to -10 MPa.","provisional",""
"p88","p88;xylem p88;psi88;p_88;hydraulic failure threshold;water potential at 88 percent loss","pressure","numeric","MPa","hydraulics","Water potential at 88% hydraulic conductivity loss; practical xylem failure threshold. Values must be negative MPa.",-25,-0.1,"Domec & Gartner 2001 Tree Physiol 21:1031-1039. DOI:10.1093/treephys/21.14.1031; Choat et al. 2012 Nature 491:752-755. DOI:10.1038/nature11688.","provisional",""
"turgor_loss_point","turgor loss point;tlp;psi_tlp;leaf turgor loss;wilting point;osmotic potential at full turgor","pressure","numeric","MPa","hydraulics","Leaf water potential at cell turgor loss. Values must be negative MPa. Tightly correlated with P50.",-8,-0.1,"Bartlett et al. 2012 Ecol Lett 15:393-405. DOI:10.1111/j.1461-0248.2012.01751.x. Most species -0.5 to -4 MPa; extreme xerophytes < -8 MPa.","provisional",""
"stem_hydraulic_conductivity","stem hydraulic conductivity;ks;stem ks;specific hydraulic conductivity;ksat stem","hydraulic_conductivity","numeric","kg_per_m_per_s_per_MPa","hydraulics","Stem-area-normalized hydraulic conductance. Unit heterogeneity is high in literature; flag mismatches.",1e-04,100,"Tyree & Ewers 1991 New Phytol 119:345-360. DOI:10.1111/j.1469-8137.1991.tb00035.x. Range across angiosperms and gymnosperms ~0.001-100 kg m-1 s-1 MPa-1.","provisional",""
"leaf_specific_hydraulic_conductivity","leaf specific hydraulic conductivity;kl;leaf ks;leaf area specific conductivity","hydraulic_conductivity","numeric","kg_per_m_per_s_per_MPa","hydraulics","Hydraulic conductance per unit leaf area; links water supply to photosynthetic demand.",1e-05,10,"Meinzer et al. 2009 Tree Physiol 29:429-437. DOI:10.1093/treephys/tpp018. Typical range 1e-5 to 10 kg m-1 s-1 MPa-1.","provisional",""
"growth_form","growth form;growth_form;life form;lifeform;plant form;raunkiaer;habit","categorical","categorical","category","whole_plant","Categorical growth form. Valid values: tree;shrub;herb;grass;vine;liana;subshrub;fern;moss;epiphyte;succulent;palm.",,,"Raunkiaer 1934 Life Forms of Plants (Oxford); Díaz et al. 2016 Nature 529:167-171. DOI:10.1038/nature16489.","provisional",""
"leaf_phenology","leaf phenology;leaf_phenology;deciduousness;deciduous evergreen;phenology;leaf habit","categorical","categorical","category","leaf_economics","Categorical leaf phenology. Valid values: evergreen;deciduous;semi-deciduous;drought-deciduous;cold-deciduous.",,,"Reich et al. 2014 Nature 506:78-81. DOI:10.1038/nature12902.","provisional",""
"dispersal_syndrome","dispersal syndrome;dispersal_syndrome;diaspore type;dispersal mode;dispersal type","categorical","categorical","category","whole_plant","Categorical dispersal mode. Valid values: anemochory;endozoochory;epizoochory;hydrochory;autochory;myrmecochory;barochory.",,,"van der Pijl 1982 Principles of Dispersal in Higher Plants (Springer); Vittoz & Engler 2007 Plant Ecol 192:313. DOI:10.1007/s11258-007-9298-3.","provisional",""
"leaf_cellulose","leaf cellulose;leaf cellulose (%);leaf_cellulose","percent","numeric","percent","leaf_chemistry","Leaf cellulose content as percent dry mass",0,60,"Wright et al. 2004 TRY; typical range 5-45%","provisional",""
"leaf_lignin","leaf lignin;leaf lignin (%);leaf_lignin","percent","numeric","percent","leaf_chemistry","Leaf lignin content as percent dry mass",0,60,"Wright et al. 2004 TRY; typical range 5-40%","provisional",""
"leaf_osmotic_potential","leaf osmotic potential;leaf osmotic potential (mpa);leaf_osmotic_potential;osmotic potential","pressure","numeric","MPa","leaf_hydraulics","Leaf osmotic potential at full turgor; negative values expected",-10,-0.01,"Bartlett et al. 2012 Ecol Lett; typical -0.5 to -3.0 MPa","provisional",""
"leaf_pubescence","leaf pubescence;leaf pubescence (%);leaf_pubescence;pubescence","percent","numeric","percent","leaf_morphology","Leaf surface pubescence as percent coverage",0,100,"Observed Dryad datasets; 0-100%","provisional",""
"leaf_toughness","leaf toughness;leaf toughness (n);leaf_toughness;toughness","force","numeric","N","leaf_morphology","Leaf toughness measured as force to punch (N)",0,20,"Observed Dryad datasets; force units variable","provisional",""
"senescence_date","senescence date;senescence date (doy);senescence_date;leaf senescence","doy","numeric","DOY","phenology","Day of year of leaf senescence",1,366,"Day of year 1-366","provisional",""
