"site_id","cluster","latitude","longitude","DDT","PCP","delta13C","delta15N"
"S025","Central",35.0066811041022,-118.160817763051,1.66295688942849,0.736994995169026,-25.0108616197292,7.93489951961729
"S026","South",29.78891361556,-110.099945154193,0.01,1.44856302433746,-26.064591127743,5.91238342664814
"S027","Central",36.3848196905466,-118.216139938933,1.26800697869753,0.91376324178781,-24.5051150956296,7.83939995256467
"S028","North",45.1167827525528,-122.034147051948,4.3663238850934,2.59616242429524,-22.6787026691133,10.0961849920184
"S029","South",30.6764714093407,-112.465964334047,0.185032698876886,1.24976073945499,-24.9934927258243,5.17969134865772
"S030","North",45.3703478395899,-123.413557561796,5.1942764244196,2.50171229278729,-22.8865370826007,10.1780216062886
"S031","North",44.5225949644367,-123.093825914764,4.67965984962428,2.08108002698319,-22.4997381396262,9.32277625040369
"S032","North",45.2407997343253,-120.502896637168,3.41838932088043,2.47839704117435,-22.396207417447,8.99633006566042
"S033","Central",37.1496428634364,-117.949311813266,2.38807625632609,0.870318632326904,-23.88814826961,8.61710806705625
"S034","South",30.4125160756073,-112.538097934415,0.168008698297413,0.426589608449294,-24.8907323407131,7.00347415732113
"S035","Central",36.9978128628344,-118.190414415099,2.75236806647657,1.62286417514541,-23.9405229309171,7.6960344216139
"S036","North",46.6933054216574,-118.925058959545,4.11584311852563,4.1372462362559,-20.8066593443271,9.23747303273937
"S037","Central",36.2635940722606,-117.372919694064,1.8614466661841,1.45309405779913,-23.9573040581658,6.88856923111109
"S038","Central",34.5703865854971,-116.709173272192,1.9291535156364,0.386583807254929,-25.3697960805098,8.19395518864444
"S039","North",46.1969471387778,-120.944588331803,4.36541925667634,3.20158686106411,-21.8465513007064,8.56024105227019
"S040","South",27.7675765731913,-111.441469555029,0.01,0.735489786846437,-25.741601565094,5.04319044722667
"S041","Central",37.6811447133082,-118.092250835625,3.36276186738698,1.50114918486086,-25.2150573369978,6.94524203292336
"S042","South",29.516876830838,-111.858364966858,0.01,0.898125229867626,-26.0217892685263,6.45800563353101
"S043","Central",37.0000754608784,-119.344667169221,2.30603465420224,0.91434488595705,-24.4093568683645,9.7512038653798
"S044","North",43.760419634896,-121.71497150216,3.30038021422389,2.85640190957605,-21.9239481127474,9.24796680621761
"S045","South",28.6571613778675,-109.685829559394,0.01,1.12551700775763,-25.9479854482709,6.37815120302359
"S046","North",45.7552954469862,-123.550810584447,4.99521140998628,2.69425178497568,-21.8079538055673,10.1036350197008
"S047","North",45.998632359185,-123.10766113132,3.64014977673637,3.0066783671797,-20.9103292030283,9.08298922276817
"S048","South",30.821082551407,-113.775070015839,0.568230109244375,0.269096412500078,-26.977202337261,7.42251772047088
"S049","North",43.8484908133674,-123.526394179739,3.73788712148935,1.85962573067331,-21.8779501952803,9.80533499969776
"S050","South",30.1803500000433,-109.14345751723,0.560072702203737,2.03928499973952,-27.1819529273543,5.67104976101058
"S051","Central",36.8966712421155,-118.629974041084,3.00942868674318,1.5537878462332,-23.915141163674,8.81668052678664
"S052","Central",35.9347851785123,-117.754132544815,2.26165554786959,1.48003575226676,-24.5143837736213,8.41807584176378
"S053","Central",36.4663791941383,-117.933691768953,2.86959029794445,1.22772344968976,-23.761559193331,7.64417666888346
"S054","North",44.8428345011992,-124.777333494601,4.22563114869136,1.78200936378667,-22.2012371323073,10.1826357318596
"S055","Central",36.5033573811305,-115.647803344824,2.33391371636996,1.69669028702722,-25.5270986707016,6.84171236079343
"S056","North",45.7955959674525,-120.402840178493,3.88845412702887,3.38226868847534,-23.4136683137506,9.09327914546048
"S057","South",29.0118500473358,-112.487644727274,0.33631711556195,0.163302435757767,-26.0020169885584,6.22831571413063
"S058","Central",36.4801971608791,-117.958954856181,2.09759768845077,0.838198444520203,-24.4864061111559,8.29851223670565
"S059","Central",37.8362350918625,-119.085767546899,2.49651795424146,0.811263712055196,-24.4814799716317,8.5650442780004
"S060","South",29.7404708452529,-110.899808382016,0.333667024840029,1.66342863718811,-26.4086258751468,5.87898682267722
