Grassland,Year,LDMC,[N],ANP
mixture,2016,22.3,16.62,225.56
mixture,2016,16.74,17.57,278.9
mixture,2016,22.33,14.82,263.91
mixture,2016,19.76,15.51,326.33
mixture,2016,20.65,12.66,307.34
mixture,2016,19.93,16.87,280.59
mixture,2016,21.9,16.36,255.65
mixture,2016,19.5,14.64,291.8
mixture,2016,21.71,16.84,310.55
mixture,2016,17.01,20.26,300.93
mixture,2016,18.61,21.96,315.06
mixture,2016,19.1,19.72,302.85
mixture,2016,24.72,9.37,275.01
mixture,2016,19.65,13.51,297.12
mixture,2016,19.09,11.97,326.88
mixture,2016,16.51,14.2,299.72
mixture,2016,12.39,17.33,416.13
mixture,2016,12.66,15.34,355.18
mixture,2016,14.64,18.11,322.31
mixture,2016,16.31,15.92,284.85
mixture,2016,8.42,19.09,419.63
mixture,2016,8.53,20.69,433.49
mixture,2016,15.08,20.69,371.73
mixture,2016,18.34,20.42,362.02
mixture,2016,25.79,18.02,291.41
mixture,2016,22.74,13.77,267.11
mixture,2016,18.08,13.31,342.91
mixture,2016,14.31,16.83,312.01
mixture,2016,17.65,17.54,358.41
mixture,2016,20.34,9.36,333.51
mixture,2016,17.03,15.34,289.56
mixture,2016,13.17,14.92,378.89
mixture,2016,20.15,14.47,276.58
mixture,2016,8.91,21.04,487.88
mixture,2016,16.19,15.91,318.56
mixture,2016,9.33,17.54,422.74
mixture,2016,15.32,16.02,304.88
mixture,2016,10.96,17.12,369.74
mixture,2017,22.06,19.12,321.34
mixture,2017,25.4,17.51,255.39
mixture,2017,27.03,16.18,221.37
mixture,2017,23.92,15.89,242.15
mixture,2017,19.28,20.3,291.6
mixture,2017,19.16,19.37,327.64
mixture,2017,23.76,18.75,236.07
mixture,2017,24.45,20.02,257.45
mixture,2017,19.74,21.53,326.77
mixture,2017,20.44,22.46,304.07
mixture,2017,22.53,21.31,283.99
mixture,2017,23.4,19.1,309
mixture,2017,23.77,18,267.11
mixture,2017,21.89,18.19,325.35
mixture,2017,24.72,18.51,281.25
mixture,2017,27.21,15.88,227.99
mixture,2017,28.76,15.42,222.41
mixture,2017,18.14,16.48,312.85
mixture,2017,18.85,16.75,312.74
mixture,2017,28.81,16.09,211.58
mixture,2017,29.34,16.1,207.58
mixture,2017,19.48,19.24,311.7
mixture,2017,20.49,16.1,296.03
mixture,2017,21.27,18.04,299.82
mixture,2017,19.25,17.38,335.08
mixture,2017,19.55,19.93,351.39
mixture,2017,20.54,18.85,270.89
mixture,2017,24.61,17.58,210.73
mixture,2017,20.17,18.94,284.28
mixture,2017,26.22,17.81,244.43
mixture,2017,26.82,18.6,226.39
mixture,2017,29.62,16.16,194.53
mixture,2017,32.08,14.93,187.18
mixture,2017,20.77,17.36,299.12
mixture,2017,25.62,18.28,219.23
mixture,2017,24.91,16.02,229.83
mixture,2017,21.99,19.6,277.69
mixture,2017,25.51,19.91,265.33
mixture,2017,26.27,18.43,262.59
mixture,2017,21.86,18.3,258.58
mixture,2017,26.56,17.69,193.81
mixture,2017,21.46,18.83,272.72
mixture,2017,26.9,18.3,247.81
mixture,2017,27.03,18.24,224.88
mixture,2017,30.6,16.43,194.33
mixture,2017,31.08,15.48,194.46
mixture,2017,21.24,18.48,299.82
mixture,2017,25.28,18.23,228.14
mixture,2017,25.5,16.2,233.16
mixture,2017,21.86,18.6,290.14
mixture,2017,26.47,19.21,262.41
mixture,2017,26.33,18.43,264.8
mixture,2017,22.69,20.78,303.05
mixture,2017,35,17.59,165.92
mixture,2017,25.14,17.52,239.09
mixture,2017,24.03,16.8,245.99
mixture,2017,26.55,15.98,234.41
mixture,2017,20,16.98,310.45
mixture,2017,21.23,17.32,331.28
mixture,2017,25.07,17.92,277.51
mixture,2017,26.42,18.52,262.59
mixture,2017,25.67,18.14,300.43
mixture,2017,26.9,16.95,246.24
mixture,2017,22.97,19.61,325.02
mixture,2017,23.51,20.29,379.78
mixture,2017,25.19,20.18,231.99
mixture,2017,22.01,19.32,249.14
mixture,2017,16.43,21.07,352.69
mixture,2017,22.45,19.77,269.9
mixture,2017,19.93,23.76,331.06
mixture,2017,21.67,24.03,310.34
mixture,2017,26.57,19.77,225.48
mixture,2017,26.36,18.74,216.02
mixture,2017,23.24,18.72,254.45
mixture,2017,30.82,16.84,194.2
mixture,2017,28.82,16.13,191.68
mixture,2017,29.82,17.68,209.05
mixture,2017,30.16,17.18,197.08
mixture,2017,21.95,19.61,288.3
mixture,2017,17.67,19.12,302.85
mixture,2017,21.39,18.52,264.53
mixture,2017,19.02,18.53,275.01
mixture,2017,19.68,19.95,316.01
mixture,2017,21.23,19.06,241.66
mixture,2017,15.76,20.06,349.99
mixture,2017,22.9,17.73,231.76
mixture,2017,15.54,18.14,320.05
mixture,2017,16.09,20.89,384.77
mixture,2017,22.22,20.02,316.11
mixture,2017,22.68,21.65,326.77
mixture,2017,23.67,17.57,271.44
mixture,2017,22.86,16.99,264.35
mixture,2017,21.98,19.24,239.73
mixture,2017,18.68,19.66,324.48
mixture,2017,18.7,22.23,345.21
mixture,2017,18.94,23.21,359.25
mixture,2017,25.83,18.04,204.34
mixture,2017,25.09,16.2,222.63
mixture,2017,28.04,15.44,192.65
mixture,2017,20.26,18.99,266.31
mixture,2017,24.46,17.41,209.47
mixture,2017,20.42,17.07,246.98
mixture,2017,23.97,17.66,234.73
mixture,2017,21.06,19.02,255.56
mixture,2018,26.65,17.86,268.82
mixture,2018,26.88,15.53,246.65
mixture,2018,21.42,18.55,313.06
mixture,2018,24.82,12.46,300.12
mixture,2018,23.19,17.02,294.35
mixture,2018,24.9,18.32,254.88
mixture,2018,23.93,20.06,223.38
mixture,2018,23.99,17.48,265.24
mixture,2018,22.24,15.77,343.83
mixture,2018,22.67,20.23,331.73
mixture,2018,23.29,19.38,314.84
mixture,2018,22.8,19.66,337.67
mixture,2018,21.91,18.03,324.59
mixture,2018,21.45,20.08,372.85
mixture,2018,23.99,14.29,314.84
mixture,2018,26.63,19.6,304.58
mixture,2018,26.9,18.17,286.47
mixture,2018,25.25,17.18,258.75
mixture,2018,28.1,16.61,271.53
mixture,2018,28.26,15.72,274.09
mixture,2018,26.77,16.02,271.35
mixture,2018,25.31,17.23,275.1
mixture,2018,25.26,16.15,297.42
mixture,2018,27.88,16.97,237.33
mixture,2018,27.54,21.3,242.31
mixture,2018,26.77,17.73,265.33
mixture,2018,28.04,14.1,227.38
mixture,2018,30.02,12.93,212.58
mixture,2018,25.74,12.27,261.36
mixture,2018,26.42,14.67,300.43
mixture,2018,27.85,15.2,276.58
mixture,2018,28.63,13.38,234.88
mixture,2018,31.97,10.29,214.22
mixture,2018,31.11,12.88,204.14
mixture,2018,30.06,15.21,221.29
mixture,2018,32.45,14.64,191.62
mixture,2018,30.42,14.17,207.1
mixture,2018,27.69,17.1,281.15
mixture,2018,27.65,16.81,280.87
mixture,2018,29.53,14,233.31
mixture,2018,27.57,14.17,275.93
mixture,2018,31.79,15.26,197.28
mixture,2018,30.2,14.47,211.37
mixture,2018,29.02,14.11,269.81
mixture,2018,29.98,14.54,257.45
mixture,2018,30.28,14.78,225.33
mixture,2018,32.04,14.97,213.22
mixture,2018,28.81,15.75,250.98
mixture,2018,31.55,16.08,227
mixture,2018,33.87,15.73,197.55
mixture,2018,28.83,16.2,247.89
mixture,2018,31.05,14.97,241.58
mixture,2018,33.83,16.27,195.57
mixture,2018,34.37,14.71,204.14
mixture,2018,33.88,15.42,200.68
mixture,2018,34.61,15.09,193.49
mixture,2018,28.62,13.77,258.75
mixture,2018,30.35,14.82,221
mixture,2018,28.78,14.06,256.25
mixture,2018,32.01,13.84,244.68
mixture,2018,34.29,11.6,216.24
mixture,2018,36.49,14.65,190.21
mixture,2018,34.27,13.78,216.82
mixture,2018,32.88,12.95,215.01
mixture,2018,30.88,13.53,240.78
mixture,2018,31.16,14.74,250.31
mixture,2018,34.92,14.68,221
mixture,2018,39.16,14.81,176.29
mixture,2018,30.47,15.6,236.22
mixture,2018,33.85,15.2,240.78
mixture,2018,32.43,16.29,258.32
mixture,2018,32.79,15.01,238.13
mixture,2018,30.43,13.05,253.94
mixture,2018,29.12,15.21,276.3
mixture,2018,31.88,15.54,246.07
mixture,2018,32.97,13.76,229.98
mixture,2018,31.03,14.94,261.62
mixture,2018,32.36,12.89,256.51
mixture,2018,31.84,17.35,231.29
mixture,2018,30.74,15.6,242.07
mixture,2018,33.06,16.21,221.59
mixture,2018,30.7,14.94,228.29
mixture,2018,28.87,17.85,280.78
mixture,2018,25.32,16.63,362.39
mixture,2018,31.24,13.89,226.24
mixture,2018,29.61,18.24,246.65
mixture,2018,30.79,14.8,229.83
mixture,2018,28.75,18.6,259.88
mixture,2018,31.93,13.23,248.64
mixture,2018,25.74,18.63,272.72
mixture,2018,27.89,18.48,266.66
mixture,2018,30.05,11.24,258.84
mixture,2018,27.81,13.07,269.9
mixture,2018,30.84,15.97,215.8
mixture,2018,28.09,10.04,280.59
mixture,2018,29.43,14.5,242.88
mixture,2018,29.26,14.36,249.81
mixture,2018,28.92,13.18,254.96
mixture,2018,30.65,14.52,218.49
mixture,2018,25.46,12.72,321.56
mixture,2018,31.53,13.64,212.72
mixture,2018,24.95,15.97,273.54
mixture,2018,33.21,11.99,207.44
mixture,2018,30.72,12.78,250.06
mixture,2019,21.05,15.83,327.31
mixture,2019,23.91,14.55,284.56
mixture,2019,26.05,12.12,249.98
mixture,2019,22.73,13.19,262.5
mixture,2019,18.21,13.86,292.78
mixture,2019,16.89,11.5,432.91
mixture,2019,18.93,12.36,334.74
mixture,2019,21.29,10.29,307.04
mixture,2019,20,13.44,312.01
mixture,2019,18.24,15.51,348.35
mixture,2019,17.89,16.92,373.35
mixture,2019,22.1,13.09,291.7
mixture,2019,20.27,11.6,312.53
mixture,2019,16.97,21.72,612.83
mixture,2019,23.91,15.22,347.77
mixture,2019,27,11.38,326.99
mixture,2019,26.06,12.46,328.08
mixture,2019,23.94,13.81,360.57
mixture,2019,25.07,13.79,344.17
mixture,2019,27.04,11.69,297.62
mixture,2019,30.8,13.69,250.06
mixture,2019,20.87,14.24,427.15
mixture,2019,21.99,13.51,405.68
mixture,2019,22.64,12.72,363.97
mixture,2019,21.59,14.21,405.41
mixture,2019,20.92,16.51,425.72
mixture,2019,21.85,18.38,313.9
mixture,2019,21.71,18.46,318.13
mixture,2019,18.93,19.87,387.49
mixture,2019,23.65,15.19,288.5
mixture,2019,24.66,13.39,288.01
mixture,2019,33.93,12.95,184.38
mixture,2019,43.08,11.12,138.38
mixture,2019,30.16,14.62,202.3
mixture,2019,28.49,12.4,226.77
mixture,2019,34.27,11.73,167.71
mixture,2019,27.3,15.27,191.04
mixture,2019,23.14,17.75,345.68
mixture,2019,23.02,16.17,317.07
mixture,2019,23.34,17.96,375.61
mixture,2019,21.42,20.97,440.51
mixture,2019,26.32,17.86,269.72
mixture,2019,20.94,18.27,372.35
mixture,2019,26.45,14.05,308.79
mixture,2019,26.47,15.32,316.96
mixture,2019,26.29,17.91,272.44
mixture,2019,27.49,16.36,251.07
mixture,2019,27.6,16.29,280.78
mixture,2019,27.16,17.05,259.79
mixture,2019,26.81,16.82,225.18
mixture,2019,22.32,19.22,296.83
mixture,2019,28.03,15.05,255.31
mixture,2019,15.62,24.42,560.05
mixture,2019,23.72,17.83,288.3
mixture,2019,22.26,18.26,325.24
mixture,2019,22.99,16.86,327.31
mixture,2019,22.4,18.38,345.1
mixture,2019,19.68,19.35,350.81
mixture,2019,19.48,20.84,373.35
mixture,2019,26.82,14.65,288.88
mixture,2019,27.48,15.53,266.84
mixture,2019,26.77,15.1,295.73
mixture,2019,29.43,15.17,256.51
mixture,2019,28.48,14.36,256.33
mixture,2019,25.79,15.63,323.83
mixture,2019,26.35,16.97,297.02
mixture,2019,35.31,14.03,189.7
mixture,2019,36.36,15.43,195.7
mixture,2019,22.9,16.2,295.93
mixture,2019,27.7,19.08,265.33
mixture,2019,24.16,18.16,332.84
mixture,2019,27.37,16.4,252.67
mixture,2019,24.15,17.98,314.42
mixture,2019,22.3,19.52,373.98
mixture,2019,28.43,14.26,257.71
mixture,2019,26.78,13.61,276.67
mixture,2019,27.35,14.27,288.59
mixture,2019,31.05,14.94,229.75
mixture,2019,25.58,16.46,250.23
mixture,2019,26.58,17.11,244.59
mixture,2019,26.41,17.46,234.88
mixture,2019,24.21,17.19,255.82
mixture,2019,20.94,21.35,386.45
mixture,2019,20.43,22.36,372.6
mixture,2019,27.58,17.83,231.99
mixture,2019,25.99,18.43,244.27
mixture,2019,26.99,17.47,250.48
mixture,2019,21.33,19.5,328.74
mixture,2019,22.3,21.56,337.44
mixture,2019,18.08,17.9,385.42
mixture,2019,22.7,17.77,287.15
mixture,2019,25.78,15.44,244.1
mixture,2019,22.52,19.04,286.09
mixture,2019,20.16,22.92,405.14
mixture,2019,28.56,15.41,226.62
mixture,2019,26.53,17.59,242.72
mixture,2019,27.45,16.65,239.09
mixture,2019,23.99,21.39,322.74
mixture,2019,22.98,20.67,294.35
mixture,2019,23.82,19.96,309.72
mixture,2019,27.92,17.17,220.92
mixture,2019,20.1,20.18,316.54
mixture,2019,29.81,16.64,214.51
mixture,2019,29.34,16.58,230.44
mixture,2020,20.9,18.07,293.17
mixture,2020,23.2,16.24,270.08
mixture,2020,23.13,18.81,298.72
mixture,2020,22.17,14.44,276.67
mixture,2020,21.56,16.15,285.61
mixture,2020,23.95,19,267.47
mixture,2020,20.84,20.04,258.75
mixture,2020,22.79,17.66,257.19
mixture,2020,21.95,14.14,290.73
mixture,2020,23.13,16.79,266.84
mixture,2020,23.36,18.2,269.63
mixture,2020,23.35,16.1,266.31
mixture,2020,22.78,9.2,279.09
mixture,2020,17.05,22.35,476.73
mixture,2020,22.29,18.01,260.05
mixture,2020,28.47,15.41,204.48
mixture,2020,28.05,15.14,211.65
mixture,2020,27.55,14.69,226.46
mixture,2020,26.39,16.66,246.9
mixture,2020,28.01,14.54,211.65
mixture,2020,29.61,14.68,199.14
mixture,2020,25.92,14.97,225.93
mixture,2020,25.21,16.83,246.65
mixture,2020,25.76,16.42,230.75
mixture,2020,25.15,16.25,242.56
mixture,2020,23.4,16.78,281.06
mixture,2020,22.57,17.44,365.07
mixture,2020,25.33,15.64,310.34
mixture,2020,20.77,19.19,544.15
mixture,2020,26.5,16.3,304.37
mixture,2020,27.06,13.6,266.84
mixture,2020,30.46,12.88,228.6
mixture,2020,29.3,16.54,230.52
mixture,2020,22.63,17.21,278.62
mixture,2020,25.83,14.46,257.37
mixture,2020,27.83,15.22,233.16
mixture,2020,20.58,15.97,314.11
mixture,2020,23.46,17.31,354.23
mixture,2020,23.4,18.33,292.48
mixture,2020,19.83,20.69,461.5
mixture,2020,20.82,19.89,360.45
mixture,2020,29.06,13.49,222.41
mixture,2020,28.07,16.58,240.21
mixture,2020,29.58,15.78,238.85
mixture,2020,31.46,14.02,231.37
mixture,2020,21.86,11.73,279
mixture,2020,22.47,13.04,279.84
mixture,2020,26.99,13.79,254.62
mixture,2020,25.57,9.84,256.51
mixture,2020,25.96,8.6,245.09
mixture,2020,22.5,13.56,298.32
mixture,2020,27.61,15.76,264
mixture,2020,17.46,26.47,422.03
mixture,2020,22.57,19.22,328.19
mixture,2020,21.69,17.62,331.95
mixture,2020,23.63,16.34,303.15
mixture,2020,25.86,17.17,262.06
mixture,2020,20.31,21.89,339.37
mixture,2020,21.38,20.39,329.96
mixture,2020,32.14,15.37,222.7
mixture,2020,29.83,14.72,237.81
mixture,2020,30.21,15.83,236.46
mixture,2020,29.35,16.72,249.98
mixture,2020,27.26,16.35,265.77
mixture,2020,26.79,17.42,280.12
mixture,2020,22.41,16.51,322.96
mixture,2020,23.99,17.74,304.58
mixture,2020,19.79,22.07,410.32
mixture,2020,21.1,19.74,377.12
mixture,2020,21.12,17.56,370.36
mixture,2020,21.2,20.4,386.45
mixture,2020,28.42,14.45,240.37
mixture,2020,24.87,17.45,283.23
mixture,2020,21.05,18.64,338.46
mixture,2020,31.59,16.76,213.79
mixture,2020,30.52,15.24,226.54
mixture,2020,30.15,17.23,233.47
mixture,2020,29.36,16.38,236.86
mixture,2020,20.97,20.6,370.73
mixture,2020,21.5,21.01,362.75
mixture,2020,21.13,20.24,358.65
mixture,2020,21.74,19.25,330.84
mixture,2020,23.56,19,311.28
mixture,2020,21.96,21.45,352.93
mixture,2020,25.52,17.57,265.24
mixture,2020,22.65,18.01,310.24
mixture,2020,21.59,20.44,348.58
mixture,2020,20.43,22.5,351.98
mixture,2020,20.83,24.66,360.57
mixture,2020,21.86,19.54,299.82
mixture,2020,22.19,17.93,288.59
mixture,2020,23.66,17.65,337.55
mixture,2020,22.94,19.19,335.86
mixture,2020,22.14,19.99,375.98
mixture,2020,21.82,20.69,341.76
mixture,2020,21.48,19.09,362.15
mixture,2020,23.09,19.25,328.74
mixture,2020,21.15,21.45,374.48
mixture,2020,23.49,18.39,302.65
mixture,2020,22.43,19.77,346.6
mixture,2020,25.78,15.57,279.28
mixture,2020,21.29,23.97,358.65
mixture,2020,27.74,17.02,247.31
mixture,2020,24.28,20.84,314.84
mixture,2021,25.41,11.51,315.69
mixture,2021,29.58,11.89,258.14
mixture,2021,33.02,13.43,214.94
mixture,2021,29.77,12.18,231.99
mixture,2021,27.38,14.04,266.84
mixture,2021,25.56,11.78,320.59
mixture,2021,28.48,15.16,254.96
mixture,2021,29.69,13.52,241.18
mixture,2021,29.61,14.79,255.99
mixture,2021,26.4,16.66,295.54
mixture,2021,24.13,16.83,328.41
mixture,2021,27.88,15.99,268.28
mixture,2021,28.55,15.68,272.81
mixture,2021,n/a,n/a,n/a
mixture,2021,31.93,12.34,183.88
mixture,2021,33.26,12.53,175.05
mixture,2021,35.83,11.91,169.12
mixture,2021,36.47,12.59,146.78
mixture,2021,35.37,11.5,160.73
mixture,2021,37.13,11.9,153.67
mixture,2021,40.32,10.25,134.59
mixture,2021,33.53,12.71,167.93
mixture,2021,35.49,12.07,170.54
mixture,2021,34.99,11.9,162.08
mixture,2021,33.49,13.88,174.88
mixture,2021,34.77,12.25,184.69
mixture,2021,32.4,12.8,178.07
mixture,2021,35.71,10.79,173.54
mixture,2021,32.59,10.92,186.36
mixture,2021,33.48,12.49,177.41
mixture,2021,34.68,13.73,170.71
mixture,2021,41.5,11.11,142.76
mixture,2021,43.35,10.58,136.04
mixture,2021,36.34,13.16,167.37
mixture,2021,34.43,13.99,183.82
mixture,2021,41.21,12.33,144.35
mixture,2021,33.53,15.84,186.11
mixture,2021,32.32,16.5,205.78
mixture,2021,32.92,15.05,190.91
mixture,2021,35.18,12.78,138.2
mixture,2021,35.81,11.83,136.68
mixture,2021,33.61,12.16,140.3
mixture,2021,30.4,15.27,165.09
mixture,2021,33.5,11.39,153.47
mixture,2021,36.68,10.91,155.22
mixture,2021,32.76,14.29,159.39
mixture,2021,31.91,13.28,166.31
mixture,2021,34.41,12.44,162.95
mixture,2021,35.81,14.74,150.01
mixture,2021,34.49,12.53,150.21
mixture,2021,30.54,15.2,180.89
mixture,2021,37.13,11.75,155.43
mixture,2021,n/a,n/a,n/a
mixture,2021,36.37,9.9,144.25
mixture,2021,35.27,13.1,149.46
mixture,2021,30.93,14.3,174.7
mixture,2021,35.26,11.21,161.43
mixture,2021,37.19,10.63,163.22
mixture,2021,34.78,13.02,168.38
mixture,2021,32.31,15.21,179.99
mixture,2021,35.22,11.34,173.65
mixture,2021,37.88,12.06,156.9
mixture,2021,36.37,12.32,161.16
mixture,2021,32.1,12.2,190.78
mixture,2021,38.17,11.2,164.92
mixture,2021,37.18,12.8,170.25
mixture,2021,36.04,12.05,192.97
mixture,2021,37.79,9.54,174.58
mixture,2021,35.48,11.29,173.77
mixture,2021,35.03,11.7,196.16
mixture,2021,33.73,11.89,217.25
mixture,2021,38.71,11.37,172.26
mixture,2021,35.69,11.73,175.99
mixture,2021,36.54,11.89,172.09
mixture,2021,37.64,11.17,192.71
mixture,2021,35.91,11.89,203.73
mixture,2021,35.5,11.75,219.74
mixture,2021,38.98,13.02,179.75
mixture,2021,32.47,10.26,235.2
mixture,2021,34.27,11.46,216.24
mixture,2021,n/a,n/a,n/a
mixture,2021,35.54,11.35,196.88
mixture,2021,37.66,10.83,191.55
mixture,2021,36.66,11.11,201.76
mixture,2021,35.92,11.75,198.94
mixture,2021,35.98,10.39,190.02
mixture,2021,35.87,12.19,193.36
mixture,2021,27.81,15.34,308.58
mixture,2021,32.7,13.39,237.57
mixture,2021,28.34,14.46,305.19
mixture,2021,30.44,12.8,277.78
mixture,2021,35.45,11.99,188.18
mixture,2021,33.22,12.17,207.86
mixture,2021,36.39,13.22,209.47
mixture,2021,33.33,10.77,214.15
mixture,2021,36.15,11.54,199.54
mixture,2021,36.91,11.78,190.53
mixture,2021,36.02,11.37,189.26
mixture,2021,37.31,11.3,188.5
mixture,2021,34.15,12.46,215.44
mixture,2021,38.17,11.81,186.43
mixture,2021,32.92,13.91,240.86
mixture,2021,37.16,12.1,199.41
mixture,2021,36.93,11.67,201.89
switchgrass,2016,23.63,22.51,335.3
switchgrass,2016,24.15,23.14,315.9
switchgrass,2016,26.03,22.56,281.81
switchgrass,2016,27.02,22.33,256.51
switchgrass,2016,26.15,21.49,246.65
switchgrass,2016,25.89,21.33,250.4
switchgrass,2016,24.9,20.05,269.63
switchgrass,2016,26.31,20.83,246.57
switchgrass,2016,24.67,23.54,255.48
switchgrass,2016,24.75,22.76,254.54
switchgrass,2016,26.37,23.57,269.72
switchgrass,2016,27.65,20.89,238.53
switchgrass,2016,27.46,20.21,242.31
switchgrass,2016,26.49,24.6,300.83
switchgrass,2016,26.83,22.76,253.94
switchgrass,2016,28.25,23.08,287.24
switchgrass,2016,27.57,21.38,284.94
switchgrass,2016,25.64,25.45,320.16
switchgrass,2016,28.25,21.28,258.66
switchgrass,2016,28.37,22.64,251.74
switchgrass,2016,26.91,24.21,252.75
switchgrass,2016,26.58,23.96,265.51
switchgrass,2016,28.29,21.48,239.73
switchgrass,2016,25.53,24.21,245.09
switchgrass,2016,26.88,22.43,243.12
switchgrass,2016,28.57,19.57,238.45
switchgrass,2016,23.3,23.4,240.29
switchgrass,2016,26.48,22.59,244.02
switchgrass,2016,23.1,22.21,256.68
switchgrass,2016,22.99,23.07,291.02
switchgrass,2016,30.73,19.84,236.7
switchgrass,2016,27.77,22.71,268.1
switchgrass,2016,31.78,18.58,212.29
switchgrass,2016,33.16,16.77,204.48
switchgrass,2016,25.44,22.53,291.31
switchgrass,2016,26.45,20.6,261.97
switchgrass,2016,32.79,17.33,208.07
switchgrass,2016,26.65,24.89,274.09
switchgrass,2016,29.64,21.14,239.97
switchgrass,2016,39.19,17.3,143.57
switchgrass,2016,33.85,19.76,175.4
switchgrass,2016,34.55,18.99,165.26
switchgrass,2016,30.02,19.98,191.55
switchgrass,2016,28.51,21.84,209.12
switchgrass,2016,30.07,21.29,199.81
switchgrass,2016,24.85,22.82,317.92
switchgrass,2016,28.27,22.29,244.27
switchgrass,2016,27.14,23.68,272.35
switchgrass,2016,26.55,25.73,274.46
switchgrass,2016,29.78,23.64,244.68
switchgrass,2016,28.02,23.07,233.55
switchgrass,2016,29.13,23.16,230.52
switchgrass,2016,27.77,23,281.91
switchgrass,2016,27.37,24.39,350.22
switchgrass,2016,30.27,20.5,228.83
switchgrass,2016,26.91,22.35,308.07
switchgrass,2016,32.48,20.25,186.49
switchgrass,2016,25.52,21.04,261.01
switchgrass,2016,24.41,22.48,322.85
switchgrass,2016,29.2,20.18,285.71
switchgrass,2016,29.2,21.02,255.99
switchgrass,2016,27.55,25.45,328.08
switchgrass,2016,30.53,22.08,247.98
switchgrass,2016,27.44,23.35,271.17
switchgrass,2016,26.8,24.23,278.53
switchgrass,2016,27.31,23.57,280.03
switchgrass,2016,28.85,20.47,253.94
switchgrass,2016,25.03,24.97,349.75
switchgrass,2016,29.22,22.51,258.23
switchgrass,2016,25.37,25.05,353.64
switchgrass,2016,24.12,23.91,348.58
switchgrass,2016,29.17,21.62,232.53
switchgrass,2016,25.09,25.17,334.52
switchgrass,2016,24.3,23.85,288.98
switchgrass,2016,26.46,27.75,408.68
switchgrass,2016,30.56,22.7,249.39
switchgrass,2016,30.39,21.57,245.33
switchgrass,2016,27.42,26.12,290.43
switchgrass,2016,24.68,23.97,359.25
switchgrass,2016,23.61,23.52,303.36
switchgrass,2016,25.22,22.77,312.01
switchgrass,2016,25.13,23.32,375.61
switchgrass,2016,23.82,23.37,318.13
switchgrass,2016,24.98,22.52,261.89
switchgrass,2016,21.68,24.86,374.98
switchgrass,2016,17.76,26.78,390.75
switchgrass,2016,13.07,26.62,487.71
switchgrass,2016,23.27,22.99,280.4
switchgrass,2016,23.53,23.11,277.23
switchgrass,2016,27.08,20.72,312.95
switchgrass,2016,32,17.9,245
switchgrass,2016,27.48,23.95,353.99
switchgrass,2016,24.12,24.38,397.34
switchgrass,2016,25.41,24.11,315.79
switchgrass,2016,29.22,20.76,269.18
switchgrass,2016,26.32,23.51,312.85
switchgrass,2016,26.26,22.44,290.05
switchgrass,2016,24.07,22.83,325.13
switchgrass,2016,26.02,21.12,320.48
switchgrass,2016,30.89,20.34,225.71
