species_name,family,genus,higher_plant_group,subfamily,growth_form_canonical,growth_form_n_records,growth_form_conflict,is_graminoid,is_bamboo,is_bryophyte
Abarema langsdorffii,,Abarema,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abarema lehmannii,,Abarema,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abarema leucophylla,,Abarema,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abarema macradenia,,Abarema,,,tree,4,FALSE,FALSE,FALSE,FALSE
Abarema mataybifolia,,Abarema,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abarema microcalyx,,Abarema,,,tree,3,FALSE,FALSE,FALSE,FALSE
Abarema piresii,,Abarema,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abarema racemiflora,,Abarema,,,tree,3,FALSE,FALSE,FALSE,FALSE
Abarema zolleriana,,Abarema,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abatia angeliana,,Abatia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abatia canescens,,Abatia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abatia mexicana,,Abatia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abatia parviflora,,Abatia,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abatia rugosa,,Abatia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abatia spicata,,Abatia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abatia stellata,,Abatia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abelia chinensis,,Abelia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abelia spathulata,,Abelia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abelia triflora,,Abelia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abelia uniflora,,Abelia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abeliophyllum distichum,,Abeliophyllum,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abelmoschus crinitus,,Abelmoschus,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abelmoschus divaricatus,,Abelmoschus,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abelmoschus esculentus,,Abelmoschus,,,herb,5,TRUE,FALSE,FALSE,FALSE
Abelmoschus ficulneus,,Abelmoschus,,,shrub,3,TRUE,FALSE,FALSE,FALSE
Abelmoschus manihot,,Abelmoschus,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abelmoschus moschatus,,Abelmoschus,,,herb,3,TRUE,FALSE,FALSE,FALSE
Abelmoschus sagittifolius,,Abelmoschus,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abelmoschus splendens,,Abelmoschus,,,tree,2,TRUE,FALSE,FALSE,FALSE
Abies alba,,Abies,,,tree,2,FALSE,FALSE,FALSE,FALSE
Abies amabilis,,Abies,,,tree,5,FALSE,FALSE,FALSE,FALSE
Abies balsamea,,Abies,,,tree,2,FALSE,FALSE,FALSE,FALSE
Abies bifolia,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies bracteata,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies cephalonica,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies chensiensis,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies concolor,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies delavayi,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies densa,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies durangensis,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies ernestii,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies fabri,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies fargesii,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies firma,,Abies,,,tree,8,FALSE,FALSE,FALSE,FALSE
Abies forrestii,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies fraseri,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies georgei,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies grandis,,Abies,,,tree,2,FALSE,FALSE,FALSE,FALSE
Abies guatemalensis,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies hickelii,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies holophylla,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies homolepis,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies kawakamii,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies lasiocarpa,,Abies,,,tree,19,FALSE,FALSE,FALSE,FALSE
Abies magnifica,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies mariesii,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies nephrolepis,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies nordmanniana,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies omorika,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies pindrow,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies pinsapo,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies procera,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies recurvata,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies religiosa,,Abies,,,tree,4,FALSE,FALSE,FALSE,FALSE
Abies sachalinensis,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies sibirica,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies spectabilis,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies squamata,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abies vejarii,,Abies,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abildgaardia baeothryon,,Abildgaardia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abildgaardia coleotricha,,Abildgaardia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abildgaardia ovata,,Abildgaardia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abildgaardia triflora,,Abildgaardia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abolboda americana,,Abolboda,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abolboda ciliata,,Abolboda,,,graminoid,65,FALSE,FALSE,FALSE,FALSE
Abolboda egleri,,Abolboda,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abolboda macrostachya,,Abolboda,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abolboda poarchon,,Abolboda,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abolboda pulchella,,Abolboda,,,graminoid,3,TRUE,FALSE,FALSE,FALSE
Abrahamia ditimena,,Abrahamia,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abrahamia oblongifolia,,Abrahamia,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abrahamia sericea,,Abrahamia,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abrahamia viguieri,,Abrahamia,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abrodictyum cupressoides,,Abrodictyum,,,unknown,1,FALSE,FALSE,FALSE,FALSE
Abronia alpina,,Abronia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abronia ameliae,,Abronia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abronia ammophila,,Abronia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abronia angustifolia,,Abronia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abronia argillosa,,Abronia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abronia bigelovii,,Abronia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abronia bolackii,,Abronia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abronia carletonii,,Abronia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abronia elliptica,,Abronia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abronia exalata,,Abronia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abronia fragrans,,Abronia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abronia gracilis,,Abronia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abronia insularis,,Abronia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abronia latifolia,,Abronia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abronia macrocarpa,,Abronia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abronia maritima,,Abronia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abronia mellifera,,Abronia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abronia minor,,Abronia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abronia nana,,Abronia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abronia neurophylla,,Abronia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abronia pinetorum,,Abronia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abronia platyphylla,,Abronia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abronia pogonantha,,Abronia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abronia turbinata,,Abronia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abronia umbellata,,Abronia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abronia variabilis,,Abronia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abronia villosa,,Abronia,,,herb,2,FALSE,FALSE,FALSE,FALSE
Abrophyllum ornans,,Abrophyllum,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abrus fruticulosus,,Abrus,,,shrub,2,FALSE,FALSE,FALSE,FALSE
Abrus precatorius,,Abrus,,,vine,3,FALSE,FALSE,FALSE,FALSE
Abrus pulchellus,,Abrus,,,herb,2,FALSE,FALSE,FALSE,FALSE
Abrus schimperi,,Abrus,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abuta antioquiana,,Abuta,,,vine,1,FALSE,FALSE,FALSE,FALSE
Abuta brevifolia,,Abuta,,,vine,1,FALSE,FALSE,FALSE,FALSE
Abuta bullata,,Abuta,,,vine,1,FALSE,FALSE,FALSE,FALSE
Abuta candollei,,Abuta,,,vine,1,FALSE,FALSE,FALSE,FALSE
Abuta chiapasensis,,Abuta,,,vine,1,FALSE,FALSE,FALSE,FALSE
Abuta chocoensis,,Abuta,,,vine,1,FALSE,FALSE,FALSE,FALSE
Abuta colombiana,,Abuta,,,vine,1,FALSE,FALSE,FALSE,FALSE
Abuta convexa,,Abuta,,,vine,1,FALSE,FALSE,FALSE,FALSE
Abuta fluminum,,Abuta,,,vine,1,FALSE,FALSE,FALSE,FALSE
Abuta grandifolia,,Abuta,,,tree,27,TRUE,FALSE,FALSE,FALSE
Abuta grisebachii,,Abuta,,,vine,2,FALSE,FALSE,FALSE,FALSE
Abuta imene,,Abuta,,,vine,1,FALSE,FALSE,FALSE,FALSE
Abuta longa,,Abuta,,,vine,1,FALSE,FALSE,FALSE,FALSE
Abuta mycetandra,,Abuta,,,vine,1,FALSE,FALSE,FALSE,FALSE
Abuta obovata,,Abuta,,,vine,1,FALSE,FALSE,FALSE,FALSE
Abuta pahni,,Abuta,,,vine,3,FALSE,FALSE,FALSE,FALSE
Abuta pahnii,,Abuta,,,vine,4,FALSE,FALSE,FALSE,FALSE
Abuta panamensis,,Abuta,,,vine,49,FALSE,FALSE,FALSE,FALSE
Abuta panurensis,,Abuta,,,vine,2,FALSE,FALSE,FALSE,FALSE
Abuta racemosa,,Abuta,,,vine,1,FALSE,FALSE,FALSE,FALSE
Abuta rufescens,,Abuta,,,vine,2,FALSE,FALSE,FALSE,FALSE
Abuta sandwithiana,,Abuta,,,vine,1,FALSE,FALSE,FALSE,FALSE
Abuta selloana,,Abuta,,,vine,1,FALSE,FALSE,FALSE,FALSE
Abuta solimoesensis,,Abuta,,,vine,3,FALSE,FALSE,FALSE,FALSE
Abuta spicata,,Abuta,,,vine,1,FALSE,FALSE,FALSE,FALSE
Abuta steyermarkii,,Abuta,,,vine,19,TRUE,FALSE,FALSE,FALSE
Abutilon affine,,Abutilon,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abutilon amoenum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon andrieuxii,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon angulatum,,Abutilon,,,shrub,2,FALSE,FALSE,FALSE,FALSE
Abutilon auritum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon barrancae,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon berlandieri,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon bidentatum,,Abutilon,,,unknown,3,FALSE,FALSE,FALSE,FALSE
Abutilon californicum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon cryptopetalum,,Abutilon,,,unknown,1,FALSE,FALSE,FALSE,FALSE
Abutilon demissum,,Abutilon,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abutilon depauperatum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon dispermum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon divaricatum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon dugesii,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon eremitopetalum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon fraseri,,Abutilon,,,unknown,3,FALSE,FALSE,FALSE,FALSE
Abutilon fruticosum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon geminiflorum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon giganteum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon glabriflorum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon grandiflorum,,Abutilon,,,unknown,1,FALSE,FALSE,FALSE,FALSE
Abutilon grandifolium,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon greveanum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon guineense,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon haenkeanum,,Abutilon,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abutilon herzogianum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon hirtum,,Abutilon,,,shrub,6,TRUE,FALSE,FALSE,FALSE
Abutilon hybridum,,Abutilon,,,tree,2,TRUE,FALSE,FALSE,FALSE
Abutilon hypoleucum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon ibarrense,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon incanum,,Abutilon,,,shrub,2,FALSE,FALSE,FALSE,FALSE
Abutilon indicum,,Abutilon,,,shrub,2,FALSE,FALSE,FALSE,FALSE
Abutilon lepidum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon leucopetalum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon longicuspe,,Abutilon,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abutilon macvaughii,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon megapotamicum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon menziesii,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon mollissimum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon multiflorum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon muticum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon otocarpum,,Abutilon,,,unknown,3,FALSE,FALSE,FALSE,FALSE
Abutilon oxycarpum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon palmeri,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon parvulum,,Abutilon,,,herb,2,FALSE,FALSE,FALSE,FALSE
Abutilon pauciflorum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon pictum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon pseudocleistogamum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon pubistamineum,,Abutilon,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abutilon purpusii,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon pycnodon,,Abutilon,,,shrub,2,TRUE,FALSE,FALSE,FALSE
Abutilon ramosum,,Abutilon,,,herb,2,FALSE,FALSE,FALSE,FALSE
Abutilon reflexum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon sandwicense,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon schenckii,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon sonneratianum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon sonorae,,Abutilon,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abutilon speciosum,,Abutilon,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abutilon sphaerostaminum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon striatum,,Abutilon,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abutilon terminale,,Abutilon,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abutilon theophrasti,,Abutilon,,,herb,3,FALSE,FALSE,FALSE,FALSE
Abutilon thyrsodendron,,Abutilon,,,herb,1,FALSE,FALSE,FALSE,FALSE
Abutilon tridens,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon trisulcatum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon umbelliflorum,,Abutilon,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abutilon virginianum,,Abutilon,,,tree,1,FALSE,FALSE,FALSE,FALSE
Acacallis fimbriata,,Acacallis,,,unknown,1,FALSE,FALSE,FALSE,FALSE
Acacia abyssinica,,Acacia,,,tree,2,FALSE,FALSE,FALSE,FALSE
Acacia acatlensis,,Acacia,,,tree,1,FALSE,FALSE,FALSE,FALSE
Acacia acinacea,,Acacia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Acacia acradenia,,Acacia,,,unknown,1,FALSE,FALSE,FALSE,FALSE
Acacia acuifera,,Acacia,,,tree,1,FALSE,FALSE,FALSE,FALSE
Acacia aculeatissima,,Acacia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Acacia adsurgens,,Acacia,,,unknown,1,FALSE,FALSE,FALSE,FALSE
Acacia alata,,Acacia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Acacia albicorticata,,Acacia,,,tree,1,FALSE,FALSE,FALSE,FALSE
Acacia albida,,Acacia,,,tree,1,FALSE,FALSE,FALSE,FALSE
Acacia alemquerensis,,Acacia,,,tree,7,TRUE,FALSE,FALSE,FALSE
Acacia altiscandens,,Acacia,,,vine,6,FALSE,FALSE,FALSE,FALSE
Acacia amabilis,,Acacia,,,tree,1,FALSE,FALSE,FALSE,FALSE
Acacia amentacea,,Acacia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Acacia ammobia,,Acacia,,,unknown,1,FALSE,FALSE,FALSE,FALSE
Acacia anegadensis,,Acacia,,,tree,1,FALSE,FALSE,FALSE,FALSE
Acacia aneura,,Acacia,,,unknown,2,FALSE,FALSE,FALSE,FALSE
Acacia angustissima,,Acacia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Acacia anisophylla,,Acacia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Acacia aroma,,Acacia,,,tree,2,TRUE,FALSE,FALSE,FALSE
Acacia articulata,,Acacia,,,tree,2,TRUE,FALSE,FALSE,FALSE
Acacia ataxacantha,,Acacia,,,tree,3,TRUE,FALSE,FALSE,FALSE
Acacia atramentaria,,Acacia,,,tree,1,FALSE,FALSE,FALSE,FALSE
Acacia auriculiformis,,Acacia,,,tree,5,FALSE,FALSE,FALSE,FALSE
Acacia baileyana,,Acacia,,,tree,5,TRUE,FALSE,FALSE,FALSE
Acacia baueri,,Acacia,,,herb,1,FALSE,FALSE,FALSE,FALSE
Acacia bellula,,Acacia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Acacia berlandieri,,Acacia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Acacia bilimekii,,Acacia,,,shrub,2,FALSE,FALSE,FALSE,FALSE
Acacia binervata,,Acacia,,,tree,1,FALSE,FALSE,FALSE,FALSE
Acacia binervia,,Acacia,,,tree,2,FALSE,FALSE,FALSE,FALSE
Acacia bonariensis,,Acacia,,,tree,33,FALSE,FALSE,FALSE,FALSE
Acacia borleae,,Acacia,,,tree,2,TRUE,FALSE,FALSE,FALSE
Acacia brachybotrya,,Acacia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Acacia brachystachya,,Acacia,,,unknown,1,FALSE,FALSE,FALSE,FALSE
Acacia brevispica,,Acacia,,,shrub,5,TRUE,FALSE,FALSE,FALSE
Acacia bussei,,Acacia,,,tree,1,FALSE,FALSE,FALSE,FALSE
Acacia buxifolia,,Acacia,,,tree,1,FALSE,FALSE,FALSE,FALSE
Acacia bynoeana,,Acacia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Acacia caesia,,Acacia,,,shrub,3,TRUE,FALSE,FALSE,FALSE
Acacia caffra,,Acacia,,,tree,2,FALSE,FALSE,FALSE,FALSE
Acacia cambagei,,Acacia,,,unknown,1,FALSE,FALSE,FALSE,FALSE
Acacia canescens,,Acacia,,,shrub,2,TRUE,FALSE,FALSE,FALSE
Acacia cardiophylla,,Acacia,,,tree,1,FALSE,FALSE,FALSE,FALSE
Acacia catechu,,Acacia,,,tree,3,TRUE,FALSE,FALSE,FALSE
Acacia caven,,Acacia,,,tree,5,TRUE,FALSE,FALSE,FALSE
Acacia cedilloi,,Acacia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Acacia celastrifolia,,Acacia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Acacia chariessa,,Acacia,,,tree,2,TRUE,FALSE,FALSE,FALSE
Acacia chiapensis,,Acacia,,,tree,1,FALSE,FALSE,FALSE,FALSE
Acacia cochliacantha,,Acacia,,,tree,2,TRUE,FALSE,FALSE,FALSE
Acacia colletioides,,Acacia,,,shrub,2,FALSE,FALSE,FALSE,FALSE
Acacia concinna,,Acacia,,,shrub,4,TRUE,FALSE,FALSE,FALSE
Acacia confusa,,Acacia,,,tree,4,FALSE,FALSE,FALSE,FALSE
Acacia constricta,,Acacia,,,shrub,2,FALSE,FALSE,FALSE,FALSE
Acacia cookii,,Acacia,,,tree,1,FALSE,FALSE,FALSE,FALSE
Acacia coriacea,,Acacia,,,unknown,1,FALSE,FALSE,FALSE,FALSE
Acacia cornigera,,Acacia,,,tree,39,FALSE,FALSE,FALSE,FALSE
Acacia coulteri,,Acacia,,,tree,2,FALSE,FALSE,FALSE,FALSE
Acacia crassiuscula,,Acacia,,,tree,1,FALSE,FALSE,FALSE,FALSE
Acacia cultriformis,,Acacia,,,tree,1,FALSE,FALSE,FALSE,FALSE
Acacia curvifructa,,Acacia,,,tree,1,FALSE,FALSE,FALSE,FALSE
Acacia cuthbertsonii,,Acacia,,,unknown,1,FALSE,FALSE,FALSE,FALSE
Acacia cyclops,,Acacia,,,shrub,5,TRUE,FALSE,FALSE,FALSE
Acacia davyi,,Acacia,,,tree,2,TRUE,FALSE,FALSE,FALSE
Acacia dealbata,,Acacia,,,tree,5,TRUE,FALSE,FALSE,FALSE
Acacia deanei,,Acacia,,,tree,1,FALSE,FALSE,FALSE,FALSE
Acacia decora,,Acacia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Acacia decurrens,,Acacia,,,tree,2,FALSE,FALSE,FALSE,FALSE
Acacia desmondii,,Acacia,,,unknown,1,FALSE,FALSE,FALSE,FALSE
Acacia diffusa,,Acacia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Acacia dimidiata,,Acacia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Acacia doratoxylon,,Acacia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Acacia drepanolobium,,Acacia,,,shrub,4,TRUE,FALSE,FALSE,FALSE
Acacia echinula,,Acacia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Acacia ehrenbergiana,,Acacia,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Acacia elata,,Acacia,,,tree,2,FALSE,FALSE,FALSE,FALSE
Acacia elongata,,Acacia,,,tree,1,FALSE,FALSE,FALSE,FALSE
Acacia erioloba,,Acacia,,,tree,6,TRUE,FALSE,FALSE,FALSE
Acacia erubescens,,Acacia,,,shrub,3,TRUE,FALSE,FALSE,FALSE
Acacia estrophiolata,,Acacia,,,unknown,1,FALSE,FALSE,FALSE,FALSE
Acacia etbaica,,Acacia,,,tree,5,TRUE,FALSE,FALSE,FALSE
Acacia excelsa,,Acacia,,,unknown,1,FALSE,FALSE,FALSE,FALSE
Acacia extensa,,Acacia,,,tree,2,FALSE,FALSE,FALSE,FALSE
Acacia exuvialis,,Acacia,,,tree,2,TRUE,FALSE,FALSE,FALSE
Acacia falcata,,Acacia,,,shrub,2,FALSE,FALSE,FALSE,FALSE
Acacia farnesiana,,Acacia,,,tree,8,TRUE,FALSE,FALSE,FALSE
Acacia fasciculifera,,Acacia,,,tree,1,FALSE,FALSE,FALSE,FALSE
