species_name,family,genus,growth_form_canonical,rho_mean,rho_sd,rho_n,rho_match_level,rho_source
Abatia spicata,,Abatia,shrub,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Abatia stellata,,Abatia,shrub,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Abatia tomentosa,,Abatia,unknown,,,,none,
Abaxianthus convexus,,Abaxianthus,unknown,,,,none,
Abdominea minimiflora,,Abdominea,unknown,,,,none,
Abdra brachycarpa,,Abdra,unknown,,,,none,
Abelia angustifolia,,Abelia,unknown,,,,none,
Abelia biflora,,Abelia,unknown,,,,none,
Abelia buddleioides,,Abelia,unknown,,,,none,
Abelia chinensis,,Abelia,shrub,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Abelia chowii,,Abelia,unknown,,,,none,
Abelia coriacea,,Abelia,unknown,,,,none,
Abelia dielsii,,Abelia,unknown,,,,none,
Abelia engleriana,,Abelia,unknown,,,,none,
Abelia floribunda,,Abelia,unknown,,,,none,
Abelia forrestii,,Abelia,unknown,,,,none,
Abelia grandiflora,,Abelia,unknown,,,,none,
Abelia grandifolia,,Abelia,unknown,,,,none,
Abelia integrifolia,,Abelia,unknown,,,,none,
Abelia ionandra,,Abelia,unknown,,,,none,
Abelia macrotera,,Abelia,unknown,,,,none,
Abelia mexicana,,Abelia,unknown,,,,none,
Abelia mosanensis,,Abelia,unknown,,,,none,
Abelia occidentalis,,Abelia,unknown,,,,none,
Abelia onkocarpa,,Abelia,unknown,,,,none,
Abelia parvifolia,,Abelia,unknown,,,,none,
Abelia sanguinea,,Abelia,unknown,,,,none,
Abelia spathulata,,Abelia,shrub,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Abelia triflora,,Abelia,shrub,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Abelia tyaihyoni,,Abelia,unknown,,,,none,
Abelia uniflora,,Abelia,shrub,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Abelia xgrandiflora,,Abelia,unknown,,,,none,
Abeliophyllum distichum,,Abeliophyllum,shrub,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Abelmoschus angulosus,,Abelmoschus,unknown,,,,none,
Abelmoschus crinitus,,Abelmoschus,herb,,,,none,
Abelmoschus divaricatus,,Abelmoschus,shrub,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Abelmoschus esculentus,,Abelmoschus,herb,,,,none,
Abelmoschus ficulneus,,Abelmoschus,shrub,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Abelmoschus manihot,,Abelmoschus,herb,,,,none,
Abelmoschus moschatus,,Abelmoschus,herb,,,,none,
Abelmoschus muliensis,,Abelmoschus,unknown,,,,none,
Abelmoschus pungens,,Abelmoschus,unknown,,,,none,
Abelmoschus sagittifolius,,Abelmoschus,herb,,,,none,
Aberemoa sanctae-crucis,,Aberemoa,unknown,,,,none,
Aberia tristis,,Aberia,unknown,,,,none,
Abies alba,,Abies,tree,0.353,0,1,species,GWDD_Zanne2009
Abies amabilis,,Abies,tree,0.4,0,1,species,GWDD_Zanne2009
Abies apollinis,,Abies,unknown,,,,none,
Abies balsamea,,Abies,tree,0.33,0,1,species,GWDD_Zanne2009
Abies beshanzuensis,,Abies,unknown,,,,none,
Abies bifolia,,Abies,tree,0.366208333333333,0.0388407889216732,24,genus,GWDD_Zanne2009
Abies borisii-regis,,Abies,unknown,,,,none,
Abies bracteata,,Abies,tree,0.366208333333333,0.0388407889216732,24,genus,GWDD_Zanne2009
Abies canadensis,,Abies,unknown,,,,none,
Abies cephalonica,,Abies,tree,0.366208333333333,0.0388407889216732,24,genus,GWDD_Zanne2009
Abies chensiensis,,Abies,tree,0.366208333333333,0.0388407889216732,24,genus,GWDD_Zanne2009
Abies cilicica,,Abies,unknown,,,,none,
Abies coahuilensis,,Abies,unknown,,,,none,
Abies concolor,,Abies,tree,0.37,0,1,species,GWDD_Zanne2009
Abies delavayi,,Abies,tree,0.4,0,1,species,GWDD_Zanne2009
Abies densa,,Abies,tree,0.366208333333333,0.0388407889216732,24,genus,GWDD_Zanne2009
Abies durangensis,,Abies,tree,0.366208333333333,0.0388407889216732,24,genus,GWDD_Zanne2009
Abies ernestii,,Abies,tree,0.36,0,1,species,GWDD_Zanne2009
Abies fabri,,Abies,tree,0.373,0,1,species,GWDD_Zanne2009
Abies fargesii,,Abies,tree,0.34,0,1,species,GWDD_Zanne2009
Abies ferreana,,Abies,unknown,,,,none,
Abies firma,,Abies,tree,0.366208333333333,0.0388407889216732,24,genus,GWDD_Zanne2009
Abies forrestii,,Abies,tree,0.35,0,1,species,GWDD_Zanne2009
Abies fraseri,,Abies,tree,0.366208333333333,0.0388407889216732,24,genus,GWDD_Zanne2009
Abies georgei,,Abies,tree,0.433,0.0113137084989848,2,species,GWDD_Zanne2009
Abies grandis,,Abies,tree,0.35,0,1,species,GWDD_Zanne2009
Abies guatemalensis,,Abies,tree,0.43,0,1,species,GWDD_Zanne2009
Abies hickelii,,Abies,tree,0.366208333333333,0.0388407889216732,24,genus,GWDD_Zanne2009
Abies hidalgensis,,Abies,unknown,,,,none,
Abies holophylla,,Abies,tree,0.336,0,1,species,GWDD_Zanne2009
Abies homolepis,,Abies,tree,0.366208333333333,0.0388407889216732,24,genus,GWDD_Zanne2009
Abies insignis,,Abies,unknown,,,,none,
Abies jaliscana,,Abies,unknown,,,,none,
Abies kawakamii,,Abies,tree,0.366208333333333,0.0388407889216732,24,genus,GWDD_Zanne2009
Abies koreana,,Abies,unknown,,,,none,
Abies lasiocarpa,,Abies,tree,0.31,0,1,species,GWDD_Zanne2009
Abies lowiana,,Abies,unknown,,,,none,
Abies magnifica,,Abies,tree,0.36,0,1,species,GWDD_Zanne2009
Abies mariesii,,Abies,tree,0.366208333333333,0.0388407889216732,24,genus,GWDD_Zanne2009
Abies nebrodensis,,Abies,unknown,,,,none,
Abies nephrolepis,,Abies,tree,0.3235,0.0106066017177982,2,species,GWDD_Zanne2009
Abies nigra,,Abies,unknown,,,,none,
Abies nordmanniana,,Abies,tree,0.366208333333333,0.0388407889216732,24,genus,GWDD_Zanne2009
Abies numidica,,Abies,unknown,,,,none,
Abies pectinata,,Abies,unknown,,,,none,
Abies pindrow,,Abies,tree,0.38,0,1,species,GWDD_Zanne2009
Abies pinsapo,,Abies,tree,0.41,0,1,species,GWDD_Zanne2009
Abies procera,,Abies,tree,0.37,0,1,species,GWDD_Zanne2009
Abies recurvata,,Abies,tree,0.366208333333333,0.0388407889216732,24,genus,GWDD_Zanne2009
Abies religiosa,,Abies,tree,0.38,0,1,species,GWDD_Zanne2009
Abies sachalinensis,,Abies,tree,0.366208333333333,0.0388407889216732,24,genus,GWDD_Zanne2009
Abies sibirica,,Abies,tree,0.366208333333333,0.0388407889216732,24,genus,GWDD_Zanne2009
Abies spectabilis,,Abies,tree,0.366208333333333,0.0388407889216732,24,genus,GWDD_Zanne2009
Abies squamata,,Abies,tree,0.366208333333333,0.0388407889216732,24,genus,GWDD_Zanne2009
Abies veitchii,,Abies,unknown,,,,none,
Abies vejarii,,Abies,tree,0.366208333333333,0.0388407889216732,24,genus,GWDD_Zanne2009
Abies vilmorinii,,Abies,unknown,,,,none,
Abies yuanbaoshanensis,,Abies,unknown,,,,none,
Abies ziyuanensis,,Abies,unknown,,,,none,
Abietinella abietina,,Abietinella,unknown,,,,none,
Abietinella hystricosa,,Abietinella,unknown,,,,none,
Abildgaardia abortiva,,Abildgaardia,unknown,,,,none,
Abildgaardia baeothryon,,Abildgaardia,herb,,,,none,
Abildgaardia coleotricha,,Abildgaardia,herb,,,,none,
Abildgaardia collina,,Abildgaardia,unknown,,,,none,
Abildgaardia contexta,,Abildgaardia,unknown,,,,none,
Abildgaardia densa,,Abildgaardia,unknown,,,,none,
Abildgaardia filamentosa,,Abildgaardia,unknown,,,,none,
Abildgaardia hispidula,,Abildgaardia,unknown,,,,none,
Abildgaardia hygrophila,,Abildgaardia,unknown,,,,none,
Abildgaardia mexicana,,Abildgaardia,unknown,,,,none,
Abildgaardia oligostachys,,Abildgaardia,unknown,,,,none,
Abildgaardia oritrephes,,Abildgaardia,unknown,,,,none,
Abildgaardia ovata,,Abildgaardia,herb,,,,none,
Abildgaardia papillosa,,Abildgaardia,unknown,,,,none,
Abildgaardia paradoxa,,Abildgaardia,unknown,,,,none,
Abildgaardia pusilla,,Abildgaardia,unknown,,,,none,
Abildgaardia schimperiana,,Abildgaardia,unknown,,,,none,
Abildgaardia triflora,,Abildgaardia,herb,,,,none,
Abildgaardia wallichiana,,Abildgaardia,unknown,,,,none,
Abobra tenuifolia,,Abobra,unknown,,,,none,
Abolboda acaulis,,Abolboda,unknown,,,,none,
Abolboda acicularis,,Abolboda,unknown,,,,none,
Abolboda americana,,Abolboda,tree,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Abolboda bella,,Abolboda,unknown,,,,none,
Abolboda ciliata,,Abolboda,graminoid,,,,none,
Abolboda dunstervillei,,Abolboda,unknown,,,,none,
Abolboda ebracteata,,Abolboda,unknown,,,,none,
Abolboda egleri,,Abolboda,herb,,,,none,
Abolboda engleri,,Abolboda,unknown,,,,none,
Abolboda glomerata,,Abolboda,unknown,,,,none,
Abolboda grandis,,Abolboda,unknown,,,,none,
Abolboda granularis,,Abolboda,unknown,,,,none,
Abolboda killipii,,Abolboda,unknown,,,,none,
Abolboda linearifolia,,Abolboda,unknown,,,,none,
Abolboda macrostachya,,Abolboda,herb,,,,none,
Abolboda minima,,Abolboda,unknown,,,,none,
Abolboda neblinae,,Abolboda,unknown,,,,none,
Abolboda paniculata,,Abolboda,unknown,,,,none,
Abolboda poarchon,,Abolboda,herb,,,,none,
Abolboda pulchella,,Abolboda,graminoid,,,,none,
Abolboda scabrida,,Abolboda,unknown,,,,none,
Abolboda sprucei,,Abolboda,unknown,,,,none,
Abrahamia antongilensis,,Abrahamia,unknown,,,,none,
Abrahamia betamponensis,,Abrahamia,unknown,,,,none,
Abrahamia buxifolia,,Abrahamia,unknown,,,,none,
Abrahamia capuronii,,Abrahamia,unknown,,,,none,
Abrahamia darainensis,,Abrahamia,unknown,,,,none,
Abrahamia deflexa,,Abrahamia,unknown,,,,none,
Abrahamia delphinensis,,Abrahamia,unknown,,,,none,
Abrahamia ditimena,,Abrahamia,tree,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Abrahamia ellipticarpa,,Abrahamia,unknown,,,,none,
Abrahamia elongata,,Abrahamia,unknown,,,,none,
Abrahamia grandidieri,,Abrahamia,unknown,,,,none,
Abrahamia humbertii,,Abrahamia,unknown,,,,none,
Abrahamia ibityensis,,Abrahamia,unknown,,,,none,
Abrahamia itremoensis,,Abrahamia,unknown,,,,none,
Abrahamia itromoensis,,Abrahamia,unknown,,,,none,
Abrahamia latifolia,,Abrahamia,unknown,,,,none,
Abrahamia lecomtei,,Abrahamia,unknown,,,,none,
Abrahamia lenticellata,,Abrahamia,unknown,,,,none,
Abrahamia littoralis,,Abrahamia,unknown,,,,none,
Abrahamia lokobensis,,Abrahamia,unknown,,,,none,
Abrahamia longipetiolata,,Abrahamia,unknown,,,,none,
Abrahamia louvelii,,Abrahamia,unknown,,,,none,
Abrahamia masoalensis,,Abrahamia,unknown,,,,none,
Abrahamia minutifolia,,Abrahamia,unknown,,,,none,
Abrahamia nitida,,Abrahamia,unknown,,,,none,
Abrahamia oblongifolia,,Abrahamia,tree,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Abrahamia patrickii,,Abrahamia,unknown,,,,none,
Abrahamia pauciflora,,Abrahamia,unknown,,,,none,
Abrahamia phillipsonii,,Abrahamia,unknown,,,,none,
Abrahamia revoluta,,Abrahamia,unknown,,,,none,
Abrahamia sambiranensis,,Abrahamia,unknown,,,,none,
Abrahamia sericea,,Abrahamia,tree,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Abrahamia suarezensis,,Abrahamia,unknown,,,,none,
Abrahamia thouvenotii,,Abrahamia,unknown,,,,none,
Abrahamia turkii,,Abrahamia,unknown,,,,none,
Abrahamia viguieri,,Abrahamia,tree,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Abrodictyum angustimarginatum,,Abrodictyum,unknown,,,,none,
Abrodictyum asae-grayi,,Abrodictyum,unknown,,,,none,
Abrodictyum brassii,,Abrodictyum,unknown,,,,none,
Abrodictyum caudatum,,Abrodictyum,unknown,,,,none,
Abrodictyum cellulosum,,Abrodictyum,unknown,,,,none,
Abrodictyum clathratum,,Abrodictyum,unknown,,,,none,
Abrodictyum cumingii,,Abrodictyum,unknown,,,,none,
Abrodictyum cupressoides,,Abrodictyum,unknown,,,,none,
Abrodictyum cylindratum,,Abrodictyum,unknown,,,,none,
Abrodictyum dentatum,,Abrodictyum,unknown,,,,none,
Abrodictyum elongatum,,Abrodictyum,unknown,,,,none,
Abrodictyum flavofuscum,,Abrodictyum,unknown,,,,none,
Abrodictyum franceae,,Abrodictyum,unknown,,,,none,
Abrodictyum guineense,,Abrodictyum,unknown,,,,none,
Abrodictyum idoneum,,Abrodictyum,unknown,,,,none,
Abrodictyum laetum,,Abrodictyum,unknown,,,,none,
Abrodictyum meifolium,,Abrodictyum,unknown,,,,none,
Abrodictyum obscurum,,Abrodictyum,unknown,,,,none,
Abrodictyum pachyphlebium,,Abrodictyum,unknown,,,,none,
Abrodictyum parviflorum,,Abrodictyum,unknown,,,,none,
Abrodictyum pluma,,Abrodictyum,unknown,,,,none,
Abrodictyum pseudorigidum,,Abrodictyum,unknown,,,,none,
Abrodictyum rigidum,,Abrodictyum,unknown,,,,none,
Abrodictyum saxatile,,Abrodictyum,unknown,,,,none,
Abrodictyum schlechteri,,Abrodictyum,unknown,,,,none,
Abrodictyum setaceum,,Abrodictyum,unknown,,,,none,
Abrodictyum setigerum,,Abrodictyum,unknown,,,,none,
Abrodictyum sprucei,,Abrodictyum,unknown,,,,none,
Abrodictyum strictum,,Abrodictyum,unknown,,,,none,
Abrodictyum tamarisciforme,,Abrodictyum,unknown,,,,none,
Abroma augusta,,Abroma,unknown,,,,none,
Abroma augustum,,Abroma,unknown,,,,none,
Abroma fastuosum,,Abroma,unknown,,,,none,
Abronia alpina,,Abronia,herb,,,,none,
Abronia ameliae,,Abronia,herb,,,,none,
Abronia ammophila,,Abronia,herb,,,,none,
Abronia angustifolia,,Abronia,herb,,,,none,
Abronia argillosa,,Abronia,herb,,,,none,
Abronia bigelovii,,Abronia,herb,,,,none,
Abronia bolackii,,Abronia,herb,,,,none,
Abronia carletonii,,Abronia,herb,,,,none,
Abronia carnea,,Abronia,unknown,,,,none,
Abronia carterae,,Abronia,unknown,,,,none,
Abronia crux-maltae,,Abronia,unknown,,,,none,
Abronia elliptica,,Abronia,herb,,,,none,
Abronia exalata,,Abronia,herb,,,,none,
Abronia fragrans,,Abronia,herb,,,,none,
Abronia gracilis,,Abronia,herb,,,,none,
Abronia latifolia,,Abronia,herb,,,,none,
Abronia macrocarpa,,Abronia,herb,,,,none,
Abronia maritima,,Abronia,herb,,,,none,
Abronia mellifera,,Abronia,herb,,,,none,
Abronia micrantha,,Abronia,unknown,,,,none,
Abronia minor,,Abronia,herb,,,,none,
Abronia nana,,Abronia,herb,,,,none,
Abronia nealleyi,,Abronia,unknown,,,,none,
Abronia neurophylla,,Abronia,herb,,,,none,
Abronia parviflora,,Abronia,unknown,,,,none,
Abronia pogonantha,,Abronia,herb,,,,none,
Abronia turbinata,,Abronia,herb,,,,none,
Abronia umbellata,,Abronia,herb,,,,none,
Abronia villosa,,Abronia,herb,,,,none,
Abrophyllum microcarpum,,Abrophyllum,unknown,,,,none,
Abrophyllum ornans,,Abrophyllum,tree,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Abrotanella caespitosa,,Abrotanella,unknown,,,,none,
Abrotanella diemii,,Abrotanella,unknown,,,,none,
Abrotanella emarginata,,Abrotanella,unknown,,,,none,
Abrotanella fertilis,,Abrotanella,unknown,,,,none,
Abrotanella forsterioides,,Abrotanella,unknown,,,,none,
Abrotanella inconspicua,,Abrotanella,unknown,,,,none,
Abrotanella linearifolia,,Abrotanella,unknown,,,,none,
Abrotanella linearis,,Abrotanella,unknown,,,,none,
Abrotanella muscosa,,Abrotanella,unknown,,,,none,
Abrotanella nivigena,,Abrotanella,unknown,,,,none,
Abrotanella patearoa,,Abrotanella,unknown,,,,none,
Abrotanella purpurea,,Abrotanella,unknown,,,,none,
Abrotanella pusilla,,Abrotanella,unknown,,,,none,
Abrotanella rostrata,,Abrotanella,unknown,,,,none,
Abrotanella rosulata,,Abrotanella,unknown,,,,none,
Abrotanella scapigera,,Abrotanella,unknown,,,,none,
Abrotanella spathulata,,Abrotanella,unknown,,,,none,
Abrotanella submarginata,,Abrotanella,unknown,,,,none,
Abrotanella trichoachaenia,,Abrotanella,unknown,,,,none,
Abrotanella trilobata,,Abrotanella,unknown,,,,none,
Abrus aureus,,Abrus,unknown,,,,none,
Abrus canescens,,Abrus,unknown,,,,none,
Abrus diversifoliatus,,Abrus,unknown,,,,none,
Abrus diversifoliolatus,,Abrus,unknown,,,,none,
Abrus fruticulosus,,Abrus,shrub,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Abrus gawenensis,,Abrus,unknown,,,,none,
Abrus gorsei,,Abrus,unknown,,,,none,
Abrus laevigatus,,Abrus,unknown,,,,none,
Abrus lusorius,,Abrus,unknown,,,,none,
Abrus madagascariensis,,Abrus,unknown,,,,none,
Abrus melanospermus,,Abrus,unknown,,,,none,
Abrus parvifolius,,Abrus,unknown,,,,none,
Abrus precatorius,,Abrus,vine,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Abrus pulchellus,,Abrus,herb,,,,none,
Abrus sambiranensis,,Abrus,unknown,,,,none,
Abrus schimperi,,Abrus,shrub,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Abrus somalensis,,Abrus,unknown,,,,none,
Absinthium camphoratum,,Absinthium,unknown,,,,none,
Abuta antioquiana,,Abuta,vine,0.45,0,1,genus,GWDD_Zanne2009
Abuta aristeguietae,,Abuta,unknown,,,,none,
Abuta barbata,,Abuta,unknown,,,,none,
Abuta brevifolia,,Abuta,vine,0.45,0,1,genus,GWDD_Zanne2009
Abuta bullata,,Abuta,vine,0.45,0,1,genus,GWDD_Zanne2009
Abuta candollei,,Abuta,vine,0.45,0,1,genus,GWDD_Zanne2009
Abuta chiapasensis,,Abuta,vine,0.45,0,1,genus,GWDD_Zanne2009
Abuta chocoensis,,Abuta,vine,0.45,0,1,genus,GWDD_Zanne2009
Abuta colombiana,,Abuta,vine,0.45,0,1,genus,GWDD_Zanne2009
Abuta convexa,,Abuta,vine,0.45,0,1,genus,GWDD_Zanne2009
Abuta dwyeriana,,Abuta,unknown,,,,none,
Abuta fluminum,,Abuta,vine,0.45,0,1,genus,GWDD_Zanne2009
Abuta grandifolia,,Abuta,tree,0.45,0,1,genus,GWDD_Zanne2009
Abuta grisebachii,,Abuta,vine,0.45,0,1,genus,GWDD_Zanne2009
Abuta imene,,Abuta,vine,0.45,0,1,genus,GWDD_Zanne2009
Abuta longa,,Abuta,vine,0.45,0,1,genus,GWDD_Zanne2009
Abuta mycetandra,,Abuta,vine,0.45,0,1,genus,GWDD_Zanne2009
Abuta negroensis,,Abuta,unknown,,,,none,
Abuta obovata,,Abuta,vine,0.45,0,1,genus,GWDD_Zanne2009
Abuta pahni,,Abuta,vine,0.45,0,1,genus,GWDD_Zanne2009
Abuta pahnii,,Abuta,vine,0.45,0,1,genus,GWDD_Zanne2009
Abuta panamensis,,Abuta,vine,0.45,0,1,genus,GWDD_Zanne2009
Abuta panurensis,,Abuta,vine,0.45,0,1,genus,GWDD_Zanne2009
Abuta racemosa,,Abuta,vine,0.45,0,1,genus,GWDD_Zanne2009
Abuta rufescens,,Abuta,vine,0.45,0,1,species,GWDD_Zanne2009
Abuta sandwithiana,,Abuta,vine,0.45,0,1,genus,GWDD_Zanne2009
Abuta seemannii,,Abuta,unknown,,,,none,
Abuta selloana,,Abuta,vine,0.45,0,1,genus,GWDD_Zanne2009
Abuta solimoesensis,,Abuta,vine,0.45,0,1,genus,GWDD_Zanne2009
Abuta soukupii,,Abuta,unknown,,,,none,
Abuta splendida,,Abuta,unknown,,,,none,
Abuta steyermarkii,,Abuta,vine,0.45,0,1,genus,GWDD_Zanne2009
Abuta vaupesensis,,Abuta,unknown,,,,none,
Abuta velutina,,Abuta,unknown,,,,none,
Abutilon abutiloides,,Abutilon,unknown,,,,none,
Abutilon abutilon,,Abutilon,unknown,,,,none,
Abutilon affine,,Abutilon,herb,,,,none,
Abutilon amoenum,,Abutilon,shrub,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Abutilon amplum,,Abutilon,unknown,,,,none,
Abutilon andrewsianum,,Abutilon,unknown,,,,none,
Abutilon andrieuxii,,Abutilon,shrub,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Abutilon anglosomaliae,,Abutilon,unknown,,,,none,
