species,Family,Forb,Grass,Legume,introduced,native,Annual,Biennial,Perennial,Barochory,Myrmecochory,Synzoochory,Ballistic,Endozoochory,Epizoochory,Anemochory,Anthropochory,Hydrochory,Term.Vel,logseedweight(g_per1000),sla,logheight(m),spring,summer,fall,forb_herb,graminoid,shrub,vine,tree,Vegetative Spread,Seedbank
ipomoea_hederacea,convolvulaceae,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,NA,1.4502,NA,0.477121255,0,1,0,1,0,0,1,0,0,NA
ipomoea_lacunosa,convolvulaceae,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,NA,1.3345,NA,0.322219295,0,1,0,1,0,0,1,0,NA,NA
juglans_nigra,juglandaceae,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,26.17,4.0532,30.5,1.602059991,1,0,0,0,0,0,0,1,0,NA
juncus_tenuis,juncaceae,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1.23,-2,13.5,-0.292429824,1,0,0,0,1,0,0,0,0,0.97
lactuca_serriola,asteraceae,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0.6,-0.2366,18.07,-0.045757491,0,1,0,1,0,0,0,0,0,0.21
lepidium_virginicum,brassicaceae,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,3.58,-0.301,22.78,-0.247951552,1,0,0,1,0,0,0,0,NA,0.9
lolium_perenne,poaceae,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1.48,0.301,8.84,-0.698970004,0,1,0,0,1,0,0,0,0,0.19
lonicera_japonica,caprifoliaceae,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,0.2553,5,1,1,0,0,0,0,0,1,0,1,0
lonicera_morrowii,caprifoliaceae,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,0.4742,NA,0.397940009,1,0,0,0,0,1,0,0,0,0.25
lotus_corniculatus,fabaceae,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3.75,0,23.6,-0.367542708,0,1,0,1,0,0,0,0,0,0.12
malva_neglecta,malvaceae,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,6.68,0.3802,23.7,-0.259637311,0,1,0,1,0,0,0,0,NA,0.62
medicago_lupulina,fabaceae,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,3.8,0.2068,25.54,-0.22184875,1,0,0,1,0,0,0,0,0,0.35
melilotus_alba,fabaceae,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,NA,0.4314,20.99,0.113943352,0,1,0,1,0,0,0,0,0,0.05
melilotus_officinalis,fabaceae,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,NA,0.4314,19.375,0.096910013,1,0,0,1,0,0,0,0,0,0.27
microstegium_vimineum,poaceae,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,NA,-0.0969,NA,0,0,0,1,0,1,0,0,0,0,0.25
morus_alba,moraceae,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,5.04,0.9542,NA,1,1,0,0,0,0,1,0,1,0,1
oxalis_stricta,oxalidaceae,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2.42,-0.6615,57.7,-0.397940009,1,0,0,1,0,0,0,0,1,0.67
parthenocissus_quinquefolia,vitaceae,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,NA,1.4133,NA,1,0,1,0,0,0,0,1,0,1,0.5
paulownia_tomentosa,scrophulariaceae,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,NA,-0.699,NA,1.301029996,1,0,0,0,0,0,0,1,0,NA
phytolacca_americana,phytolaccaceae,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,13.6,0.8062,NA,0.477121255,1,0,0,1,0,0,0,0,0,NA
plantago_lanceolata,plantaginaceae,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,4.87,0.1139,16.2,-0.494850022,1,0,0,1,0,0,0,0,0,0.24
plantago_major,plantaginaceae,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,2.49,-0.699,21.9,-0.366531544,0,1,0,1,0,0,0,0,0,0.65
platanus_hybrida,platanaceae,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1.58,0.6253,23.28,1.477121255,1,0,0,0,0,0,0,1,0,NA
poa_pratensis,poaceae,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1.59,-0.5229,21.19,-0.301029996,0,1,0,0,1,0,0,0,1,0.38
poa_spp.,poaceae,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,2.31,-0.5229,32.3,-0.823908741,NA,NA,NA,0,1,0,0,0,NA,NA
poa_trivialis,poaceae,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,2.17,-0.699,30.98,0,1,0,0,0,1,0,0,0,0,0.59
polygonum_aviculare,polygonaceae,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,4.99,0.1139,16.53,0.096910013,1,0,0,1,0,0,0,0,0,0.57
polygonum_cuspidatum,polygonaceae,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,4.99,0.3149,NA,0.301029996,0,0,1,1,0,1,0,0,1,NA
polygonum_pensylvanicum,polygonaceae,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,NA,0.4624,NA,-0.096910013,0,0,0,1,0,0,0,0,0,NA
polygonum_perfoliatum,polygonaceae,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,NA,1.245,NA,1.40654018,0,1,0,1,0,0,0,0,0,NA
potentilla_norvegica,rosaceae,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,2.08,-1,24.8,-0.251811973,0,1,0,1,0,0,0,0,NA,1
potentilla_simplex,rosaceae,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,NA,-0.3565,NA,-0.522878745,1,0,0,1,0,0,0,0,NA,NA
quercus_phellos,fagaceae,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,NA,2.951,NA,1.477121255,1,0,0,0,0,0,0,1,0,NA
rosa_multiflora,rosaceae,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,0.9243,19.36,0.477121255,1,0,0,0,0,1,1,0,0,0.75
rubus_phoenicolasius,rosaceae,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,NA,60,0.301029996,1,0,0,0,0,1,0,0,1,NA
rumex_crispus,polygonaceae,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1.85,0.1761,13.28,0.130333768,1,0,0,1,0,0,0,0,0,0.3
securigera_varia,fabaceae,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,0.5185,30.31,0,0,1,0,1,0,0,1,0,1,NA
senecio_vulgaris,asteraceae,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0.31,-0.6576,29.82,-0.522878745,1,0,0,1,0,0,0,0,0,0.55
setaria_pumila,poaceae,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,2.84,0.5276,25.46,-0.244125144,0,1,0,0,1,0,0,0,0,0.81
sisymbrium_officinale,brassicaceae,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,3.58,-0.5376,26.72,-0.170696227,1,0,0,1,0,0,0,0,0,0.41
solanum_dulcamara,solanaceae,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,1.6435,34.64,0.301029996,0,1,0,1,0,1,1,0,1,0.22
solidago_canadensis,asteraceae,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.32,-0.9586,25.87,0.361727836,0,0,1,1,0,0,0,0,1,0.19
solidago_rugosa,asteraceae,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.362,-1.0809,NA,0.176091259,0,0,1,1,0,0,0,0,1,NA
sonchus_oleraceus,asteraceae,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.33,-0.5229,39.69,0.255272505,1,0,0,1,0,0,0,0,NA,0.75
symphyotrichum_lanceolatum,asteraceae,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1.09,-0.788345599,14.37,-0.057991947,0,0,1,1,0,0,0,0,1,NA
symphyotrichum_pilosum,asteraceae,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.33,-0.8962,NA,0.079181246,0,0,1,1,0,0,0,0,1,NA
taraxacum_officinale,asteraceae,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0.42,-0.1549,29.07,-0.397940009,1,0,0,1,0,0,0,0,0,0.26
toxicodendron_radicans,anacardiaceae,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,NA,1.1732,NA,1.301029996,1,0,0,1,0,1,1,0,1,0.75
trifolium_campestre,fabaceae,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1.52,-0.5229,27.08,-0.488116639,1,0,0,1,0,0,0,0,0,0.2
trifolium_pratense,fabaceae,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,3.65,0.1761,23.37,-0.22184875,1,0,0,1,0,0,0,0,0,0.24
trifolium_repens,fabaceae,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,2.62,-0.2218,31.44,-0.397940009,1,0,0,1,0,0,0,0,1,0.38
ulmus_americana,ulmaceae,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.88,0.7324,8.4,1.51851394,1,0,0,0,0,0,0,1,1,NA
ulmus_rubra,ulmaceae,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.88,1.0445,9.4,1.544068044,1,0,0,0,0,0,0,1,0,NA
ulmus_sp,ulmaceae,1,0,0,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,0.88,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA
veronica_serpyllifolia,plantaginaceae,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2.05,-1.22184875,22.9,-0.847711656,1,0,0,1,0,0,0,0,0,0.53
vicia_sativa,fabaceae,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,13.51,1.5866,22.86,-0.096910013,1,0,0,0,0,0,0,0,0,0.22
viola_sororia,violaceae,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,NA,0.1239,NA,-1,1,0,0,1,0,0,0,0,1,NA
vitis_riparia,vitaceae,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,NA,1.8976,NA,1.176091259,1,0,0,0,0,0,1,0,1,NA
