LOT,TYPE,ID,acalypha_virginica,ailanthus_altissima,alliaria_petiolata,amaranthus_retroflexus,arctium_minus,artemisia_vulgaris,asclepias_syriaca,bidens_frondosa,bromus_arvensis,bromus_sp,bromus_tectorum,calystegia_sepium,capsella_bursa.pastoris,chenopodium_album,cichorium_intybus,clematis_terniflora,cynodon_dactylon,cyperus_esculentus,dactylis_glomerata,daucus_carota,digitaria,duchesnea_indica,erigeron_annuus,festuca_arundinacea,galinsoga_quadriradiata,lepidium_virginicum,lolium_perenne,lotus_corniculatus,medicago_lupulina,melilotus_alba,melilotus_officinalis,morus_alba,oxalis_stricta,parthenocissus_quinquefolia,plantago_lanceolata,plantago_major,poa_spp.,polygonum_cuspidatum,rumex_crispus,securigera_varia,setaria_pumila,sisymbrium_officinale,symphyotrichum_lanceolatum,symphyotrichum_pilosum,taraxacum_officinale,trifolium_pratense,trifolium_repens,ulmus_sp,veronica_serpyllifolia,viola_sororia,acer_negundo,ageratina_altissima,ambrosia_artemisiifolia,bidens_bipinnata,bromus_inermis,catalpa,celastrus_orbiculatus,celtis_occidentalis,chamaesyce_maculata,cirsium_arvense,commelina_communis,convolvulus_arvensis,conyza_canadensis,echinochloa_crus.galli,elymus_repens,euonymus_fortunei,glechoma_hederacea,hedera_helix,hypochaeris_radicata,ipomoea_hederacea,ipomoea_lacunosa,juglans_nigra,juncus_tenuis,lactuca_serriola,lonicera_japonica,microstegium_vimineum,paulownia_tomentosa,phytolacca_americana,platanus_hybrida,poa_trivialis,polygonum_aviculare,polygonum_pensylvanicum,polygonum_perfoliatum,potentilla_norvegica,potentilla_simplex,quercus_phellos,rosa_multiflora,rubus_phoenicolasius,senecio_vulgaris,solidago_canadensis,solidago_rugosa,sonchus_oleraceus,toxicodendron_radicans,ulmus_rubra,vicia_sativa,vitis_riparia
s14,BF,s14.BF,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.33333333,0.166666667,1.833333333,0,0,13.66666667,0,0,0,0,0,0,0,0,0,0,3.5,1.5,0,0,0,0,0,0,0,0.5,0.166666667,31.33333333,1.833333333,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
s14,RG,s14.RG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5.5,1.5,0,9,0,1.5,0,0,0,0,0,0,0,0,0,0,10.5,1.5,0,0,0,0,0,0,0,0,0,9,1.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,4,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0
s15,BF,s15.BF,0,0,0,0,12.66666667,0,0,0,0,0,0,0,0,6.5,24.66666667,0,0.5,0,6.333333333,0.5,0.5,0,0,1.833333333,0,0.5,0,0,0,0.166666667,0,0,0,0,2.333333333,1.166666667,0,0,0,0,0,0,0,0,0,6.5,4,0,0,0,0.333333333,0.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s15,RG,s15.RG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,9,0,9,0,0,2,0,23,0,0,0,0,0,0.5,0,2,0.5,0,1.5,0,0,0,0,0,0,0,0,0.5,0,1.5,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,2,0,0,0
s16,BF,s16.BF,0,0,0,0,4.833333333,0,0,0,0,0,0.5,0,0,0.5,18.33333333,0.166666667,0.166666667,0,13.83333333,0.5,0,0.166666667,0,1.333333333,0,3.5,0,0,0,0,0,0.5,0.5,0,0.5,8.833333333,1,0,13.83333333,0,0,0.5,0,1.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0
s16,RG,s16.RG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0.5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s17,BF,s17.BF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.666666667,0,2.333333333,13,6.166666667,0,1.166666667,1.333333333,0,1,2.833333333,0,0,0,0,6.333333333,5.333333333,0,0,0,0,0,0,0,16.33333333,2.833333333,0,19.83333333,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s17,RG,s17.RG,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,1.5,0,13,0,1.5,4,0,1.5,0.5,0,0,0,0,1.5,18,9,0,0,0,0,0,0,13,0,0,50.5,0,0,0.5,0,5.5,0,0,0,0,0,0,0,0,1.5,0,0.5,0,0,0,18,1.5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,1.5
s18,BF,s18.BF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.5,0,4.833333333,0,4.5,0,0,15.5,0,1,0,0,2,5.666666667,0,0,0,0,4.5,1.666666667,0,0,0,0,3.166666667,0,0,1,1.833333333,3.166666667,0,0,0,0,0,0,1.833333333,0,0,0,0,0,3.666666667,0,0,0,1.5,0.5,0,0,0,0,0,0,0.666666667,0,0,0.666666667,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1.833333333,0,0,0,0,0
s18,RG,s18.RG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,75.5,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,44,3,0,0,0,0,0
s2,BF,s2.BF,0,0,0,0,19.83333333,0,0,0,0,0,0,0,0,0,9.5,6.833333333,0,0,11.33333333,0,0,0.166666667,0,2,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0,0,0.166666667,0,0,6.5,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0.5,0,0,75.5,0,0,0,0,0,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s2,RG,s2.RG,0,0,1.5,0,19,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0.5,0,3,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0
s20,BF,s20.BF,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,9.666666667,0,6.833333333,0,9.166666667,0,1.5,0.5,0,55.5,0,0,0,0,0.666666667,0,0,0,0.5,0,2.5,0,18.16666667,0,0,0,0.5,0,0,0,0,17.16666667,2.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0
s20,RG,s20.RG,0,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,1.5,0,0,5.5,0,0,13,0,0,0,0,0,0,0,0,0,1.5,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,75.5,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,8,0,0,9
s23,BF,s23.BF,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,50.5,0,0.5,0,0,10.83333333,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,5.166666667,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s23,RG,s23.RG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,3,0,5.5,0,0,0,0,5.5,0,0,0,0,0,0,0,0.5,0,0,0,0,1.5,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
s24,BF,s24.BF,0.5,0,0,1.833333333,6.5,6.833333333,0,0,0,0,0,0,0,0,2.666666667,0,0,0,24.66666667,0,1.833333333,0,0,10.33333333,0,0,0,0,0.5,0.5,0,0,0,0,2.833333333,1.333333333,0,0,0,0,1.333333333,0,0,1.5,7,3.666666667,11.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s24,RG,s24.RG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,88,0,0,0,0,0,0,1.5,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s3,BF,s3.BF,0,0,0,0,0,0,0,0,4.166666667,0,3.166666667,0,0,0,5,1,1.666666667,0,5.333333333,0.5,0,0,0,12.83333333,0,0,2,0,0.333333333,0,0,0,0,0,1.833333333,0,49.66666667,0,0,10.66666667,0,0,0,0.166666667,1.666666667,4.666666667,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s3,RG,s3.RG,0,1.5,0,0,0,0,0,0,1.5,0,0,0,0,0,3,5.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,0,1.5,0,33,0,0,0.5,0,0,0,0.5,4,1.5,0.5,0,0,2,0,0,0,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s32,BF,s32.BF,0.04,0,0,0,0,0,0,0,0,0.163333333,0,0.03,0,0.01,0.08,0,0.055,0,0.096666667,0,0.055,0.03,0,0.03,0,0,0,0,0,0,0,0.01,0.03,0.01,0.03,0.13,0,0,0.03,0.08,0,0,0.03,0,0.08,0.03,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s32,RG,s32.RG,0,0.01,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.08,0.03,0.03,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0,0,0,0.03,0,0,0,0.08,0.08,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s32b,BF,s32b.BF,0.01,0,0.01,0,0.03,0,0,0,0,0.055,0,0.08,0,0,0.113333333,0,0.096666667,0,0.313333333,0,0.03,0.23,0.01,0.105,0,0,0,0,0,0,0,0,0,0,0.055,0.13,0,0.08,0.03,0.03,0,0,0.03,0,0.063333333,0.03,0.163333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s32b,RG,s32b.RG,0.03,0,0.03,0.03,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0.08,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0.03,0.01,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s33,BF,s33.BF,0,0.01,0,0,0,0,0,0.03,0,0,0,0,0,0,0.08,0,0,0,0.105,0,0.03,0,0,0.213333333,0,0,0,0,0.03,0,0,0,0,0,0.03,0,0,0,0,0.03,0.13,0,0.08,0.03,0.063333333,0.105,0.396666667,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s33,RG,s33.RG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.18,0,0,0,0,0.38,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0.18,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s34,BF,s34.BF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063333333,0,0,0,0.073333333,0,0,0,0,0.096666667,0,0,0,0,0.03,0.03,0,0,0,0,0.046666667,0,0,0,0,0.02,0.08,0,0.03,0,0.03,0.03,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s34,RG,s34.RG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.03,0,0,0,0.08,0,0,0,0,0.08,0,0,0,0,0.03,0.08,0,0,0,0,0.63,0,0,0,0,0.03,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s35,BF,s35.BF,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0.063333333,0,0.446666667,0.03,0.046666667,0,0,0,0,0.196666667,0,0,0,0,0.02,0,0.03,0,0,0,0.163333333,0,0.38,0,0,0,0.08,0,0,0.03,0,0.246666667,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s35,RG,s35.RG,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.08,0.88,0,0.08,0,0,0,0,0.03,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s36,BF,s36.BF,0.01,0.03,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0.113333333,0,0.346666667,0,0.096666667,0,0,0,0,0.055,0,0,0,0,0.03,0,0,0,0.01,0,0.04,0,0.08,0,0,0,0.08,0,0,0,0.02,0.33,0.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s36,RG,s36.RG,0,0,0,0,0,0.03,0.03,0,0,0,0.03,0,0,0,0.18,0,0.18,0,0.03,0,0,0,0,0.08,0,0,0,0,0.18,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s37,BF,s37.BF,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.046666667,0,0.146666667,0,0.13,0,0,0,0,0.105,0,0,0,0,0.01,0,0,0,0.01,0,0.046666667,0,0.13,0,0,0,0,0,0.01,0.03,0.01,0.246666667,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s37,RG,s37.RG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.38,0.01,0.18,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.03,0,0.03,0,0,0,0,0,0,0,0.03,0,0,0.18,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s38,BF,s38.BF,0,0.01,0,0,0,0,0,0,0,0,0.18,0,0,0,0.096666667,0.045,0.546666667,0,0.18,0,0,0,0,0.08,0,0,0.18,0.01,0.03,0,0,0,0.01,0,0.063333333,0,0,0,0,0,0,0,0,0,0.096666667,0.28,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s38,RG,s38.RG,0.03,0.03,0,0,0,0,0,0,0,0,0.18,0,0,0,0.08,0.03,0.18,0,0.08,0,0,0,0,0,0.03,0,0,0,0.03,0,0,0,0,0,0.01,0,0.18,0,0,0,0,0,0,0,0.18,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s39,BF,s39.BF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055,0,0.63,0,0.08,0.01,0,0,0,0.08,0,0,0.03,0.03,0.096666667,0,0,0,0,0,0.13,0,0.18,0,0,0.08,0,0,0,0,0.146666667,0.046666667,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s39,RG,s39.RG,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0.03,0.08,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.03,0,0.03,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s4,BF,s4.BF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12.66666667,0,0.5,0,0,0,0,29.16666667,0,0,0,0,0,3.333333333,52.5,0,0,0,0,0,22.83333333,0,0.666666667,0,0,0,0,0,0.5,20.83333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0
s4,RG,s4.RG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,9,0.5,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,19,0,0,0,0,0,0,0,2,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
s40,BF,s40.BF,0,0.01,0,0,0,0,0,0,0.03,0,0.18,0,0,0,0.046666667,0.08,0.63,0,0,0.03,0,0,0,0.08,0,0,0,0,0.01,0,0,0,0,0,0.03,0,0,0,0,0.513333333,0,0,0,0,0.08,0,0.01,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
