scrubbed_species_binomial,scrubbed_genus
Austrocylindropuntia miquelii,Austrocylindropuntia
Austrocylindropuntia pachypus,Austrocylindropuntia
Austrocylindropuntia shaferi,Austrocylindropuntia
Austrocylindropuntia subulata,Austrocylindropuntia
Austrocylindropuntia verschaffeltii,Austrocylindropuntia
Austrocylindropuntia vestita,Austrocylindropuntia
Aztekium hintonii,Aztekium
Aztekium ritteri,Aztekium
Backebergia militaris,Backebergia
Bergerocactus emoryi,Bergerocactus
Bisnaga latispinus,Bisnaga
Bisnaga macrodisca,Bisnaga
Blossfeldia liliputana,Blossfeldia
Borzicactus purpureus,Borzicactus
Borzicactus samnensis,Borzicactus
Brachycereus nesioticus,Brachycereus
Brasilicereus markgrafii,Brasilicereus
Brasilicereus phaeacanthus,Brasilicereus
Brasiliopuntia brasiliensis,Brasiliopuntia
Brasiliopuntia schulzii,Brasiliopuntia
Brittonrosea gladiata,Brittonrosea
Browningia albiceps,Browningia
Browningia altissima,Browningia
Browningia amstutziae,Browningia
Browningia caineana,Browningia
Browningia candelaris,Browningia
Browningia chlorocarpa,Browningia
Browningia columnaris,Browningia
Browningia hernandezii,Browningia
Browningia hertlingiana,Browningia
Browningia icaensis,Browningia
Browningia microsperma,Browningia
Browningia pilleifera,Browningia
Browningia riosaniensis,Browningia
Browningia utcubambensis,Browningia
Browningia viridis,Browningia
Cactus acanthophlegmus,Cactus
Cactus affinis,Cactus
Cactus atroruber,Cactus
Cactus atrosanguineus,Cactus
Cactus brownii,Cactus
Cactus euchlorus,Cactus
Cactus fellneri,Cactus
Cactus glaucus,Cactus
Cactus goodrichii,Cactus
Cactus hystrix,Cactus
Cactus krameri,Cactus
Cactus lanifer,Cactus
Cactus loricatus,Cactus
Cactus mitis,Cactus
Cactus muehlenpfordtii,Cactus
Cactus mutabilis,Cactus
Cactus neumannianus,Cactus
Cactus niger,Cactus
Cactus odieranus,Cactus
Cactus oothele,Cactus
Cactus polycentrus,Cactus
Cactus procerus,Cactus
Cactus purpureus,Cactus
Cactus pyrrhochroacanthus,Cactus
Cactus quadrispinus,Cactus
Cactus rhodeocentrus,Cactus
Cactus roseus,Cactus
Cactus rufidulus,Cactus
Cactus spectabilis,Cactus
Cactus stella-aurata,Cactus
Cactus tenuis,Cactus
Cactus triacanthus,Cactus
Cactus webbianus,Cactus
Cactus wegeneri,Cactus
Calymmanthium fertile,Calymmanthium
Calymmanthium substerile,Calymmanthium
Carnegiea gigantea,Carnegiea
Castellanosia caineana,Castellanosia
Cephalocereus apicicephalium,Cephalocereus
Cephalocereus columna-trajani,Cephalocereus
Cephalocereus euphorbioides,Cephalocereus
Cephalocereus exerens,Cephalocereus
Cephalocereus fulviceps,Cephalocereus
Cephalocereus macrocephalus,Cephalocereus
Cephalocereus mezcalaensis,Cephalocereus
Cephalocereus nizandensis,Cephalocereus
Cephalocereus nudus,Cephalocereus
Cephalocereus polylophus,Cephalocereus
Cephalocereus remolinensis,Cephalocereus
Cephalocereus rhodanthus,Cephalocereus
Cephalocereus scoparius,Cephalocereus
Cephalocereus senilis,Cephalocereus
Cephalocereus tetazo,Cephalocereus
Cephalocereus tetetzo,Cephalocereus
Cephalocereus totolapensis,Cephalocereus
Cereus adelmarii,Cereus
Cereus aethiops,Cereus
Cereus albicaulis,Cereus
Cereus amazonicus,Cereus
Cereus argentinensis,Cereus
Cereus bicolor,Cereus
Cereus braunii,Cereus
Cereus childsii,Cereus
Cereus cochabambensis,Cereus
Cereus colosseus,Cereus
Cereus comarapanus,Cereus
Cereus crispatus,Cereus
Cereus diffusus,Cereus
Cereus eburneus,Cereus
Cereus enneacanthus,Cereus
Cereus estevesii,Cereus
Cereus fernambucensis,Cereus
Cereus forbesii,Cereus
Cereus fricii,Cereus
Cereus grandicostatus,Cereus
Cereus haageanus,Cereus
Cereus haenkeanus,Cereus
Cereus hankeanus,Cereus
Cereus hertrichianus,Cereus
Cereus hexagonus,Cereus
Cereus hildmannianus,Cereus
Cereus horrispinus,Cereus
Cereus houlletii,Cereus
Cereus huilunchu,Cereus
Cereus insularis,Cereus
Cereus jamacaru,Cereus
Cereus kroenleinii,Cereus
Cereus lamprospermus,Cereus
Cereus lanosus,Cereus
Cereus mirabella,Cereus
Cereus mortensenii,Cereus
Cereus nashii,Cereus
Cereus pachyrrhizus,Cereus
Cereus paraguayensis,Cereus
Cereus peruvianus,Cereus
Cereus phatnospermus,Cereus
Cereus phoeniceus,Cereus
Cereus pierrebraunianus,Cereus
Cereus polyachaetus,Cereus
Cereus repandus,Cereus
Cereus ridleii,Cereus
Cereus robinii,Cereus
Cereus saddianus,Cereus
Cereus spegazzinii,Cereus
Cereus stenogonus,Cereus
Cereus tacuaralensis,Cereus
Cereus trigonodendron,Cereus
Cereus uruguayanus,Cereus
Cereus validus,Cereus
Cereus vargasianus,Cereus
Cereus yungasensis,Cereus
Chilenia occulta,Chilenia
Chileorebutia reichei,Chileorebutia
Cipocereus bradei,Cipocereus
Cipocereus crassisepalus,Cipocereus
Cipocereus laniflorus,Cipocereus
Cipocereus minensis,Cipocereus
Cipocereus pleurocarpus,Cipocereus
Cipocereus pusilliflorus,Cipocereus
Cleistocactus acanthurus,Cleistocactus
Cleistocactus baumannii,Cleistocactus
Cleistocactus brookeae,Cleistocactus
Cleistocactus buchtienii,Cleistocactus
Cleistocactus candelilla,Cleistocactus
Cleistocactus chotaensis,Cleistocactus
Cleistocactus chrysocephalus,Cleistocactus
Cleistocactus clavispinus,Cleistocactus
Cleistocactus ferrarii,Cleistocactus
Cleistocactus fieldianus,Cleistocactus
Cleistocactus granditessellatus,Cleistocactus
Cleistocactus grossei,Cleistocactus
Cleistocactus hildegardiae,Cleistocactus
Cleistocactus hoffmannii,Cleistocactus
Cleistocactus hyalacanthus,Cleistocactus
Cleistocactus hystrix,Cleistocactus
Cleistocactus icosagonus,Cleistocactus
Cleistocactus jajoanus,Cleistocactus
Cleistocactus laniceps,Cleistocactus
Cleistocactus leonensis,Cleistocactus
Cleistocactus longiserpens,Cleistocactus
Cleistocactus luribayensis,Cleistocactus
Cleistocactus morawetzianus,Cleistocactus
Cleistocactus muyurinensis,Cleistocactus
Cleistocactus neoroezlii,Cleistocactus
Cleistocactus orthogonus,Cleistocactus
Cleistocactus pachycladus,Cleistocactus
Cleistocactus palhuayensis,Cleistocactus
Cleistocactus paraguariensis,Cleistocactus
Cleistocactus parapetiensis,Cleistocactus
Cleistocactus parviflorus,Cleistocactus
Cleistocactus peculiaris,Cleistocactus
Cleistocactus piraymirensis,Cleistocactus
Cleistocactus plagiostoma,Cleistocactus
Cleistocactus pungens,Cleistocactus
Cleistocactus reae,Cleistocactus
Cleistocactus ritteri,Cleistocactus
Cleistocactus roezlii,Cleistocactus
Cleistocactus roseiflorus,Cleistocactus
Cleistocactus samaipatanus,Cleistocactus
Cleistocactus sepium,Cleistocactus
Cleistocactus serpens,Cleistocactus
Cleistocactus sextonianus,Cleistocactus
Cleistocactus smaragdiflorus,Cleistocactus
Cleistocactus strausii,Cleistocactus
Cleistocactus sulcifer,Cleistocactus
Cleistocactus tenuiserpens,Cleistocactus
Cleistocactus tominensis,Cleistocactus
Cleistocactus tupizensis,Cleistocactus
Cleistocactus variispinus,Cleistocactus
Cleistocactus winteri,Cleistocactus
Cleistocactus x rojoi,Cleistocactus
Cleistocactus xylorhizus,Cleistocactus
Cochemiea halei,Cochemiea
Cochemiea pondii,Cochemiea
Cochemiea poselgeri,Cochemiea
Coleocephalocereus aureus,Coleocephalocereus
Coleocephalocereus braunii,Coleocephalocereus
Coleocephalocereus buxbaumianus,Coleocephalocereus
Coleocephalocereus decumbens,Coleocephalocereus
Coleocephalocereus diersianus,Coleocephalocereus
Coleocephalocereus estevesii,Coleocephalocereus
Coleocephalocereus fluminensis,Coleocephalocereus
Coleocephalocereus goebelianus,Coleocephalocereus
Coleocephalocereus pluricostatus,Coleocephalocereus
Coleocephalocereus purpureus,Coleocephalocereus
Coleocephalocereus uebelmanniorum,Coleocephalocereus
Consolea corallicola,Consolea
Consolea falcata,Consolea
Consolea macracantha,Consolea
Consolea microcarpa,Consolea
Consolea millspaughii,Consolea
Consolea moniliformis,Consolea
Consolea nashii,Consolea
Consolea rubescens,Consolea
Consolea spinosissima,Consolea
Copiapoa ahremephiana,Copiapoa
Copiapoa alticostata,Copiapoa
Copiapoa angustiflora,Copiapoa
Copiapoa aphanes,Copiapoa
Copiapoa boliviana,Copiapoa
Copiapoa bridgesii,Copiapoa
Copiapoa calderana,Copiapoa
Copiapoa chanaralensis,Copiapoa
Copiapoa cinerascens,Copiapoa
Copiapoa cinerea,Copiapoa
Copiapoa coquimbana,Copiapoa
Copiapoa dealbata,Copiapoa
Copiapoa decorticans,Copiapoa
Copiapoa echinata,Copiapoa
Copiapoa echinoides,Copiapoa
Copiapoa eremophila,Copiapoa
Copiapoa fiedleriana,Copiapoa
Copiapoa grandiflora,Copiapoa
Copiapoa humilis,Copiapoa
Copiapoa hypogaea,Copiapoa
Copiapoa krainziana,Copiapoa
Copiapoa laui,Copiapoa
Copiapoa longistaminea,Copiapoa
Copiapoa malletiana,Copiapoa
Copiapoa marginata,Copiapoa
Copiapoa megarhiza,Copiapoa
Copiapoa montana,Copiapoa
Copiapoa pendulina,Copiapoa
Copiapoa rarissima,Copiapoa
Copiapoa rupestris,Copiapoa
Copiapoa serpentisulcata,Copiapoa
Copiapoa solaris,Copiapoa
Copiapoa taltalensis,Copiapoa
Copiapoa tocopillana,Copiapoa
Copiapoa varispinata,Copiapoa
Corryocactus acervatus,Corryocactus
Corryocactus apiciflorus,Corryocactus
Corryocactus aureus,Corryocactus
Corryocactus ayacuchoensis,Corryocactus
Corryocactus ayopayanus,Corryocactus
Corryocactus brachycladus,Corryocactus
Corryocactus brachypetalus,Corryocactus
Corryocactus brevispinus,Corryocactus
Corryocactus brevistylus,Corryocactus
Corryocactus chachapoyensis,Corryocactus
Corryocactus charazanensis,Corryocactus
Corryocactus chavinilloensis,Corryocactus
Corryocactus cuajonesensis,Corryocactus
Corryocactus erectus,Corryocactus
Corryocactus gracilis,Corryocactus
Corryocactus heteracanthus,Corryocactus
Corryocactus huincoensis,Corryocactus
Corryocactus matucanensis,Corryocactus
Corryocactus megarhizus,Corryocactus
Corryocactus melaleucus,Corryocactus
Corryocactus melanotrichus,Corryocactus
Corryocactus odoratus,Corryocactus
Corryocactus otuyensis,Corryocactus
Corryocactus perezianus,Corryocactus
Corryocactus pilispinus,Corryocactus
Corryocactus prostratus,Corryocactus
Corryocactus pulquinensis,Corryocactus
Corryocactus puquiensis,Corryocactus
Corryocactus pyroporphyranthus,Corryocactus
Corryocactus quivillanus,Corryocactus
Corryocactus serpens,Corryocactus
Corryocactus solitarius,Corryocactus
Corryocactus squarrosus,Corryocactus
Corryocactus tarijensis,Corryocactus
Corryocactus tenuiculus,Corryocactus
Corynopuntia aggeria,Corynopuntia
Corynopuntia bulbispina,Corynopuntia
Corynopuntia clavata,Corynopuntia
Corynopuntia emoryi,Corynopuntia
Corynopuntia grahamii,Corynopuntia
Corynopuntia invicta,Corynopuntia
Corynopuntia marenae,Corynopuntia
Corynopuntia moelleri,Corynopuntia
Corynopuntia parishii,Corynopuntia
Corynopuntia reflexispina,Corynopuntia
Corynopuntia schottii,Corynopuntia
Corynopuntia vilis,Corynopuntia
Coryphantha alversonii,Coryphantha
Coryphantha bella,Coryphantha
Coryphantha chaffeyi,Coryphantha
Coryphantha chihuahuensis,Coryphantha
Coryphantha chlorantha,Coryphantha
Coryphantha clava,Coryphantha
Coryphantha clavata,Coryphantha
Coryphantha compacta,Coryphantha
Coryphantha cornifera,Coryphantha
Coryphantha cubensis,Coryphantha
Coryphantha dasyacantha,Coryphantha
Coryphantha delaetiana,Coryphantha
Coryphantha delicata,Coryphantha
Coryphantha difficilis,Coryphantha
Coryphantha duncanii,Coryphantha
Coryphantha durangensis,Coryphantha
Coryphantha echinoidea,Coryphantha
Coryphantha echinus,Coryphantha
Coryphantha elephantidens,Coryphantha
Coryphantha erecta,Coryphantha
Coryphantha georgii,Coryphantha
Coryphantha glanduligera,Coryphantha
Coryphantha glassii,Coryphantha
Coryphantha gracilis,Coryphantha
Coryphantha guerkeana,Coryphantha
Coryphantha hesteri,Coryphantha
Coryphantha hintoniorum,Coryphantha
Coryphantha jalpanensis,Coryphantha
Coryphantha kracikii,Coryphantha
Coryphantha laredoi,Coryphantha
Coryphantha lloydii,Coryphantha
Coryphantha longicornis,Coryphantha
Coryphantha macromeris,Coryphantha
Coryphantha maiz-tablasensis,Coryphantha
Coryphantha melleospina,Coryphantha
Coryphantha minima,Coryphantha
Coryphantha missouriensis,Coryphantha
Coryphantha neglecta,Coryphantha
Coryphantha nickelsiae,Coryphantha
Coryphantha obscura,Coryphantha
Coryphantha octacantha,Coryphantha
Coryphantha odorata,Coryphantha
Coryphantha ottonis,Coryphantha
Coryphantha pallida,Coryphantha
Coryphantha poselgeriana,Coryphantha
Coryphantha potosiana,Coryphantha
Coryphantha pottsiana,Coryphantha
Coryphantha pseudoechinus,Coryphantha
Coryphantha pseudonickelsae,Coryphantha
Coryphantha pseudonickelsiae,Coryphantha
Coryphantha pseudoradians,Coryphantha
Coryphantha pulleineana,Coryphantha
Coryphantha pycnacantha,Coryphantha
Coryphantha radians,Coryphantha
Coryphantha ramillosa,Coryphantha
Coryphantha recurvata,Coryphantha
Coryphantha reduncuspina,Coryphantha
Coryphantha retusa,Coryphantha
Coryphantha robbinsorum,Coryphantha
Coryphantha robertii,Coryphantha
Coryphantha robustispina,Coryphantha
Coryphantha salinensis,Coryphantha
Coryphantha salm-dyckiana,Coryphantha
Coryphantha scheeri,Coryphantha
Coryphantha sneedii,Coryphantha
Coryphantha strobiliformis,Coryphantha
Coryphantha sulcata,Coryphantha
Coryphantha tripugionacantha,Coryphantha
Coryphantha tuberculosa,Coryphantha
Coryphantha unicornis,Coryphantha
Coryphantha vaupeliana,Coryphantha
Coryphantha vivipara,Coryphantha
Coryphantha vogtherriana,Coryphantha
Coryphantha werdermannii,Coryphantha
Coryphantha wohlschlageri,Coryphantha
Coryphantha zilziana,Coryphantha
Cumarinia odorata,Cumarinia
Cumulopuntia berteroi,Cumulopuntia
Cumulopuntia boliviana,Cumulopuntia
Cumulopuntia chichensis,Cumulopuntia
Cumulopuntia corotilla,Cumulopuntia
Cumulopuntia dactylifera,Cumulopuntia
Cumulopuntia frigida,Cumulopuntia
Cumulopuntia galerasensis,Cumulopuntia
Cumulopuntia hystrix,Cumulopuntia
Cumulopuntia mistiensis,Cumulopuntia
Cumulopuntia pentlandii,Cumulopuntia
Cumulopuntia recurvata,Cumulopuntia
Cumulopuntia rossiana,Cumulopuntia
Cumulopuntia sphaerica,Cumulopuntia
Cumulopuntia tortispina,Cumulopuntia
Cumulopuntia tubercularis,Cumulopuntia
Cumulopuntia tumida,Cumulopuntia
Cumulopuntia zehnderi,Cumulopuntia
Cylindropuntia abysii,Cylindropuntia
Cylindropuntia abyssi,Cylindropuntia
Cylindropuntia acanthocarpa,Cylindropuntia
Cylindropuntia alcahes,Cylindropuntia
Cylindropuntia anteojoensis,Cylindropuntia
Cylindropuntia arbuscula,Cylindropuntia
Cylindropuntia bigelovii,Cylindropuntia
Cylindropuntia californica,Cylindropuntia
Cylindropuntia calmalliana,Cylindropuntia
Cylindropuntia caribaea,Cylindropuntia
Cylindropuntia cholla,Cylindropuntia
Cylindropuntia ciribe,Cylindropuntia
Cylindropuntia davisii,Cylindropuntia
Cylindropuntia echinocarpa,Cylindropuntia
Cylindropuntia fosbergii,Cylindropuntia
Cylindropuntia fulgida,Cylindropuntia
Cylindropuntia ganderi,Cylindropuntia
Cylindropuntia hystrix,Cylindropuntia
Cylindropuntia imbricata,Cylindropuntia
Cylindropuntia kleiniae,Cylindropuntia
Cylindropuntia leptocaulis,Cylindropuntia
Cylindropuntia lindsayi,Cylindropuntia
Cylindropuntia molesta,Cylindropuntia
Cylindropuntia munzii,Cylindropuntia
Cylindropuntia parryi,Cylindropuntia
Cylindropuntia prolifera,Cylindropuntia
Cylindropuntia ramosissima,Cylindropuntia
Cylindropuntia rosea,Cylindropuntia
Cylindropuntia sanfelipensis,Cylindropuntia
Cylindropuntia santamaria,Cylindropuntia
Cylindropuntia spinosior,Cylindropuntia
Cylindropuntia tesajo,Cylindropuntia
Cylindropuntia thurberi,Cylindropuntia
Cylindropuntia tunicata,Cylindropuntia
Cylindropuntia versicolor,Cylindropuntia
Cylindropuntia whipplei,Cylindropuntia
Cylindropuntia wolfii,Cylindropuntia
Cylindropuntia x deserta,Cylindropuntia
Cylindropuntia x kelvinensis,Cylindropuntia
Cylindropuntia x neoarbuscula,Cylindropuntia
Cylindropuntia x vivipara,Cylindropuntia
Cylindropuntia xkelvinensis,Cylindropuntia
Cylindropuntia xvivipara,Cylindropuntia
Deamia chontalensis,Deamia
Deamia testudo,Deamia
Dendrocereus nudiflorus,Dendrocereus
Dendrocereus undulosus,Dendrocereus
Denmoza rhodacantha,Denmoza
Discocactus bahiensis,Discocactus
Discocactus catingicola,Discocactus
Discocactus diersianus,Discocactus
Discocactus ferricola,Discocactus
Discocactus flagriformis,Discocactus
Discocactus hartmannii,Discocactus
Discocactus heptacanthus,Discocactus
Discocactus horstii,Discocactus
Discocactus placentiformis,Discocactus
Discocactus pseudoinsignis,Discocactus
Discocactus zehntneri,Discocactus
Disocactus ackermannii,Disocactus
Disocactus anguliger,Disocactus
Disocactus aurantiacus,Disocactus
Disocactus biformis,Disocactus
Disocactus cinnabarinus,Disocactus
Disocactus crenatus,Disocactus
Disocactus eichlamii,Disocactus
Disocactus flagelliformis,Disocactus
Disocactus kimnachii,Disocactus
Disocactus lepidocarpus,Disocactus
Disocactus macdougallii,Disocactus
Disocactus macranthus,Disocactus
Disocactus martianus,Disocactus
Disocactus nelsonii,Disocactus
Disocactus phyllanthoides,Disocactus
Disocactus quezaltecus,Disocactus
Disocactus schrankii,Disocactus
Disocactus speciosus,Disocactus
Eccremocactus bradei,Eccremocactus
Echinocactus acanthodes,Echinocactus
Echinocactus decaisnei,Echinocactus
Echinocactus gibbosus,Echinocactus
Echinocactus grusonii,Echinocactus
Echinocactus horizonthalonius,Echinocactus
Echinocactus johnsonii,Echinocactus
Echinocactus lemairei,Echinocactus
Echinocactus parryi,Echinocactus
Echinocactus platyacanthus,Echinocactus
Echinocactus polycephalus,Echinocactus
Echinocactus pulverulentus,Echinocactus
Echinocactus sellowii,Echinocactus
Echinocactus texensis,Echinocactus
Echinocereus adustus,Echinocereus
Echinocereus apachensis,Echinocereus
Echinocereus arizonicus,Echinocereus
Echinocereus armatus,Echinocereus
Echinocereus barthelowanus,Echinocereus
Echinocereus berlandieri,Echinocereus
Echinocereus bonkerae,Echinocereus
Echinocereus boyce-thompsonii,Echinocereus
Echinocereus brandegeei,Echinocereus
Echinocereus bristolii,Echinocereus
Echinocereus chaletii,Echinocereus
Echinocereus chisoensis,Echinocereus
Echinocereus chisosensis,Echinocereus
Echinocereus chloranthus,Echinocereus
Echinocereus cinerascens,Echinocereus
Echinocereus coccineus,Echinocereus
Echinocereus dasyacanthus,Echinocereus
Echinocereus davisii,Echinocereus
Echinocereus delaetii,Echinocereus
Echinocereus engelmannii,Echinocereus
Echinocereus enneacanthus,Echinocereus
Echinocereus fasciculatus,Echinocereus
Echinocereus fendleri,Echinocereus
Echinocereus ferreirianus,Echinocereus
Echinocereus grandis,Echinocereus
Echinocereus klapperi,Echinocereus
Echinocereus knippelianus,Echinocereus
Echinocereus kroenleinii,Echinocereus
Echinocereus laui,Echinocereus
Echinocereus ledingii,Echinocereus
Echinocereus leucanthus,Echinocereus
Echinocereus lindsayi,Echinocereus
Echinocereus llanuraensis,Echinocereus
Echinocereus lloydii,Echinocereus
Echinocereus longisetus,Echinocereus
Echinocereus mapimiensis,Echinocereus
Echinocereus maritimus,Echinocereus
Echinocereus mojavensis,Echinocereus
Echinocereus nicholii,Echinocereus
Echinocereus nivosus,Echinocereus
Echinocereus occidentalis,Echinocereus
Echinocereus ortegae,Echinocereus
Echinocereus palmeri,Echinocereus
Echinocereus pamanesiorum,Echinocereus
Echinocereus papillosus,Echinocereus
Echinocereus parkeri,Echinocereus
Echinocereus pectinatus,Echinocereus
Echinocereus pensilis,Echinocereus
Echinocereus pentalophus,Echinocereus
Echinocereus phoeniceus,Echinocereus
Echinocereus pleiogonus,Echinocereus
Echinocereus polyacanthus,Echinocereus
Echinocereus poselgeri,Echinocereus
Echinocereus primolanatus,Echinocereus
Echinocereus pseudopectinatus,Echinocereus
Echinocereus pulchellus,Echinocereus
Echinocereus rayonesensis,Echinocereus
Echinocereus reichenbachii,Echinocereus
Echinocereus rigidissimus,Echinocereus
Echinocereus rischeri,Echinocereus
Echinocereus russanthus,Echinocereus
Echinocereus scheeri,Echinocereus
Echinocereus schereri,Echinocereus
Echinocereus schmollii,Echinocereus
Echinocereus sciurus,Echinocereus
Echinocereus scopulorum,Echinocereus
Echinocereus spinigemmatus,Echinocereus
Echinocereus stolonifer,Echinocereus
Echinocereus stoloniferus,Echinocereus
Echinocereus stramineus,Echinocereus
Echinocereus subinermis,Echinocereus
Echinocereus topiensis,Echinocereus
Echinocereus triglochidiatus,Echinocereus
Echinocereus viereckii,Echinocereus
Echinocereus viridiflorus,Echinocereus
Echinocereus websterianus,Echinocereus
Echinocereus x roetteri,Echinocereus
Echinocereus x roetteri var. neomexicanus,Echinocereus
Echinocereus xroetteri,Echinocereus
Echinocereus yavapaiensis,Echinocereus
Echinomastus erectocentrus,Echinomastus
Echinomastus gautii,Echinomastus
Echinomastus intertextus,Echinomastus
Echinomastus johnsonii,Echinomastus
Echinomastus mariposensis,Echinomastus
Echinomastus unguispinus,Echinomastus
Echinomastus warnockii,Echinomastus
Echinopsis adolfofriedrichii,Echinopsis
Echinopsis albispinosa,Echinopsis
Echinopsis ancistrophora,Echinopsis
Echinopsis angelesiae,Echinopsis
Echinopsis antezanae,Echinopsis
Echinopsis apiculata,Echinopsis
Echinopsis arachnacantha,Echinopsis
Echinopsis arboricola,Echinopsis
Echinopsis arebaloi,Echinopsis
Echinopsis atacamensis,Echinopsis
Echinopsis aurea,Echinopsis
Echinopsis backebergii,Echinopsis
Echinopsis baldiana,Echinopsis
Echinopsis bertramiana,Echinopsis
Echinopsis bolligeriana,Echinopsis
Echinopsis boyuibensis,Echinopsis
Echinopsis brasiliensis,Echinopsis
Echinopsis bridgesii,Echinopsis
Echinopsis caineana,Echinopsis
Echinopsis cajasensis,Echinopsis
Echinopsis calliantholilacina,Echinopsis
Echinopsis callichroma,Echinopsis
Echinopsis calochlora,Echinopsis
Echinopsis camarguensis,Echinopsis
Echinopsis candicans,Echinopsis
Echinopsis caulescens,Echinopsis
Echinopsis cephalomacrostibas,Echinopsis
Echinopsis chalaensis,Echinopsis
Echinopsis chamaecereus,Echinopsis
Echinopsis chiloensis,Echinopsis
Echinopsis chrysantha,Echinopsis
Echinopsis chrysochete,Echinopsis
Echinopsis cinnabarina,Echinopsis
Echinopsis cochabambensis,Echinopsis
Echinopsis comarapana,Echinopsis
Echinopsis conaconensis,Echinopsis
Echinopsis coquimbana,Echinopsis
Echinopsis coronata,Echinopsis
Echinopsis cotacajesii,Echinopsis
Echinopsis crassicaulis,Echinopsis
Echinopsis cristata,Echinopsis
Echinopsis cuzcoensis,Echinopsis
Echinopsis decaisneana,Echinopsis
Echinopsis densispina,Echinopsis
Echinopsis derenbergii,Echinopsis
Echinopsis deserticola,Echinopsis
Echinopsis escayachensis,Echinopsis
Echinopsis eyriesii,Echinopsis
Echinopsis fabrisii,Echinopsis
Echinopsis famatimensis,Echinopsis
Echinopsis ferox,Echinopsis
Echinopsis formosa,Echinopsis
Echinopsis friedrichii,Echinopsis
Echinopsis glauca,Echinopsis
Echinopsis graciliflora,Echinopsis
Echinopsis guentheri,Echinopsis
Echinopsis haematantha,Echinopsis
Echinopsis hahniana,Echinopsis
Echinopsis hammerschmidii,Echinopsis
Echinopsis hertrichiana,Echinopsis
Echinopsis huascha,Echinopsis
Echinopsis huotii,Echinopsis
Echinopsis hystrichoides,Echinopsis
Echinopsis ibicuatensis,Echinopsis
Echinopsis kladiwaiana,Echinopsis
Echinopsis klingleriana,Echinopsis
Echinopsis knuthiana,Echinopsis
Echinopsis lageniformis,Echinopsis
Echinopsis lamprochlora,Echinopsis
Echinopsis lateritia,Echinopsis
Echinopsis leucantha,Echinopsis
Echinopsis litoralis,Echinopsis
Echinopsis longispina,Echinopsis
Echinopsis macrogona,Echinopsis
Echinopsis mamillosa,Echinopsis
Echinopsis marsoneri,Echinopsis
