Date,Block,Plot,Genotypic diversity,Trait diversity,Trt ID,Melongena abundance,Terebra abundance,Littoraria abundance,Total abundance
12-Jan,5,1,6,High,HP8,0,0,0,0
12-Jan,5,2,6,High,HP4,0,1,0,1
12-Jan,5,3,1,High,M2,0,0,0,0
12-Jan,5,4,3,High,LP7,0,1,1,2
12-Jan,5,5,1,Low,M5,0,0,1,1
12-Jan,5,6,3,Low,LP3,0,0,1,1
12-Jan,5,7,3,Low,LP1,0,0,0,0
12-Jan,5,8,1,High,M9,0,0,0,0
12-Jan,5,9,6,Low,HP11,0,0,2,2
12-Jan,5,10,3,High,LP11,0,0,0,0
12-Jan,5,11,6,Low,HP3,0,1,0,1
12-Jan,5,12,1,Low,M12,0,0,0,0
12-Jan,6,1,1,High,M6,0,1,0,1
12-Jan,6,2,6,High,HP5,0,0,0,0
12-Jan,6,3,1,Low,M4,0,0,0,0
12-Jan,6,4,6,High,HP10,0,0,0,0
12-Jan,6,5,3,Low,LP9,0,0,0,0
12-Jan,6,6,3,High,LP6,0,0,0,0
12-Jan,6,7,6,Low,HP12,0,1,0,1
12-Jan,6,8,1,Low,M7,0,1,0,1
12-Jan,6,9,3,High,LP12,0,0,0,0
12-Jan,6,10,6,Low,HP1,0,0,0,0
12-Jan,6,11,3,Low,LP2,0,0,0,0
12-Jan,6,12,1,High,M10,0,2,0,2
12-Feb,1,1,1,Low,M8,0,0,0,0
12-Feb,1,2,3,High,LP12,0,0,0,0
12-Feb,1,3,6,Low,HP3,0,0,0,0
12-Feb,1,4,1,High,M2,0,0,0,0
12-Feb,1,5,6,High,HP9,0,0,0,0
12-Feb,1,6,3,Low,LP2,0,0,0,0
12-Feb,1,7,6,High,HP10,0,0,0,0
12-Feb,1,8,6,High,HP5,0,0,0,0
12-Feb,1,9,1,High,M9,0,0,0,0
12-Feb,1,10,3,Low,LP5,0,1,0,1
12-Feb,1,11,1,Low,M3,0,0,0,0
12-Feb,1,12,3,High,LP8,0,0,0,0
12-Feb,2,1,1,High,M11,0,0,1,1
12-Feb,2,2,6,Low,HP7,0,0,0,0
12-Feb,2,3,3,High,LP6,0,0,0,0
12-Feb,2,4,1,Low,M12,0,0,0,0
12-Feb,2,5,6,Low,HP6,0,0,0,0
12-Feb,2,6,3,High,LP10,0,0,0,0
12-Feb,2,7,6,High,HP4,0,0,0,0
12-Feb,2,8,1,High,M1,0,0,0,0
12-Feb,2,9,3,Low,LP3,0,0,0,0
12-Feb,2,10,1,Low,M7,0,0,1,1
12-Feb,2,11,6,Low,HP12,0,1,0,1
12-Feb,2,12,3,Low,LP9,0,0,0,0
12-Feb,3,1,6,Low,HP11,1,0,0,1
12-Feb,3,2,1,Low,M4,0,0,0,0
12-Feb,3,3,1,High,M6,0,0,0,0
12-Feb,3,4,3,High,LP7,0,0,0,0
12-Feb,3,5,3,Low,LP1,0,0,0,0
12-Feb,3,6,6,Low,HP1,0,0,0,0
12-Feb,3,7,3,Low,LP4,1,0,0,1
12-Feb,3,8,3,High,LP11,0,0,0,0
12-Feb,3,9,6,High,HP2,0,0,0,0
12-Feb,3,10,1,Low,M5,0,0,0,0
12-Feb,3,11,6,High,HP8,0,0,0,0
12-Feb,3,12,1,High,M10,0,0,0,0
12-Feb,4,1,6,Low,HP7,0,0,0,0
12-Feb,4,2,1,High,M11,0,1,0,1
12-Feb,4,3,3,Low,LP5,0,1,0,1
12-Feb,4,4,6,Low,HP6,0,0,0,0
12-Feb,4,5,3,High,LP8,1,0,0,1
12-Feb,4,6,1,Low,M3,0,0,0,0
12-Feb,4,7,1,Low,M8,0,0,0,0
12-Feb,4,8,3,Low,LP4,0,0,0,0
12-Feb,4,9,6,High,HP9,0,0,0,0
12-Feb,4,10,3,High,LP10,0,0,0,0
12-Feb,4,11,1,High,M1,0,0,0,0
12-Feb,4,12,6,High,HP2,0,1,0,1
12-Feb,5,1,6,High,HP8,0,1,0,1
12-Feb,5,2,6,High,HP4,0,0,0,0
12-Feb,5,3,1,High,M2,0,0,0,0
12-Feb,5,4,3,High,LP7,0,0,0,0
12-Feb,5,5,1,Low,M5,0,0,0,0
12-Feb,5,6,3,Low,LP3,0,0,0,0
12-Feb,5,7,3,Low,LP1,0,0,0,0
12-Feb,5,8,1,High,M9,0,2,0,2
12-Feb,5,9,6,Low,HP11,0,1,0,1
12-Feb,5,10,3,High,LP11,0,0,0,0
12-Feb,5,11,6,Low,HP3,0,0,0,0
12-Feb,5,12,1,Low,M12,0,1,0,1
12-Feb,6,1,1,High,M6,0,0,0,0
12-Feb,6,2,6,High,HP5,0,1,0,1
12-Feb,6,3,1,Low,M4,0,2,0,2
12-Feb,6,4,6,High,HP10,0,1,0,1
12-Feb,6,5,3,Low,LP9,0,0,0,0
12-Feb,6,6,3,High,LP6,0,1,0,1
12-Feb,6,7,6,Low,HP12,0,1,0,1
12-Feb,6,8,1,Low,M7,0,0,0,0
12-Feb,6,9,3,High,LP12,0,0,0,0
12-Feb,6,10,6,Low,HP1,0,0,0,0
12-Feb,6,11,3,Low,LP2,0,1,0,1
12-Feb,6,12,1,High,M10,0,1,0,1
12-Mar,1,1,1,Low,M8,1,2,0,3
12-Mar,1,2,3,High,LP12,1,1,0,2
12-Mar,1,3,6,Low,HP3,1,1,0,2
12-Mar,1,4,1,High,M2,3,1,0,4
12-Mar,1,5,6,High,HP9,0,0,0,0
12-Mar,1,6,3,Low,LP2,0,2,0,2
12-Mar,1,7,6,High,HP10,1,0,1,2
12-Mar,1,8,6,High,HP5,0,0,0,0
12-Mar,1,9,1,High,M9,0,1,0,1
12-Mar,1,10,3,Low,LP5,0,1,0,1
12-Mar,1,11,1,Low,M3,1,0,0,1
12-Mar,1,12,3,High,LP8,0,2,0,2
12-Mar,2,1,1,High,M11,0,0,0,0
12-Mar,2,2,6,Low,HP7,0,0,0,0
12-Mar,2,3,3,High,LP6,0,0,0,0
12-Mar,2,4,1,Low,M12,0,0,0,0
12-Mar,2,5,6,Low,HP6,1,0,0,1
12-Mar,2,6,3,High,LP10,0,0,0,0
12-Mar,2,7,6,High,HP4,0,0,0,0
12-Mar,2,8,1,High,M1,0,0,0,0
12-Mar,2,9,3,Low,LP3,0,0,0,0
12-Mar,2,10,1,Low,M7,2,1,0,3
12-Mar,2,11,6,Low,HP12,0,3,0,3
12-Mar,2,12,3,Low,LP9,0,1,0,1
12-Mar,3,1,6,Low,HP11,2,1,0,3
12-Mar,3,2,1,Low,M4,0,0,0,0
12-Mar,3,3,1,High,M6,0,0,0,0
12-Mar,3,4,3,High,LP7,2,0,0,2
12-Mar,3,5,3,Low,LP1,0,1,0,1
12-Mar,3,6,6,Low,HP1,0,0,0,0
12-Mar,3,7,3,Low,LP4,1,0,0,1
12-Mar,3,8,3,High,LP11,0,0,0,0
12-Mar,3,9,6,High,HP2,0,0,0,0
12-Mar,3,10,1,Low,M5,2,0,1,3
12-Mar,3,11,6,High,HP8,2,2,0,4
12-Mar,3,12,1,High,M10,2,0,1,3
12-Mar,4,1,6,Low,HP7,0,0,0,0
12-Mar,4,2,1,High,M11,1,1,0,2
12-Mar,4,3,3,Low,LP5,1,0,0,1
12-Mar,4,4,6,Low,HP6,0,0,0,0
12-Mar,4,5,3,High,LP8,0,0,1,1
12-Mar,4,6,1,Low,M3,0,0,0,0
12-Mar,4,7,1,Low,M8,0,0,0,0
12-Mar,4,8,3,Low,LP4,0,0,0,0
12-Mar,4,9,6,High,HP9,0,1,0,1
12-Mar,4,10,3,High,LP10,0,1,0,1
12-Mar,4,11,1,High,M1,0,0,0,0
12-Mar,4,12,6,High,HP2,0,0,0,0
12-Mar,5,1,6,High,HP8,0,0,0,0
12-Mar,5,2,6,High,HP4,1,0,0,1
12-Mar,5,3,1,High,M2,0,0,0,0
12-Mar,5,4,3,High,LP7,2,0,0,2
12-Mar,5,5,1,Low,M5,0,0,0,0
12-Mar,5,6,3,Low,LP3,1,0,0,1
12-Mar,5,7,3,Low,LP1,0,0,0,0
12-Mar,5,8,1,High,M9,0,0,1,1
12-Mar,5,9,6,Low,HP11,0,0,0,0
12-Mar,5,10,3,High,LP11,1,0,0,1
12-Mar,5,11,6,Low,HP3,0,1,0,1
12-Mar,5,12,1,Low,M12,0,0,0,0
12-Mar,6,1,1,High,M6,0,0,0,0
12-Mar,6,2,6,High,HP5,0,0,0,0
12-Mar,6,3,1,Low,M4,0,0,0,0
12-Mar,6,4,6,High,HP10,0,0,0,0
12-Mar,6,5,3,Low,LP9,0,0,0,0
12-Mar,6,6,3,High,LP6,0,0,2,2
12-Mar,6,7,6,Low,HP12,3,1,0,4
12-Mar,6,8,1,Low,M7,0,0,1,1
12-Mar,6,9,3,High,LP12,0,0,0,0
12-Mar,6,10,6,Low,HP1,0,0,0,0
12-Mar,6,11,3,Low,LP2,0,0,0,0
12-Mar,6,12,1,High,M10,0,0,0,0
12-Apr,1,1,1,Low,M8,4,0,0,4
12-Apr,1,2,3,High,LP12,1,0,0,1
12-Apr,1,3,6,Low,HP3,0,0,0,0
12-Apr,1,4,1,High,M2,0,0,0,0
12-Apr,1,5,6,High,HP9,2,0,0,2
12-Apr,1,6,3,Low,LP2,1,0,0,1
12-Apr,1,7,6,High,HP10,1,0,0,1
12-Apr,1,8,6,High,HP5,0,0,0,0
12-Apr,1,9,1,High,M9,1,0,1,2
12-Apr,1,10,3,Low,LP5,1,0,0,1
12-Apr,1,11,1,Low,M3,1,0,0,1
12-Apr,1,12,3,High,LP8,0,0,0,0
12-Apr,2,1,1,High,M11,0,0,0,0
12-Apr,2,2,6,Low,HP7,0,0,0,0
12-Apr,2,3,3,High,LP6,1,0,0,1
12-Apr,2,4,1,Low,M12,0,0,0,0
12-Apr,2,5,6,Low,HP6,0,0,0,0
12-Apr,2,6,3,High,LP10,1,0,0,1
12-Apr,2,7,6,High,HP4,1,0,0,1
12-Apr,2,8,1,High,M1,1,0,0,1
12-Apr,2,9,3,Low,LP3,0,0,0,0
12-Apr,2,10,1,Low,M7,1,0,0,1
12-Apr,2,11,6,Low,HP12,1,0,0,1
12-Apr,2,12,3,Low,LP9,2,0,0,2
12-Apr,3,1,6,Low,HP11,0,0,0,0
12-Apr,3,2,1,Low,M4,0,0,0,0
12-Apr,3,3,1,High,M6,0,0,0,0
12-Apr,3,4,3,High,LP7,0,0,0,0
12-Apr,3,5,3,Low,LP1,0,0,0,0
12-Apr,3,6,6,Low,HP1,0,0,0,0
12-Apr,3,7,3,Low,LP4,1,0,0,1
12-Apr,3,8,3,High,LP11,0,0,0,0
12-Apr,3,9,6,High,HP2,3,0,0,3
12-Apr,3,10,1,Low,M5,1,0,1,2
12-Apr,3,11,6,High,HP8,0,0,0,0
12-Apr,3,12,1,High,M10,3,0,0,3
12-Apr,4,1,6,Low,HP7,0,0,0,0
12-Apr,4,2,1,High,M11,1,0,0,1
12-Apr,4,3,3,Low,LP5,2,0,0,2
12-Apr,4,4,6,Low,HP6,1,0,0,1
12-Apr,4,5,3,High,LP8,0,0,0,0
12-Apr,4,6,1,Low,M3,0,0,0,0
12-Apr,4,7,1,Low,M8,1,0,0,1
12-Apr,4,8,3,Low,LP4,0,0,0,0
12-Apr,4,9,6,High,HP9,0,0,0,0
12-Apr,4,10,3,High,LP10,0,0,0,0
12-Apr,4,11,1,High,M1,1,0,0,1
12-Apr,4,12,6,High,HP2,0,0,0,0
12-Apr,5,1,6,High,HP8,0,0,0,0
12-Apr,5,2,6,High,HP4,0,1,1,2
12-Apr,5,3,1,High,M2,0,0,0,0
12-Apr,5,4,3,High,LP7,0,0,0,0
12-Apr,5,5,1,Low,M5,0,0,0,0
12-Apr,5,6,3,Low,LP3,0,1,0,1
12-Apr,5,7,3,Low,LP1,0,0,0,0
12-Apr,5,8,1,High,M9,0,0,0,0
12-Apr,5,9,6,Low,HP11,0,0,0,0
12-Apr,5,10,3,High,LP11,0,0,1,1
12-Apr,5,11,6,Low,HP3,1,0,0,1
12-Apr,5,12,1,Low,M12,0,0,0,0
12-Apr,6,1,1,High,M6,0,0,1,1
12-Apr,6,2,6,High,HP5,0,0,0,0
12-Apr,6,3,1,Low,M4,0,0,0,0
12-Apr,6,4,6,High,HP10,0,0,0,0
12-Apr,6,5,3,Low,LP9,0,3,1,4
12-Apr,6,6,3,High,LP6,1,0,0,1
12-Apr,6,7,6,Low,HP12,0,0,0,0
12-Apr,6,8,1,Low,M7,0,0,0,0
12-Apr,6,9,3,High,LP12,0,1,0,1
12-Apr,6,10,6,Low,HP1,0,0,0,0
12-Apr,6,11,3,Low,LP2,0,1,0,1
12-Apr,6,12,1,High,M10,0,0,0,0
12-May,1,1,1,Low,M8,0,0,0,0
12-May,1,2,3,High,LP12,1,0,0,1
12-May,1,3,6,Low,HP3,0,0,0,0
12-May,1,4,1,High,M2,0,0,0,0
12-May,1,5,6,High,HP9,0,0,0,0
12-May,1,6,3,Low,LP2,0,0,0,0
12-May,1,7,6,High,HP10,2,0,0,2
12-May,1,8,6,High,HP5,1,0,0,1
12-May,1,9,1,High,M9,1,0,0,1
12-May,1,10,3,Low,LP5,0,0,0,0
12-May,1,11,1,Low,M3,1,0,0,1
12-May,1,12,3,High,LP8,1,0,0,1
12-May,2,1,1,High,M11,1,0,0,1
12-May,2,2,6,Low,HP7,0,0,0,0
12-May,2,3,3,High,LP6,2,0,0,2
12-May,2,4,1,Low,M12,1,0,1,2
12-May,2,5,6,Low,HP6,0,0,0,0
12-May,2,6,3,High,LP10,2,0,0,2
12-May,2,7,6,High,HP4,1,0,0,1
12-May,2,8,1,High,M1,0,0,0,0
12-May,2,9,3,Low,LP3,1,0,0,1
12-May,2,10,1,Low,M7,0,0,0,0
12-May,2,11,6,Low,HP12,0,0,0,0
12-May,2,12,3,Low,LP9,0,0,0,0
12-May,3,1,6,Low,HP11,0,0,0,0
12-May,3,2,1,Low,M4,0,0,0,0
12-May,3,3,1,High,M6,0,0,0,0
12-May,3,4,3,High,LP7,1,0,0,1
12-May,3,5,3,Low,LP1,0,0,0,0
12-May,3,6,6,Low,HP1,2,0,0,2
12-May,3,7,3,Low,LP4,0,1,0,1
12-May,3,8,3,High,LP11,0,1,0,1
12-May,3,9,6,High,HP2,3,1,0,4
12-May,3,10,1,Low,M5,1,0,0,1
12-May,3,11,6,High,HP8,0,1,0,1
12-May,3,12,1,High,M10,1,0,0,1
12-May,4,1,6,Low,HP7,0,0,1,1
12-May,4,2,1,High,M11,2,0,0,2
12-May,4,3,3,Low,LP5,1,0,0,1
12-May,4,4,6,Low,HP6,1,0,0,1
12-May,4,5,3,High,LP8,1,0,0,1
12-May,4,6,1,Low,M3,0,0,0,0
12-May,4,7,1,Low,M8,1,0,0,1
12-May,4,8,3,Low,LP4,0,0,0,0
12-May,4,9,6,High,HP9,0,0,0,0
12-May,4,10,3,High,LP10,0,0,0,0
12-May,4,11,1,High,M1,2,0,0,2
12-May,4,12,6,High,HP2,1,1,0,2
12-May,5,1,6,High,HP8,1,0,1,2
12-May,5,2,6,High,HP4,0,0,0,0
12-May,5,3,1,High,M2,1,0,0,1
12-May,5,4,3,High,LP7,1,0,0,1
12-May,5,5,1,Low,M5,1,1,0,2
12-May,5,6,3,Low,LP3,0,0,0,0
12-May,5,7,3,Low,LP1,0,0,0,0
12-May,5,8,1,High,M9,2,0,0,2
12-May,5,9,6,Low,HP11,2,0,0,2
12-May,5,10,3,High,LP11,0,0,0,0
12-May,5,11,6,Low,HP3,1,0,0,1
12-May,5,12,1,Low,M12,1,0,1,2
12-May,6,1,1,High,M6,2,0,1,3
12-May,6,2,6,High,HP5,1,0,0,1
12-May,6,3,1,Low,M4,0,0,0,0
12-May,6,4,6,High,HP10,0,0,0,0
12-May,6,5,3,Low,LP9,0,0,1,1
12-May,6,6,3,High,LP6,1,0,0,1
12-May,6,7,6,Low,HP12,0,0,0,0
12-May,6,8,1,Low,M7,1,0,0,1
12-May,6,9,3,High,LP12,3,0,0,3
12-May,6,10,6,Low,HP1,2,0,0,2
12-May,6,11,3,Low,LP2,1,0,0,1
12-May,6,12,1,High,M10,0,0,0,0
12-Jun,1,1,1,Low,M8,1,0,1,2
12-Jun,1,2,3,High,LP12,0,1,0,1
12-Jun,1,3,6,Low,HP3,1,4,0,5
12-Jun,1,4,1,High,M2,1,2,0,3
12-Jun,1,5,6,High,HP9,0,0,0,0
12-Jun,1,6,3,Low,LP2,0,1,0,1
12-Jun,1,7,6,High,HP10,0,0,0,0
12-Jun,1,8,6,High,HP5,2,1,0,3
12-Jun,1,9,1,High,M9,1,2,0,3
12-Jun,1,10,3,Low,LP5,1,0,0,1
12-Jun,1,11,1,Low,M3,0,1,0,1
12-Jun,1,12,3,High,LP8,1,1,0,2
12-Jun,2,1,1,High,M11,2,9,0,11
12-Jun,2,2,6,Low,HP7,1,2,0,3
12-Jun,2,3,3,High,LP6,0,4,0,4
12-Jun,2,4,1,Low,M12,0,0,0,0
12-Jun,2,5,6,Low,HP6,0,0,0,0
12-Jun,2,6,3,High,LP10,0,0,0,0
12-Jun,2,7,6,High,HP4,1,3,0,4
12-Jun,2,8,1,High,M1,1,3,0,4
12-Jun,2,9,3,Low,LP3,2,1,0,3
12-Jun,2,10,1,Low,M7,1,3,0,4
12-Jun,2,11,6,Low,HP12,1,1,0,2
12-Jun,2,12,3,Low,LP9,0,1,0,1
12-Jun,3,1,6,Low,HP11,1,0,0,1
12-Jun,3,2,1,Low,M4,1,0,0,1
12-Jun,3,3,1,High,M6,1,0,0,1
12-Jun,3,4,3,High,LP7,1,0,0,1
12-Jun,3,5,3,Low,LP1,0,2,0,2
12-Jun,3,6,6,Low,HP1,0,1,0,1
12-Jun,3,7,3,Low,LP4,0,1,0,1
12-Jun,3,8,3,High,LP11,1,0,0,1
12-Jun,3,9,6,High,HP2,0,2,0,2
12-Jun,3,10,1,Low,M5,0,1,0,1
12-Jun,3,11,6,High,HP8,0,0,0,0
12-Jun,3,12,1,High,M10,0,1,0,1
12-Jun,4,1,6,Low,HP7,1,0,1,2
12-Jun,4,2,1,High,M11,0,2,0,2
12-Jun,4,3,3,Low,LP5,1,2,1,4
12-Jun,4,4,6,Low,HP6,0,0,0,0
12-Jun,4,5,3,High,LP8,0,0,0,0
12-Jun,4,6,1,Low,M3,1,0,0,1
12-Jun,4,7,1,Low,M8,0,0,0,0
12-Jun,4,8,3,Low,LP4,0,0,0,0
12-Jun,4,9,6,High,HP9,0,0,0,0
12-Jun,4,10,3,High,LP10,1,1,0,2
12-Jun,4,11,1,High,M1,0,1,1,2
12-Jun,4,12,6,High,HP2,0,1,0,1
12-Jun,5,1,6,High,HP8,0,0,0,0
12-Jun,5,2,6,High,HP4,0,0,0,0
12-Jun,5,3,1,High,M2,0,0,0,0
12-Jun,5,4,3,High,LP7,0,1,1,2
12-Jun,5,5,1,Low,M5,0,0,0,0
12-Jun,5,6,3,Low,LP3,0,0,0,0
12-Jun,5,7,3,Low,LP1,0,0,0,0
12-Jun,5,8,1,High,M9,1,0,0,1
12-Jun,5,9,6,Low,HP11,0,0,0,0
12-Jun,5,10,3,High,LP11,0,0,0,0
12-Jun,5,11,6,Low,HP3,0,0,0,0
12-Jun,5,12,1,Low,M12,0,0,0,0
12-Jun,6,1,1,High,M6,0,0,1,1
12-Jun,6,2,6,High,HP5,0,0,0,0
12-Jun,6,3,1,Low,M4,0,0,0,0
12-Jun,6,4,6,High,HP10,0,0,0,0
12-Jun,6,5,3,Low,LP9,0,0,0,0
12-Jun,6,6,3,High,LP6,0,0,0,0
12-Jun,6,7,6,Low,HP12,0,1,0,1
12-Jun,6,8,1,Low,M7,0,1,0,1
12-Jun,6,9,3,High,LP12,0,0,0,0
12-Jun,6,10,6,Low,HP1,1,0,0,1
12-Jun,6,11,3,Low,LP2,0,0,0,0
12-Jun,6,12,1,High,M10,0,0,0,0
12-Jul,1,1,1,Low,M8,2,2,0,4
12-Jul,1,2,3,High,LP12,0,4,0,4
12-Jul,1,3,6,Low,HP3,1,1,0,2
12-Jul,1,4,1,High,M2,0,1,0,1
12-Jul,1,5,6,High,HP9,0,1,0,1
12-Jul,1,6,3,Low,LP2,0,1,0,1
12-Jul,1,7,6,High,HP10,0,1,0,1
12-Jul,1,8,6,High,HP5,0,0,0,0
12-Jul,1,9,1,High,M9,0,2,1,3
12-Jul,1,10,3,Low,LP5,0,0,0,0
12-Jul,1,11,1,Low,M3,1,0,0,1
12-Jul,1,12,3,High,LP8,0,1,0,1
12-Jul,2,1,1,High,M11,0,2,0,2
12-Jul,2,2,6,Low,HP7,0,0,0,0
12-Jul,2,3,3,High,LP6,1,1,0,2
12-Jul,2,4,1,Low,M12,0,0,0,0
12-Jul,2,5,6,Low,HP6,0,0,0,0
12-Jul,2,6,3,High,LP10,0,1,0,1
12-Jul,2,7,6,High,HP4,0,3,0,3
12-Jul,2,8,1,High,M1,0,0,0,0
12-Jul,2,9,3,Low,LP3,1,1,0,2
12-Jul,2,10,1,Low,M7,0,0,0,0
12-Jul,2,11,6,Low,HP12,0,0,0,0
12-Jul,2,12,3,Low,LP9,1,0,0,1
12-Jul,3,1,6,Low,HP11,0,0,0,0
12-Jul,3,2,1,Low,M4,1,0,0,1
12-Jul,3,3,1,High,M6,0,0,0,0
12-Jul,3,4,3,High,LP7,1,0,0,1
12-Jul,3,5,3,Low,LP1,0,0,0,0
12-Jul,3,6,6,Low,HP1,0,0,0,0
12-Jul,3,7,3,Low,LP4,0,0,0,0
12-Jul,3,8,3,High,LP11,0,0,0,0
12-Jul,3,9,6,High,HP2,0,0,0,0
12-Jul,3,10,1,Low,M5,1,0,0,1
12-Jul,3,11,6,High,HP8,0,0,0,0
12-Jul,3,12,1,High,M10,2,1,0,3
12-Jul,4,1,6,Low,HP7,1,0,0,1
12-Jul,4,2,1,High,M11,1,0,0,1
12-Jul,4,3,3,Low,LP5,0,0,0,0
12-Jul,4,4,6,Low,HP6,1,0,0,1
12-Jul,4,5,3,High,LP8,1,0,0,1
12-Jul,4,6,1,Low,M3,1,0,0,1
12-Jul,4,7,1,Low,M8,1,0,0,1
12-Jul,4,8,3,Low,LP4,0,0,0,0
12-Jul,4,9,6,High,HP9,0,0,0,0
12-Jul,4,10,3,High,LP10,0,1,0,1
12-Jul,4,11,1,High,M1,0,0,0,0
12-Jul,4,12,6,High,HP2,0,0,0,0
12-Jul,5,1,6,High,HP8,0,0,0,0
12-Jul,5,2,6,High,HP4,0,0,0,0
12-Jul,5,3,1,High,M2,1,0,0,1
12-Jul,5,4,3,High,LP7,0,0,0,0
12-Jul,5,5,1,Low,M5,0,0,0,0
12-Jul,5,6,3,Low,LP3,0,0,0,0
12-Jul,5,7,3,Low,LP1,1,0,0,1
12-Jul,5,8,1,High,M9,1,1,0,2
12-Jul,5,9,6,Low,HP11,0,1,0,1
12-Jul,5,10,3,High,LP11,0,1,0,1
12-Jul,5,11,6,Low,HP3,1,0,0,1
12-Jul,5,12,1,Low,M12,1,0,0,1
12-Jul,6,1,1,High,M6,0,0,0,0
12-Jul,6,2,6,High,HP5,1,0,0,1
12-Jul,6,3,1,Low,M4,0,0,0,0
12-Jul,6,4,6,High,HP10,1,0,0,1
12-Jul,6,5,3,Low,LP9,0,0,0,0
12-Jul,6,6,3,High,LP6,0,0,0,0
12-Jul,6,7,6,Low,HP12,0,0,0,0
12-Jul,6,8,1,Low,M7,0,0,0,0
12-Jul,6,9,3,High,LP12,1,1,0,2
12-Jul,6,10,6,Low,HP1,1,0,0,1
12-Jul,6,11,3,Low,LP2,0,0,0,0
12-Jul,6,12,1,High,M10,1,0,0,1
12-Oct,1,1,1,Low,M8,0,0,0,0
12-Oct,1,2,3,High,LP12,0,1,0,1
12-Oct,1,3,6,Low,HP3,0,1,0,1
12-Oct,1,4,1,High,M2,0,0,0,0
12-Oct,1,5,6,High,HP9,1,0,0,1
12-Oct,1,6,3,Low,LP2,1,2,0,3
12-Oct,1,7,6,High,HP10,0,0,0,0
12-Oct,1,8,6,High,HP5,0,0,0,0
12-Oct,1,9,1,High,M9,0,2,0,2
12-Oct,1,10,3,Low,LP5,0,3,0,3
12-Oct,1,11,1,Low,M3,1,0,0,1
12-Oct,1,12,3,High,LP8,2,2,0,4
12-Oct,2,1,1,High,M11,1,0,0,1
12-Oct,2,2,6,Low,HP7,0,0,0,0
12-Oct,2,3,3,High,LP6,1,0,0,1
12-Oct,2,4,1,Low,M12,0,0,0,0
12-Oct,2,5,6,Low,HP6,0,0,0,0
12-Oct,2,6,3,High,LP10,1,0,0,1
12-Oct,2,7,6,High,HP4,0,0,0,0
12-Oct,2,8,1,High,M1,0,0,0,0
12-Oct,2,9,3,Low,LP3,0,0,0,0
12-Oct,2,10,1,Low,M7,0,0,0,0
12-Oct,2,11,6,Low,HP12,1,0,0,1
12-Oct,2,12,3,Low,LP9,0,0,0,0
12-Oct,3,1,6,Low,HP11,1,0,0,1
12-Oct,3,2,1,Low,M4,0,0,0,0
12-Oct,3,3,1,High,M6,0,0,0,0
12-Oct,3,4,3,High,LP7,0,0,0,0
12-Oct,3,5,3,Low,LP1,0,0,0,0
12-Oct,3,6,6,Low,HP1,2,0,0,2
12-Oct,3,7,3,Low,LP4,0,0,0,0
12-Oct,3,8,3,High,LP11,0,0,0,0
12-Oct,3,9,6,High,HP2,0,0,0,0
