date,transect_id,plot1,plot2,plot3,plot4,plot5
6/2/2016,Duck.Lake.East,15.7,11.7,16.4,14.2,10.8
6/2/2016,Duck.Lake.West,9.8,9.5,7.6,9.1,6
6/2/2016,Field.Lab.East,5.8,3.3,6.6,7.2,9.2
6/2/2016,Field.Lab.West,18.7,12.9,9.9,14.9,13.3
6/2/2016,LTER.Pot.Hole.North,8.7,24.6,27.3,21.4,24.9
6/2/2016,LTER.Pot.Hole.South,19.1,18.1,31.4,28.6,26.8
6/2/2016,No.Till.North,24.1,20.9,10.4,24.7,17.6
6/2/2016,No.Till.South,18,21.8,29.1,8.6,11.8
6/2/2016,Reed.Canary.North ,8.5,8.5,5.1,9.8,8.3
6/2/2016,Reed.Canary.South,11.5,28.2,19.3,12.2,37.4
6/2/2016,Spruce.Lodge.West,13.1,17.1,17.5,9.8,7.6
6/2/2016,Spruce.Lodge.East,11.3,11.3,15.8,17.3,9.7
6/2/2016,Wetland.North,10.7,10.4,10.2,9,11.1
6/2/2016,Wetland.South,12.2,13.4,11,12.3,13.5
6/2/2016,Soil.Pit.East,8.6,6.1,4.8,6.5,12.8
6/2/2016,Soil.Pit.West,11.9,4.4,5.7,18,8.8
6/2/2016,Succession.East,6.1,8.9,11.5,9.1,11.4
6/2/2016,Succession.West,11.5,7.1,8.5,8.9,7.8
6/2/2016,Water.Tower.North,9.7,15.7,5.4,7.2,9.4
6/2/2016,Water.Tower.South,9.1,5.2,13.4,5.2,4.1
6/9/2016,Barn.North.East,8.2,5.4,6.5,8,13.9
6/9/2016,Barn.North.West,11.9,6.6,8.2,3.8,5.4
6/9/2016,Barn.South.East,7.4,6.4,6.7,6.1,10.3
6/9/2016,Barn.South.West,6.8,9,3.8,10.4,7.5
6/9/2016,Duck.Lake.East,7.7,7.9,8.7,8.6,14
6/9/2016,Duck.Lake.West,7,7.7,2.6,3.5,7.6
6/9/2016,Field.Lab.East,0.4,5.2,2.7,9,11
6/9/2016,Field.Lab.West,14,9.3,8.5,11.4,13.4
6/9/2016,LTER.Pot.Hole.North,14,19.2,20.4,20.4,7.9
6/9/2016,LTER.Pot.Hole.South,14.7,14.7,34,26.3,14
6/9/2016,No.Till.North,14.3,13.7,7,11.4,12.8
6/9/2016,No.Till.South,13,12.6,16.4,7.6,12.3
6/9/2016,Reed.Canary.North ,6.7,2.2,3.9,5,9.9
6/9/2016,Reed.Canary.South,10.4,17.9,10.9,8.4,22.5
6/9/2016,Spruce.Lodge.West,7.9,8.3,10.5,7.4,4.1
6/9/2016,Spruce.Lodge.East,14.2,7.2,10,5.7,7.2
6/9/2016,Wetland.North,21.3,14,9.5,7.3,9.3
6/9/2016,Wetland.South,8.5,12.3,12.2,9.1,6.2
6/9/2016,Soil.Pit.East,7,8.4,7,4.4,10.5
6/9/2016,Soil.Pit.West,4.9,5.8,7,18.7,8.3
6/9/2016,Succession.East,12.3,7.3,9.4,7.1,7.7
6/9/2016,Succession.West,10.6,11,9.4,9.6,9.5
6/9/2016,Water.Tower.North,5.9,4.8,6.4,10.6,5.4
6/9/2016,Water.Tower.South,14.5,13.8,10.9,5.2,9.8
6/16/2016,Barn.North.East,NA,NA,NA,NA,NA
6/16/2016,Barn.North.West,NA,NA,NA,NA,NA
6/16/2016,Barn.South.East,NA,NA,NA,NA,NA
6/16/2016,Barn.South.West,NA,NA,NA,NA,NA
6/16/2016,Duck.Lake.East,NA,NA,NA,NA,NA
6/16/2016,Duck.Lake.West,NA,NA,NA,NA,NA
6/16/2016,Field.Lab.East,NA,NA,NA,NA,NA
6/16/2016,Field.Lab.West,NA,NA,NA,NA,NA
6/16/2016,LTER.Pot.Hole.North,NA,NA,NA,NA,NA
6/16/2016,LTER.Pot.Hole.South,NA,NA,NA,NA,NA
6/16/2016,No.Till.North,NA,NA,NA,NA,NA
6/16/2016,No.Till.South,NA,NA,NA,NA,NA
6/16/2016,Reed.Canary.North ,NA,NA,NA,NA,NA
6/16/2016,Reed.Canary.South,NA,NA,NA,NA,NA
6/16/2016,Spruce.Lodge.West,NA,NA,NA,NA,NA
6/16/2016,Spruce.Lodge.East,NA,NA,NA,NA,NA
6/16/2016,Wetland.North,NA,NA,NA,NA,NA
6/16/2016,Wetland.South,NA,NA,NA,NA,NA
6/16/2016,Soil.Pit.East,NA,NA,NA,NA,NA
6/16/2016,Soil.Pit.West,NA,NA,NA,NA,NA
6/16/2016,Succession.East,NA,NA,NA,NA,NA
6/16/2016,Succession.West,NA,NA,NA,NA,NA
6/16/2016,Water.Tower.North,NA,NA,NA,NA,NA
6/16/2016,Water.Tower.South,NA,NA,NA,NA,NA
6/24/2016,Barn.North.East,10.6,1.4,1.4,7.2,19.9
6/24/2016,Barn.North.West,8.1,7.5,5.7,2.5,5.2
6/24/2016,Barn.South.East,4.3,7.1,4.3,3.6,7.4
6/24/2016,Barn.South.West,6.8,3.2,7.7,11.9,5.8
6/24/2016,Duck.Lake.East,8,7.8,5.9,5.9,9.8
6/24/2016,Duck.Lake.West,1.9,7.8,2.3,6.3,5.6
6/24/2016,Field.Lab.East,3.9,3,4.1,4.5,9.9
6/24/2016,Field.Lab.West,16,7.6,7.8,6.3,8.2
6/24/2016,LTER.Pot.Hole.North,9.5,8.5,15.3,11.3,2.1
6/24/2016,LTER.Pot.Hole.South,10.6,8.7,27,15.2,9.7
6/24/2016,No.Till.North,8.9,10.7,6.6,6.6,2.5
6/24/2016,No.Till.South,8.2,9.6,7.6,4.9,5.5
6/24/2016,Reed.Canary.North ,3.4,5.2,2.2,7.7,6.6
6/24/2016,Reed.Canary.South,8.3,12.1,8.9,12,10
6/24/2016,Spruce.Lodge.West,6,5.4,7.6,9.4,5.5
6/24/2016,Spruce.Lodge.East,11.6,4.7,10.2,6.9,5.5
6/24/2016,Wetland.North,15.6,9.8,10.3,9.7,9.8
6/24/2016,Wetland.South,7.9,8.5,4.1,5.7,2.1
6/24/2016,Soil.Pit.East,6.2,7.1,5,5.4,5.5
6/24/2016,Soil.Pit.West,7.3,9.1,8.4,4.3,8.6
6/24/2016,Succession.East,10.5,6.5,6.2,5.8,7.5
6/24/2016,Succession.West,11.5,14.7,8.7,11.6,5.6
6/24/2016,Water.Tower.North,10.3,7.4,2.9,7,6.3
6/24/2016,Water.Tower.South,6.9,3.8,5.1,10.4,3.4
6/28/2016,Barn.North.East,3.2,3.2,6.1,5.8,10.8
6/28/2016,Barn.North.West,4.1,1.7,2.3,0,0
6/28/2016,Barn.South.East,0.1,1.2,1.5,0,0.6
6/28/2016,Barn.South.West,0.1,0.9,4,6.2,4.6
6/28/2016,Duck.Lake.East,4.6,1.5,1.3,1.6,3.1
6/28/2016,Duck.Lake.West,3.2,2.2,0,1.1,2.5
6/28/2016,Field.Lab.East,0,0.9,0,3.7,4.5
6/28/2016,Field.Lab.West,3.4,5.6,3.7,7.1,2.5
6/28/2016,LTER.Pot.Hole.North,6.9,6.2,10.5,9.8,2.4
6/28/2016,LTER.Pot.Hole.South,2.6,5.1,11.3,8.5,4.5
6/28/2016,No.Till.North,3,6.9,3.4,1.6,1.3
6/28/2016,No.Till.South,2.8,4.3,1.9,1.7,2.9
6/28/2016,Reed.Canary.North ,0.5,2.1,1.6,0.1,1.5
6/28/2016,Reed.Canary.South,1.7,11.9,6.7,5.5,5.2
6/28/2016,Spruce.Lodge.West,8,1.9,4.9,3.5,4.8
6/28/2016,Spruce.Lodge.East,0.9,4.5,1.8,3.3,1.9
6/28/2016,Wetland.North,7.8,6.6,1.5,6.9,3.3
6/28/2016,Wetland.South,1.5,2,4.2,3.7,0
6/28/2016,Soil.Pit.East,2,4.9,1.9,0.7,5.9
6/28/2016,Soil.Pit.West,2.1,1.2,0,6,2.9
6/28/2016,Succession.East,6.8,2,0.1,3.1,1.2
6/28/2016,Succession.West,5,10.5,2.7,2.2,2.1
6/28/2016,Water.Tower.North,4.7,5.1,0.9,4.5,0
6/28/2016,Water.Tower.South,0.7,0.4,0.9,0,2.7
7/7/2016,Barn.North.East,2.1,4.2,4.2,3.6,10.4
7/7/2016,Barn.North.West,6.1,3.2,3.8,0.2,1.3
7/7/2016,Barn.South.East,0.4,1.7,2.1,0.1,2.8
7/7/2016,Barn.South.West,4.7,1.9,2.8,5.8,3.7
7/7/2016,Duck.Lake.East,3.1,3.7,0,1.6,1.8
7/7/2016,Duck.Lake.West,1.8,1,0,1.7,0.1
7/7/2016,Field.Lab.East,0.9,0.2,0,2.7,3.4
7/7/2016,Field.Lab.West,4.1,2.8,2,2.4,3.1
7/7/2016,LTER.Pot.Hole.North,1,3.2,4.4,3.7,0.7
7/7/2016,LTER.Pot.Hole.South,1.4,1.7,9.1,5.1,3.2
7/7/2016,No.Till.North,3,0.2,2.2,1.9,8
7/7/2016,No.Till.South,2.6,4.3,2.8,1.7,13.8
7/7/2016,Reed.Canary.North ,0,0.1,0,0,0.7
7/7/2016,Reed.Canary.South,2.4,3.2,5.7,4.3,5.3
7/7/2016,Spruce.Lodge.West,0.3,0.2,0.1,3,0.8
7/7/2016,Spruce.Lodge.East,1.6,2.4,0.5,0.5,1.1
7/7/2016,Wetland.North,2.5,4.8,4,4.6,3.3
7/7/2016,Wetland.South,0,0.7,0,0,0
7/7/2016,Soil.Pit.East,1.8,2.5,4.4,1.1,2.9
7/7/2016,Soil.Pit.West,1.1,1.4,0,3.9,1.3
7/7/2016,Succession.East,3.6,5.5,0.3,1.5,4.9
7/7/2016,Succession.West,4.8,5.6,1.1,0.9,1.7
7/7/2016,Water.Tower.North,0,1.5,0,0.5,0.1
7/7/2016,Water.Tower.South,0.8,3.8,7,0,0.2
7/21/2016,Barn.North.East,15.8,16.8,14.4,19,47.2
7/21/2016,Barn.North.West,15.7,14.8,20,15.1,9.9
7/21/2016,Barn.South.East,14.1,12.7,11.5,14.2,10.1
7/21/2016,Barn.South.West,19.8,11.6,16.8,13.2,11.4
7/21/2016,Duck.Lake.East,11.9,15.4,13.4,5.9,13.1
7/21/2016,Duck.Lake.West,3.9,11.8,15.5,13.2,15.3
7/21/2016,Field.Lab.East,12.4,13.1,18.7,19.7,16.7
7/21/2016,Field.Lab.West,18.6,16.9,14.9,20.7,19.6
7/21/2016,LTER.Pot.Hole.North,15.7,13.2,11.2,15.4,10.8
7/21/2016,LTER.Pot.Hole.South,14.3,4.9,16.8,17.1,16.5
7/21/2016,No.Till.North,16.5,8.5,14.5,15.8,10
7/21/2016,No.Till.South,13.7,14.4,10.3,13.9,12.1
7/21/2016,Reed.Canary.North ,7.2,21,11.8,15.9,9.4
7/21/2016,Reed.Canary.South,13.7,20.2,16.1,11.1,10.9
7/21/2016,Spruce.Lodge.West,14.4,13.5,14.4,14.9,10.6
7/21/2016,Spruce.Lodge.East,15.4,13.2,14.3,12.4,7.4
7/21/2016,Wetland.North,12.8,16.8,14.7,16.8,17.8
7/21/2016,Wetland.South,14.6,11.8,15.1,13.5,10.7
7/21/2016,Soil.Pit.East,14.2,4.2,12.9,10.5,11.2
7/21/2016,Soil.Pit.West,8.8,8.2,11.9,5.6,11.9
7/21/2016,Succession.East,13.4,13.1,14.5,13.7,11.7
7/21/2016,Succession.West,15.5,20.2,13.8,18.8,15.2
7/21/2016,Water.Tower.North,19.4,14.9,14.2,9.9,17.7
7/21/2016,Water.Tower.South,16.5,16.8,16.1,16.6,15.9
8/10/2016,Barn.North.East,8.2,9.6,9.3,9.2,15.8
8/10/2016,Barn.North.West,8.2,5.4,5.1,5.2,3.6
8/10/2016,Barn.South.East,4.6,5.9,4.8,6.9,5.5
8/10/2016,Barn.South.West,4.7,6.6,6.6,6.7,8.3
8/10/2016,Duck.Lake.East,4.9,7.3,5.1,4.6,5.4
8/10/2016,Duck.Lake.West,4.2,5.5,2,4.4,3.7
8/10/2016,Field.Lab.East,4.7,5,5.3,8.5,5.9
8/10/2016,Field.Lab.West,9.5,8.6,5.8,7.8,5.5
8/10/2016,LTER.Pot.Hole.North,2.3,4.1,4.6,5.4,2
8/10/2016,LTER.Pot.Hole.South,4,3.5,7.1,8.3,7.1
8/10/2016,No.Till.North,5.4,5.6,4.5,6,4.6
8/10/2016,No.Till.South,4.9,6.3,5.9,8.2,6.4
8/10/2016,Reed.Canary.North ,7.1,6,5.5,8.1,7.5
8/10/2016,Reed.Canary.South,5.6,12.3,11.7,12,9.8
8/10/2016,Spruce.Lodge.West,7.6,9.8,9.1,10,5.3
8/10/2016,Spruce.Lodge.East,10.4,3.4,6.3,7.8,7.8
8/10/2016,Wetland.North,9.5,13.5,9.9,6,6.8
8/10/2016,Wetland.South,3.2,8.1,6.3,4.8,5.3
8/10/2016,Soil.Pit.East,6,4.2,5.6,4,5
8/10/2016,Soil.Pit.West,8.6,8.7,5.7,4.2,5.7
8/10/2016,Succession.East,9.7,10.1,7.7,6.5,7.1
8/10/2016,Succession.West,15,9.9,8.1,10.8,5.6
8/10/2016,Water.Tower.North,11.9,11,9.8,4.8,9.7
8/10/2016,Water.Tower.South,4.8,4.9,7.8,6.6,5.3
