"scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","source_citation","project_pi","verbatim_family","verbatim_scientific_name","name_submitted","family_matched","name_matched","name_matched_author","higher_plant_group","tnrs_warning","matched_taxonomic_status","scrubbed_taxonomic_status","scrubbed_family","scrubbed_genus","scrubbed_specific_epithet","scrubbed_taxon_name_no_author","scrubbed_taxon_canonical","scrubbed_author","scrubbed_taxon_name_with_author","scrubbed_species_binomial_with_morphospecies","access","id"
"Pinus ponderosa","whole plant height","67.9704","m","Maximum height",NA,NA,NA,"http://www.americanforests.org/resources/bigtrees/register.php",NA,NA,NA,"Pinus ponderosa var. ponderosa","Pinus ponderosa var. ponderosa","Pinaceae","Pinus ponderosa var. ponderosa",NA,"gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa var. ponderosa","Pinus ponderosa ponderosa",NA,"Pinus ponderosa var. ponderosa","Pinus ponderosa var. ponderosa","public",3148777
"Pinus ponderosa","plant flowering begin","6/1/1942","date","first-flowering time",NA,NA,NA,NA,"Travers, S.E., Dunnell, K.L. 2009. First-flowering dates of plants in the Northern Great Plains. Ecology 90:2332.","Steven Travers","steven.travers@ndsu.edu","Pinus scopulorum","Pinaceae Pinus scopulorum","Pinaceae","Pinus scopulorum","(Engelm.) Lemmon","gymnosperms (conifers)",NA,"Synonym","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa var. scopulorum","Pinus ponderosa scopulorum","Engelm.","Pinus ponderosa var. scopulorum Engelm.","Pinus ponderosa var. scopulorum","public",3173537
"Pinus ponderosa","leaf area per leaf dry mass","0.0385198556","m2.kg-1",NA,NA,NA,1750,"http://datadryad.org/resource/doi:10.5061/dryad.q2n8p","Stevens JT, Safford HD, Harrison S, Latimer AM (2015) Forest disturbance accelerates thermophilization of understory plant communities. Journal of Ecology 103(5): 1253-1263. http://dx.doi.org/10.1111/1365-2745.12426","Stevens JT","jtstevens@ucdavis.edu","Pinus ponderosa","Pinaceae Pinus ponderosa","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa","Pinus ponderosa","P. Lawson & C. Lawson","Pinus ponderosa P. Lawson & C. Lawson","Pinus ponderosa","public",3173555
"Pinus ponderosa","leaf carbon content per leaf nitrogen content","36.780303",NA,NA,NA,NA,1750,"http://datadryad.org/resource/doi:10.5061/dryad.q2n8p","Stevens JT, Safford HD, Harrison S, Latimer AM (2015) Forest disturbance accelerates thermophilization of understory plant communities. Journal of Ecology 103(5): 1253-1263. http://dx.doi.org/10.1111/1365-2745.12426","Stevens JT","jtstevens@ucdavis.edu","Pinus ponderosa","Pinaceae Pinus ponderosa","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa","Pinus ponderosa","P. Lawson & C. Lawson","Pinus ponderosa P. Lawson & C. Lawson","Pinus ponderosa","public",3173556
"Pinus ponderosa","whole plant height","21.8","m",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.n3s2m","Nidzgorski DA, Hobbie SE (2016) Urban trees reduce nutrient leaching to groundwater. Ecological Applications 26(5): 1566-1580 http://dx.doi.org/10.1002/15-0976","Nidzgorski DA","dnidz@civiceco.org","Pinus ponderosa","Pinus ponderosa","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa","Pinus ponderosa","P. Lawson & C. Lawson","Pinus ponderosa P. Lawson & C. Lawson","Pinus ponderosa","public",3173654
"Pinus ponderosa","diameter at breast height (1.3 m)","36.8","cm",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.n3s2m","Nidzgorski DA, Hobbie SE (2016) Urban trees reduce nutrient leaching to groundwater. Ecological Applications 26(5): 1566-1580 http://dx.doi.org/10.1002/15-0976","Nidzgorski DA","dnidz@civiceco.org","Pinus ponderosa","Pinus ponderosa","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa","Pinus ponderosa","P. Lawson & C. Lawson","Pinus ponderosa P. Lawson & C. Lawson","Pinus ponderosa","public",3173844
"Pinus ponderosa","leaf nitrogen content per leaf dry mass","15.9","mg.g-1","All samples were dried at 60 Â°C, ground using a Thomas WileyÂ® Mini-Mill (Thomas Scientific, Swedesboro, New Jersey, USA), passed through a 40-Âµm mesh and stored at room temperature until loaded into 9 mm Ã 5 mm tin capsules. Leaf, root, EcM and soil samples were sent to the Duke Environmental Stable Isotope Laboratory in April 2011 for analysis of d13C, d15N, %C and %N.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.gd905","Hess LJT, Austin AT (2014) Pinus ponderosa alters nitrogen dynamics and diminishes the climate footprint in natural ecosystems of Patagonia. Journal of Ecology 102(3): 610-621. http://dx.doi.org/10.1111/1365-2745.12228","Austin AT","austin@ifeva.edu.ar","Pinus ponderosa","Pinus ponderosa","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa","Pinus ponderosa","P. Lawson & C. Lawson","Pinus ponderosa P. Lawson & C. Lawson","Pinus ponderosa","public",3174177
"Pinus ponderosa","leaf carbon content per leaf dry mass","528.5118","mg.g-1","We measured total leaf C and N using a Variomax CN combustion analyzer (Elementar Analysensysteme, GmbH, Haunau, Germany).",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.n3s2m","Nidzgorski DA, Hobbie SE (2016) Urban trees reduce nutrient leaching to groundwater. Ecological Applications 26(5): 1566-1580 http://dx.doi.org/10.1002/15-0976","Nidzgorski DA","dnidz@civiceco.org","Pinus ponderosa","Pinus ponderosa","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa","Pinus ponderosa","P. Lawson & C. Lawson","Pinus ponderosa P. Lawson & C. Lawson","Pinus ponderosa","public",3174185
"Pinus ponderosa","leaf nitrogen content per leaf dry mass","10.8","mg.g-1","All samples were dried at 60 Â°C, ground using a Thomas WileyÂ® Mini-Mill (Thomas Scientific, Swedesboro, New Jersey, USA), passed through a 40-Âµm mesh and stored at room temperature until loaded into 9 mm Ã 5 mm tin capsules. Leaf, root, EcM and soil samples were sent to the Duke Environmental Stable Isotope Laboratory in April 2011 for analysis of d13C, d15N, %C and %N.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.gd905","Hess LJT, Austin AT (2014) Pinus ponderosa alters nitrogen dynamics and diminishes the climate footprint in natural ecosystems of Patagonia. Journal of Ecology 102(3): 610-621. http://dx.doi.org/10.1111/1365-2745.12228","Austin AT","austin@ifeva.edu.ar","Pinus ponderosa","Pinus ponderosa","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa","Pinus ponderosa","P. Lawson & C. Lawson","Pinus ponderosa P. Lawson & C. Lawson","Pinus ponderosa","public",3208815
"Pinus ponderosa","whole plant height","18.8","m",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.n3s2m","Nidzgorski DA, Hobbie SE (2016) Urban trees reduce nutrient leaching to groundwater. Ecological Applications 26(5): 1566-1580 http://dx.doi.org/10.1002/15-0976","Nidzgorski DA","dnidz@civiceco.org","Pinus ponderosa","Pinus ponderosa","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa","Pinus ponderosa","P. Lawson & C. Lawson","Pinus ponderosa P. Lawson & C. Lawson","Pinus ponderosa","public",3214393
"Pinus ponderosa","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Travers, S.E., Dunnell, K.L. 2009. First-flowering dates of plants in the Northern Great Plains. Ecology 90:2332.","Steven Travers","steven.travers@ndsu.edu","Pinus scopulorum","Pinaceae Pinus scopulorum","Pinaceae","Pinus scopulorum","(Engelm.) Lemmon","gymnosperms (conifers)",NA,"Synonym","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa var. scopulorum","Pinus ponderosa scopulorum","Engelm.","Pinus ponderosa var. scopulorum Engelm.","Pinus ponderosa var. scopulorum","public",3215000
"Pinus ponderosa","plant flowering begin","5/22/1952","date","first-flowering time",NA,NA,NA,NA,"Travers, S.E., Dunnell, K.L. 2009. First-flowering dates of plants in the Northern Great Plains. Ecology 90:2332.","Steven Travers","steven.travers@ndsu.edu","Pinus scopulorum","Pinaceae Pinus scopulorum","Pinaceae","Pinus scopulorum","(Engelm.) Lemmon","gymnosperms (conifers)",NA,"Synonym","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa var. scopulorum","Pinus ponderosa scopulorum","Engelm.","Pinus ponderosa var. scopulorum Engelm.","Pinus ponderosa var. scopulorum","public",3216306
"Pinus ponderosa","diameter at breast height (1.3 m)","44.2","cm",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.n3s2m","Nidzgorski DA, Hobbie SE (2016) Urban trees reduce nutrient leaching to groundwater. Ecological Applications 26(5): 1566-1580 http://dx.doi.org/10.1002/15-0976","Nidzgorski DA","dnidz@civiceco.org","Pinus ponderosa","Pinus ponderosa","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa","Pinus ponderosa","P. Lawson & C. Lawson","Pinus ponderosa P. Lawson & C. Lawson","Pinus ponderosa","public",3216914
"Pinus ponderosa","leaf nitrogen content per leaf dry mass","17.7","mg.g-1","All samples were dried at 60 Â°C, ground using a Thomas WileyÂ® Mini-Mill (Thomas Scientific, Swedesboro, New Jersey, USA), passed through a 40-Âµm mesh and stored at room temperature until loaded into 9 mm Ã 5 mm tin capsules. Leaf, root, EcM and soil samples were sent to the Duke Environmental Stable Isotope Laboratory in April 2011 for analysis of d13C, d15N, %C and %N.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.gd905","Hess LJT, Austin AT (2014) Pinus ponderosa alters nitrogen dynamics and diminishes the climate footprint in natural ecosystems of Patagonia. Journal of Ecology 102(3): 610-621. http://dx.doi.org/10.1111/1365-2745.12228","Austin AT","austin@ifeva.edu.ar","Pinus ponderosa","Pinus ponderosa","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa","Pinus ponderosa","P. Lawson & C. Lawson","Pinus ponderosa P. Lawson & C. Lawson","Pinus ponderosa","public",3217315
"Pinus ponderosa","leaf nitrogen content per leaf dry mass","14.98615","mg.g-1","We measured total leaf C and N using a Variomax CN combustion analyzer (Elementar Analysensysteme, GmbH, Haunau, Germany).",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.n3s2m","Nidzgorski DA, Hobbie SE (2016) Urban trees reduce nutrient leaching to groundwater. Ecological Applications 26(5): 1566-1580 http://dx.doi.org/10.1002/15-0976","Nidzgorski DA","dnidz@civiceco.org","Pinus ponderosa","Pinus ponderosa","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa","Pinus ponderosa","P. Lawson & C. Lawson","Pinus ponderosa P. Lawson & C. Lawson","Pinus ponderosa","public",3217316
"Pinus ponderosa","leaf nitrogen content per leaf dry mass","11.1","mg.g-1","All samples were dried at 60 Â°C, ground using a Thomas WileyÂ® Mini-Mill (Thomas Scientific, Swedesboro, New Jersey, USA), passed through a 40-Âµm mesh and stored at room temperature until loaded into 9 mm Ã 5 mm tin capsules. Leaf, root, EcM and soil samples were sent to the Duke Environmental Stable Isotope Laboratory in April 2011 for analysis of d13C, d15N, %C and %N.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.gd905","Hess LJT, Austin AT (2014) Pinus ponderosa alters nitrogen dynamics and diminishes the climate footprint in natural ecosystems of Patagonia. Journal of Ecology 102(3): 610-621. http://dx.doi.org/10.1111/1365-2745.12228","Austin AT","austin@ifeva.edu.ar","Pinus ponderosa","Pinus ponderosa","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa","Pinus ponderosa","P. Lawson & C. Lawson","Pinus ponderosa P. Lawson & C. Lawson","Pinus ponderosa","public",3217317
"Pinus ponderosa","leaf carbon content per leaf dry mass","711.9","mg.g-1","All samples were dried at 60 Â°C, ground using a Thomas WileyÂ® Mini-Mill (Thomas Scientific, Swedesboro, New Jersey, USA), passed through a 40-Âµm mesh and stored at room temperature until loaded into 9 mm Ã 5 mm tin capsules. Leaf, root, EcM and soil samples were sent to the Duke Environmental Stable Isotope Laboratory in April 2011 for analysis of d13C, d15N, %C and %N.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.gd905","Hess LJT, Austin AT (2014) Pinus ponderosa alters nitrogen dynamics and diminishes the climate footprint in natural ecosystems of Patagonia. Journal of Ecology 102(3): 610-621. http://dx.doi.org/10.1111/1365-2745.12228","Austin AT","austin@ifeva.edu.ar","Pinus ponderosa","Pinus ponderosa","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa","Pinus ponderosa","P. Lawson & C. Lawson","Pinus ponderosa P. Lawson & C. Lawson","Pinus ponderosa","public",3217319
"Pinus ponderosa","leaf carbon content per leaf dry mass","545.3","mg.g-1","All samples were dried at 60 Â°C, ground using a Thomas WileyÂ® Mini-Mill (Thomas Scientific, Swedesboro, New Jersey, USA), passed through a 40-Âµm mesh and stored at room temperature until loaded into 9 mm Ã 5 mm tin capsules. Leaf, root, EcM and soil samples were sent to the Duke Environmental Stable Isotope Laboratory in April 2011 for analysis of d13C, d15N, %C and %N.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.gd905","Hess LJT, Austin AT (2014) Pinus ponderosa alters nitrogen dynamics and diminishes the climate footprint in natural ecosystems of Patagonia. Journal of Ecology 102(3): 610-621. http://dx.doi.org/10.1111/1365-2745.12228","Austin AT","austin@ifeva.edu.ar","Pinus ponderosa","Pinus ponderosa","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa","Pinus ponderosa","P. Lawson & C. Lawson","Pinus ponderosa P. Lawson & C. Lawson","Pinus ponderosa","public",3217320
"Pinus ponderosa","leaf carbon content per leaf dry mass","550.9","mg.g-1","All samples were dried at 60 Â°C, ground using a Thomas WileyÂ® Mini-Mill (Thomas Scientific, Swedesboro, New Jersey, USA), passed through a 40-Âµm mesh and stored at room temperature until loaded into 9 mm Ã 5 mm tin capsules. Leaf, root, EcM and soil samples were sent to the Duke Environmental Stable Isotope Laboratory in April 2011 for analysis of d13C, d15N, %C and %N.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.gd905","Hess LJT, Austin AT (2014) Pinus ponderosa alters nitrogen dynamics and diminishes the climate footprint in natural ecosystems of Patagonia. Journal of Ecology 102(3): 610-621. http://dx.doi.org/10.1111/1365-2745.12228","Austin AT","austin@ifeva.edu.ar","Pinus ponderosa","Pinus ponderosa","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa","Pinus ponderosa","P. Lawson & C. Lawson","Pinus ponderosa P. Lawson & C. Lawson","Pinus ponderosa","public",3217321
"Pinus ponderosa","seed mass","46.8","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H. 2008. Seed Information Database (release 7.1, May 2008) http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ","Pinus ponderosa","Pinus ponderosa","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa","Pinus ponderosa","P. Lawson & C. Lawson","Pinus ponderosa P. Lawson & C. Lawson","Pinus ponderosa","public",3242734
"Pinus ponderosa","seed mass","33.3","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H. 2008. Seed Information Database (release 7.1, May 2008) http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ","Pinus ponderosa","Pinus ponderosa","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa","Pinus ponderosa","P. Lawson & C. Lawson","Pinus ponderosa P. Lawson & C. Lawson","Pinus ponderosa","public",3242735
"Pinus ponderosa","seed mass","34.625372","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H. 2008. Seed Information Database (release 7.1, May 2008) http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ","Pinus ponderosa","Pinus ponderosa","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa","Pinus ponderosa","P. Lawson & C. Lawson","Pinus ponderosa P. Lawson & C. Lawson","Pinus ponderosa","public",3243090
"Pinus ponderosa","leaf area per leaf dry mass","16.5","m2.kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Kleyer M, Bekker RM, Knevel IC, et al. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora . Journal of Ecology 96: 1266-1274.","Michael Kleyer","michael.kleyer@uni-oldenburg.de","Pinus ponderosa","Pinus ponderosa","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa","Pinus ponderosa","P. Lawson & C. Lawson","Pinus ponderosa P. Lawson & C. Lawson","Pinus ponderosa","public",3243141
"Pinus ponderosa","plant flowering begin","5/31/1928","date","first-flowering time",NA,NA,NA,NA,"Travers, S.E., Dunnell, K.L. 2009. First-flowering dates of plants in the Northern Great Plains. Ecology 90:2332.","Steven Travers","steven.travers@ndsu.edu","Pinus scopulorum","Pinaceae Pinus scopulorum","Pinaceae","Pinus scopulorum","(Engelm.) Lemmon","gymnosperms (conifers)",NA,"Synonym","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa var. scopulorum","Pinus ponderosa scopulorum","Engelm.","Pinus ponderosa var. scopulorum Engelm.","Pinus ponderosa var. scopulorum","public",3257672
"Pinus ponderosa","plant flowering begin","5/28/1941","date","first-flowering time",NA,NA,NA,NA,"Travers, S.E., Dunnell, K.L. 2009. First-flowering dates of plants in the Northern Great Plains. Ecology 90:2332.","Steven Travers","steven.travers@ndsu.edu","Pinus scopulorum","Pinaceae Pinus scopulorum","Pinaceae","Pinus scopulorum","(Engelm.) Lemmon","gymnosperms (conifers)",NA,"Synonym","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa var. scopulorum","Pinus ponderosa scopulorum","Engelm.","Pinus ponderosa var. scopulorum Engelm.","Pinus ponderosa var. scopulorum","public",3262153
