Grassland,Vegetation,Treatment,Taxa,Life form,SLA,P,C,N
G6,Short-grass,2Deer,Festuca rubra,Forb,116.9528571,0.458,41.3,3.72
G6,Short-grass,5Insect,Festuca rubra,Forb,128.7645669,0.204,40.8,3.67
G2,Short-grass,1Control,Trifolium repens,Legume,187.9646667,0.184,40.3,3.62
G6,Short-grass,1Control,Galium pumilum,Forb,116.834153,0.204,40.8,3.66
G1,Short-grass,1Control,Lotus corniculatus,Legume,106.4892351,0.215,40.5,3.61
G2,Short-grass,4Mouse,Lotus corniculatus,Legume,129.0510949,0.164,40.2,3.58
G2,Short-grass,5Insect,Lotus corniculatus,Legume,204.4006803,0.245,40.2,3.58
G2,Short-grass,2Deer,Trifolium repens,Legume,279.8090278,0.194,39.7,3.52
G3,Short-grass,3Marmot,Lotus corniculatus,Legume,131.0325342,0.269,43.7,3.87
G4,Short-grass,2Deer,Festuca rubra,Forb,102.8643357,0.141,39.6,3.49
G6,Short-grass,4Mouse,Galium pumilum,Forb,201.8370213,0.66,39.5,3.48
G2,Short-grass,5Insect,Galium pumilum,Forb,273.281723,0.263,39.1,3.44
G1,Short-grass,5Insect,Lotus corniculatus,Legume,148.1043165,0.22,40.6,3.56
G6,Short-grass,1Control,Festuca rubra,Forb,145.1969072,0.165,42.1,3.69
G5,Short-grass,1Control,Trifolium repens,Legume,149.0854077,0.159,42.5,3.72
G6,Short-grass,3Marmot,Galium pumilum,Forb,155.7409668,0.216,40.9,3.56
G1,Short-grass,4Mouse,Lotus corniculatus,Legume,89.36746032,0.172,41.3,3.58
G1,Short-grass,4Mouse,Lotus corniculatus,Legume,114.9747475,0.141,40.4,3.5
G6,Short-grass,3Marmot,Lotus corniculatus,Legume,117.238292,0.224,41.8,3.62
G2,Short-grass,3Marmot,Trifolium repens,Legume,238.662069,0.195,39.4,3.41
G5,Short-grass,4Mouse,Lotus corniculatus,Legume,129.2153239,0.19,41.6,3.6
G1,Short-grass,2Deer,Trifolium repens,Legume,161.4941315,0.132,40.7,3.52
G2,Short-grass,3Marmot,Lotus corniculatus,Legume,147.2285156,0.226,38.8,3.35
G3,Short-grass,1Control,Lotus corniculatus,Legume,132.0097674,0.217,40.2,3.46
G5,Short-grass,4Mouse,Festuca rubra,Forb,182.9029126,0.179,41,3.51
G1,Short-grass,1Control,Trifolium repens,Legume,156.952765,0.14,40.7,3.48
G2,Short-grass,5Insect,Trifolium repens,Legume,337.7761044,0.178,40.4,3.45
G5,Short-grass,5Insect,Trifolium repens,Legume,232.7235589,0.185,41.6,3.55
G5,Short-grass,4Mouse,Trifolium repens,Legume,233.9395349,0.151,41.8,3.55
G5,Short-grass,2Deer,Trifolium repens,Legume,152.5293893,0.16,41.7,3.54
G1,Short-grass,2Deer,Lotus corniculatus,Legume,85.07839286,0.18,40.8,3.46
G1,Short-grass,5Insect,Trifolium repens,Legume,245.6403226,0.185,40.4,3.42
G2,Short-grass,4Mouse,Trifolium repens,Legume,239.8485356,0.188,40.4,3.42
G5,Short-grass,4Mouse,Galium pumilum,Forb,213.629121,0.205,41.3,3.49
G6,Short-grass,2Deer,Festuca rubra,Forb,127.6580952,0.191,40.2,3.39
G1,Short-grass,4Mouse,Trifolium repens,Legume,163.5247664,0.158,40.7,3.42
G1,Short-grass,3Marmot,Trifolium repens,Legume,219.29375,0.162,40.3,3.38
G5,Short-grass,5Insect,Lotus corniculatus,Legume,176.1051345,0.204,41.9,3.51
G6,Short-grass,1Control,Festuca rubra,Forb,98.26956522,0.232,41.2,3.44
G6,Short-grass,3Marmot,Festuca rubra,Forb,97.46699507,0.176,40.6,3.38
G6,Short-grass,4Mouse,Festuca rubra,Forb,114.3057377,0.268,40.2,3.34
G6,Short-grass,2Deer,Galium pumilum,Forb,144.5084767,0.197,39.8,3.29
G6,Short-grass,4Mouse,Festuca rubra,Forb,114.6064039,0.213,40.6,3.33
G4,Short-grass,2Deer,Galium pumilum,Forb,198.2840625,0.192,40.2,3.29
G5,Short-grass,2Deer,Lotus corniculatus,Legume,98.25,0.165,41.1,3.34
G4,Short-grass,1Control,Lotus corniculatus,Legume,100.1467391,0.159,41.3,3.35
G1,Short-grass,3Marmot,Lotus corniculatus,Legume,143.6334,0.164,40.8,3.27
G4,Short-grass,1Control,Galium pumilum,Forb,131.0979328,0.191,40.7,3.26
G3,Short-grass,4Mouse,Festuca rubra,Forb,144.8181818,0.128,42.8,3.41
G6,Short-grass,5Insect,Galium pumilum,Forb,256.4526848,0.423,40.2,3.19
G5,Short-grass,3Marmot,Trifolium repens,Legume,167.6221831,0.149,41.6,3.29
G5,Short-grass,4Mouse,Trifolium repens,Legume,193.9192513,0.122,41.3,3.24
G4,Short-grass,1Control,Trifolium repens,Legume,142.6520468,0.116,41.3,3.21
G6,Short-grass,5Insect,Carex sempervirens,Grass,85.89677966,0.272,42.1,3.27
G5,Short-grass,5Insect,Trifolium repens,Legume,279.3372596,0.238,41,3.17
G2,Short-grass,4Mouse,Galium pumilum,Forb,219.2622867,0.2,39.3,3.03
G2,Short-grass,4Mouse,Festuca rubra,Forb,177.54,0.186,38.8,2.99
G6,Short-grass,3Marmot,Galium pumilum,Forb,143.7868767,0.478,41.3,3.16
G4,Short-grass,4Mouse,Lotus corniculatus,Legume,121.2474138,0.213,41.7,3.18
G6,Short-grass,1Control,Crepis aurea,Grass,177.3726891,0.282,41.6,3.16
G5,Short-grass,3Marmot,Trifolium repens,Legume,167.6876596,0.182,41.1,3.12
G5,Short-grass,1Control,Trifolium repens,Legume,164.7290541,0.148,41.2,3.12
G5,Short-grass,3Marmot,Lotus corniculatus,Legume,106.690493,0.171,41.6,3.14
G5,Short-grass,4Mouse,Lotus corniculatus,Legume,109.6733083,0.126,41.1,3.1
G5,Short-grass,3Marmot,Lotus corniculatus,Legume,109.4530562,0.173,40.8,3.06
G6,Short-grass,5Insect,Crepis aurea,Grass,236.7876471,0.353,42.3,3.17
G5,Short-grass,2Deer,Galium pumilum,Forb,201.5455585,0.18,40.1,3
G6,Short-grass,5Insect,Briza media,Sedge,94.54150641,0.188,42.7,3.19
G1,Short-grass,1Control,Festuca rubra,Forb,129.0631579,0.19,39.6,2.94
G5,Short-grass,2Deer,Trifolium repens,Legume,162.3848485,0.15,41.2,3.05
G4,Short-grass,5Insect,Festuca rubra,Forb,139.427551,0.176,42.2,3.11
G4,Short-grass,1Control,Festuca rubra,Forb,133.2555556,0.126,40.2,2.96
G5,Short-grass,1Control,Lotus corniculatus,Legume,91.87672131,0.129,41.3,3.04
G4,Short-grass,4Mouse,Galium pumilum,Forb,134.9307448,0.162,41,3.01
G6,Short-grass,4Mouse,Carex sempervirens,Grass,81.91595577,0.198,41.3,3.01
G4,Short-grass,5Insect,Trifolium repens,Legume,216.499162,0.183,40.4,2.94
G4,Short-grass,5Insect,Lotus corniculatus,Legume,174.7037037,0.23,40.1,2.89
G6,Short-grass,1Control,Carex sempervirens,Grass,94.90384615,0.196,41.7,2.99
G4,Short-grass,5Insect,Galium pumilum,Forb,193.6852009,0.204,42.6,3.04
G1,Short-grass,5Insect,Festuca rubra,Forb,210.1976378,0.296,39.3,2.79
G5,Short-grass,2Deer,Festuca rubra,Forb,149.0269231,0.133,40.3,2.86
G4,Short-grass,3Marmot,Festuca rubra,Forb,135.9333333,0.123,40.2,2.85
G5,Short-grass,2Deer,Lotus corniculatus,Legume,105.8471831,0.141,41.4,2.93
G6,Short-grass,2Deer,Carex sempervirens,Grass,87.1754491,0.461,41.5,2.92
G5,Short-grass,3Marmot,Galium pumilum,Forb,178.0677671,0.182,40.5,2.83
G2,Short-grass,3Marmot,Galium pumilum,Forb,194.6463274,0.219,38.5,2.69
G1,Short-grass,1Control,Galium pumilum,Forb,156.3983257,0.212,39.3,2.74
G4,Short-grass,3Marmot,Lotus corniculatus,Legume,106.7240343,0.135,41.9,2.92
G3,Short-grass,5Insect,Festuca rubra,Forb,167.532,0.137,41.5,2.89
G5,Short-grass,1Control,Galium pumilum,Forb,225.8813648,0.214,41.8,2.91
G6,Short-grass,3Marmot,Crepis aurea,Grass,195.1081081,0.452,42.3,2.93
G6,Short-grass,5Insect,Festuca rubra,Forb,129.9666667,0.226,39.4,2.71
G6,Short-grass,3Marmot,Festuca rubra,Forb,114.4409938,0.359,40.8,2.8
G1,Short-grass,3Marmot,Galium pumilum,Forb,173.1479199,0.188,39.5,2.71
G5,Short-grass,3Marmot,Festuca rubra,Forb,148.3372549,0.151,40.3,2.74
G6,Short-grass,2Deer,Crepis aurea,Grass,160.9118644,0.492,41.4,2.81
G1,Short-grass,2Deer,Galium pumilum,Forb,164.3090153,0.209,39.6,2.67
G4,Short-grass,4Mouse,Crepis aurea,Grass,105.8830904,0.081,42.5,2.86
G6,Short-grass,4Mouse,Crepis aurea,Grass,184.7519553,0.389,42.6,2.86
G4,Short-grass,3Marmot,Galium pumilum,Forb,115.1958519,0.175,40.4,2.71
G1,Short-grass,3Marmot,Galium pumilum,Forb,174.2841395,0.203,39.2,2.62
G6,Short-grass,3Marmot,Carex sempervirens,Grass,73.365625,0.248,42.4,2.82
G1,Short-grass,4Mouse,Galium pumilum,Forb,243.5422096,0.21,39.9,2.64
G1,Short-grass,5Insect,Galium pumilum,Forb,311.738746,0.27,39.9,2.64
G6,Short-grass,4Mouse,Crepis aurea,Grass,177.0597374,0.202,41.7,2.75
G1,Short-grass,4Mouse,Festuca rubra,Forb,122.9814159,0.165,41.9,2.75
G5,Short-grass,5Insect,Galium pumilum,Forb,226.6277723,0.14,40.3,2.64
G1,Short-grass,4Mouse,Festuca rubra,Forb,117.4714286,0.187,39.5,2.58
G1,Short-grass,2Deer,Festuca rubra,Forb,127.1578571,0.249,39.8,2.59
G4,Short-grass,4Mouse,Carex sempervirens,Grass,67.12111111,0.096,42.2,2.74
G1,Short-grass,4Mouse,Galium pumilum,Forb,122.4338462,0.205,41.2,2.67
G1,Short-grass,3Marmot,Festuca rubra,Forb,164.7797872,0.182,39.5,2.55
G6,Short-grass,2Deer,Briza media,Sedge,90.0711828,0.161,43.4,2.8
G3,Short-grass,5Insect,Galium pumilum,Forb,262.427321,0.193,41.3,2.66
G5,Short-grass,1Control,Festuca rubra,Forb,150.4974026,0.162,41.7,2.67
G3,Short-grass,1Control,Galium pumilum,Forb,185.3618715,0.197,38.4,2.45
G3,Short-grass,3Marmot,Crepis aurea,Grass,129.0736025,0.147,43.6,2.78
G1,Short-grass,3Marmot,Festuca rubra,Forb,146.5546512,0.133,41.6,2.65
G4,Short-grass,1Control,Carex sempervirens,Grass,62.89467787,0.097,42.7,2.72
G2,Short-grass,2Deer,Galium pumilum,Forb,166.6739946,0.188,38.3,2.36
G2,Short-grass,2Deer,Festuca rubra,Forb,160.1333333,0.2,39.3,2.41
G5,Short-grass,5Insect,Galium pumilum,Forb,203.9241743,0.176,40.5,2.48
G1,Short-grass,2Deer,Galium pumilum,Forb,221.8233792,0.215,42,2.57
G6,Short-grass,1Control,Carex sempervirens,Grass,80.94466667,0.165,41.9,2.56
G4,Short-grass,1Control,Crepis aurea,Grass,133.6935018,0.094,42.4,2.58
G5,Short-grass,1Control,Festuca rubra,Forb,146.5157025,0.156,39.8,2.42
G5,Short-grass,4Mouse,Galium pumilum,Forb,178.8717518,0.18,40.4,2.45
G3,Short-grass,4Mouse,Crepis aurea,Grass,116.8857692,0.158,41.6,2.52
G3,Short-grass,1Control,Festuca rubra,Forb,121.5373737,0.129,39.2,2.37
G5,Short-grass,5Insect,Festuca rubra,Forb,252.2392157,0.183,40.6,2.45
G3,Short-grass,2Deer,Galium pumilum,Forb,158.7608169,0.251,38.8,2.34
G6,Short-grass,2Deer,Crepis aurea,Grass,154.84,0.175,42.1,2.52
G5,Short-grass,1Control,Galium pumilum,Forb,139.1713615,0.17,39.6,2.37
G2,Short-grass,3Marmot,Briza media,Sedge,99.60336622,0.225,41.2,2.46
G3,Short-grass,5Insect,Crepis aurea,Grass,119.8006623,0.09,43.4,2.59
G4,Short-grass,5Insect,Carex sempervirens,Grass,64.05427046,0.125,42.7,2.54
G2,Short-grass,1Control,Galium pumilum,Forb,240.224356,0.246,41.5,2.45
G6,Short-grass,4Mouse,Carex sempervirens,Grass,76.6974026,0.213,42.4,2.5
G3,Short-grass,2Deer,Festuca rubra,Forb,148.7214286,0.114,41.2,2.42
G2,Short-grass,3Marmot,Festuca rubra,Forb,174.5386364,0.197,39.5,2.31
G5,Short-grass,3Marmot,Galium pumilum,Forb,167.4303843,0.186,39.9,2.31
G4,Short-grass,5Insect,Crepis aurea,Grass,139.1506954,0.107,42.5,2.46
G5,Short-grass,2Deer,Galium pumilum,Forb,154.159478,0.188,39.4,2.28
G5,Short-grass,3Marmot,Festuca rubra,Forb,173.2622222,0.158,39.8,2.3
G2,Short-grass,1Control,Festuca rubra,Forb,110.8257732,0.208,40.6,2.34
G5,Short-grass,5Insect,Festuca rubra,Forb,282.2666667,0.201,40.8,2.35
G1,Short-grass,4Mouse,Carex sempervirens,Grass,66.05367232,0.139,42.1,2.42
G1,Short-grass,2Deer,Festuca rubra,Forb,103.015493,0.147,41.9,2.38
G1,Short-grass,1Control,Carex sempervirens,Grass,85.69101796,0.145,42.7,2.42
G6,Short-grass,3Marmot,Carex sempervirens,Grass,75.82482143,0.171,41.5,2.35
G2,Short-grass,3Marmot,Carex sempervirens,Grass,81.31715686,0.145,41,2.32
G6,Short-grass,2Deer,Carex sempervirens,Grass,79.02723214,0.155,42.3,2.39
G6,Short-grass,1Control,Crepis aurea,Grass,146.695092,0.162,41.8,2.36
G2,Short-grass,5Insect,Crepis aurea,Grass,224.2748663,0.172,40.1,2.26
G6,Short-grass,5Insect,Crepis aurea,Grass,133.2810811,0.185,42.1,2.37
G3,Short-grass,1Control,Carex caryophyllea,Sedge,101.6997143,0.111,41.8,2.35
G1,Short-grass,5Insect,Galium pumilum,Forb,298.8142562,0.195,41.9,2.35
G1,Short-grass,1Control,Galium pumilum,Forb,147.8852792,0.215,41.2,2.31
G2,Short-grass,3Marmot,Crepis aurea,Grass,131.6032879,0.164,40.9,2.26
G4,Short-grass,2Deer,Crepis aurea,Grass,135.4598148,0.109,42.1,2.31
G1,Short-grass,1Control,Festuca rubra,Forb,133.97375,0.108,41.4,2.27
G5,Short-grass,2Deer,Festuca rubra,Forb,136.1164384,0.134,42.2,2.31
G1,Short-grass,2Deer,Carex sempervirens,Grass,65.9028626,0.138,42.8,2.34
G1,Short-grass,4Mouse,Crepis aurea,Grass,93.59435337,0.153,41,2.24
G4,Short-grass,2Deer,Carex sempervirens,Grass,62.85504386,0.08,41.6,2.26
G1,Short-grass,4Mouse,Briza media,Sedge,64.44967159,0.209,42.5,2.3
G4,Short-grass,3Marmot,Crepis aurea,Grass,129.154375,0.085,42.5,2.29
G1,Short-grass,2Deer,Crepis aurea,Grass,99.89178818,0.156,42.2,2.27
G6,Short-grass,3Marmot,Crepis aurea,Grass,156.7013825,0.209,41.4,2.22
G2,Short-grass,5Insect,Carex sempervirens,Grass,71.03092059,0.165,39.8,2.13
G1,Short-grass,1Control,Crepis aurea,Grass,113.7159705,0.162,42.2,2.24
G2,Short-grass,5Insect,Briza media,Sedge,93.79093979,0.195,40.8,2.16
G2,Short-grass,4Mouse,Briza media,Sedge,95.83303386,0.187,40.6,2.14
G2,Short-grass,4Mouse,Crepis aurea,Grass,152.7345745,0.158,41.1,2.16
G1,Short-grass,2Deer,Briza media,Sedge,57.17960954,0.168,42.5,2.23
G1,Short-grass,4Mouse,Carex caryophyllea,Sedge,93.59236364,0.166,42.1,2.19
G3,Short-grass,4Mouse,Carex caryophyllea,Sedge,90.46671177,0.142,42.9,2.22
G2,Short-grass,2Deer,Briza media,Sedge,87.3203939,0.196,41.4,2.14
G1,Short-grass,2Deer,Carex caryophyllea,Sedge,77.19485459,0.129,42.4,2.19
G1,Short-grass,3Marmot,Crepis aurea,Grass,107.6652517,0.142,42.5,2.19
G1,Short-grass,3Marmot,Carex caryophyllea,Sedge,79.83634409,0.143,42.7,2.2
G1,Short-grass,1Control,Crepis aurea,Grass,104.739604,0.118,42.2,2.16
G5,Short-grass,1Control,Carex caryophyllea,Sedge,109.1201087,0.136,42.4,2.17
G2,Short-grass,1Control,Briza media,Sedge,87.86162228,0.191,41.7,2.12
G6,Short-grass,3Marmot,Briza media,Sedge,104.8341317,0.162,42.8,2.17
G2,Short-grass,2Deer,Crepis aurea,Grass,147.7345768,0.146,40.5,2.05
G1,Short-grass,3Marmot,Crepis aurea,Grass,122.4109375,0.114,41.9,2.12
G1,Short-grass,3Marmot,Carex sempervirens,Grass,82.44593301,0.126,42.5,2.15
G4,Short-grass,1Control,Carex caryophyllea,Sedge,101.0707865,0.104,42.7,2.16
G1,Short-grass,5Insect,Carex sempervirens,Grass,105.352963,0.162,41.7,2.1
G4,Short-grass,4Mouse,Carex caryophyllea,Sedge,94.60598131,0.113,42.9,2.15
G4,Short-grass,5Insect,Carex caryophyllea,Sedge,103.4752961,0.128,43.2,2.15
G1,Short-grass,2Deer,Crepis aurea,Grass,109.0189262,0.143,41.6,2.07
G2,Short-grass,1Control,Carex caryophyllea,Sedge,132.5064171,0.165,41.4,2.06
G1,Short-grass,5Insect,Crepis aurea,Grass,140.9190819,0.135,41.7,2.07
G1,Short-grass,5Insect,Crepis aurea,Grass,140.4941468,0.153,41.5,2.06
G1,Short-grass,4Mouse,Carex caryophyllea,Sedge,112.818123,0.138,42.2,2.09
G2,Short-grass,4Mouse,Carex sempervirens,Grass,69.85729677,0.182,40.8,2.01
G1,Short-grass,3Marmot,Briza media,Sedge,76.99110567,0.153,43.1,2.12
G5,Short-grass,2Deer,Crepis aurea,Grass,109.4891457,0.138,42.3,2.08
G1,Short-grass,4Mouse,Crepis aurea,Grass,86.71585366,0.131,42.9,2.09
G1,Short-grass,1Control,Carex sempervirens,Grass,74.59521531,0.101,42.4,2.06
G3,Short-grass,5Insect,Carex caryophyllea,Sedge,101.8184962,0.164,42.2,2.04
G3,Short-grass,1Control,Carex sempervirens,Grass,85.89178744,0.133,40.2,1.94
G1,Short-grass,1Control,Carex caryophyllea,Sedge,115.5544061,0.194,42.3,2.04
G1,Short-grass,2Deer,Carex sempervirens,Grass,78.37533784,0.109,41.7,2.01
G6,Short-grass,5Insect,Carex sempervirens,Grass,71.98473684,0.167,42.2,2.03
G2,Short-grass,2Deer,Carex sempervirens,Grass,84.79056974,0.136,40.7,1.95
G5,Short-grass,2Deer,Carex sempervirens,Grass,75.56260388,0.176,42.4,2.03
G5,Short-grass,1Control,Briza media,Sedge,96.958669,0.148,42.5,2.03
G1,Short-grass,3Marmot,Carex sempervirens,Grass,81.48843188,0.103,42.4,2.02
G5,Short-grass,1Control,Carex sempervirens,Grass,73.77682403,0.146,42,2
G2,Short-grass,1Control,Carex sempervirens,Grass,81.59555556,0.161,41.3,1.95
G4,Short-grass,4Mouse,Briza media,Sedge,85.16408185,0.132,43,2.03
G5,Short-grass,2Deer,Carex caryophyllea,Sedge,123.0563265,0.131,41.5,1.95
G1,Short-grass,4Mouse,Briza media,Sedge,79.20278271,0.153,42.2,1.98
G1,Short-grass,1Control,Briza media,Sedge,94.72358888,0.18,42.7,2
G1,Short-grass,5Insect,Festuca rubra,Forb,158.8673077,0.157,41.1,1.92
G4,Short-grass,1Control,Briza media,Sedge,97.11229508,0.107,43.6,2.03
G1,Short-grass,4Mouse,Carex sempervirens,Grass,70.14986523,0.109,43,2
G5,Short-grass,1Control,Crepis aurea,Grass,129.8752041,0.157,41.8,1.94
G3,Short-grass,2Deer,Carex caryophyllea,Sedge,97.75591549,0.161,41.3,1.91
G2,Short-grass,1Control,Crepis aurea,Grass,144.8698529,0.165,41.8,1.93
G3,Short-grass,3Marmot,Carex caryophyllea,Sedge,9.74561039,0.166,42.9,1.98
G1,Short-grass,5Insect,Carex sempervirens,Grass,87.08787158,0.121,41.9,1.93
G4,Short-grass,2Deer,Carex caryophyllea,Sedge,98.15498008,0.126,43.7,2.01
G5,Short-grass,4Mouse,Crepis aurea,Grass,114.6948403,0.12,42.2,1.94
G1,Short-grass,1Control,Carex caryophyllea,Sedge,94.63057851,0.123,42.5,1.95
G5,Short-grass,5Insect,Carex sempervirens,Grass,105.9665116,0.177,41.6,1.9
G1,Short-grass,5Insect,Briza media,Sedge,53.66655937,0.147,42.5,1.94
G3,Short-grass,1Control,Briza media,Sedge,84.47767164,0.148,41.5,1.88
G1,Short-grass,1Control,Briza media,Sedge,69.32997497,0.127,42.2,1.91
G3,Short-grass,2Deer,Crepis aurea,Grass,112.1339335,0.122,41.4,1.87
G5,Short-grass,1Control,Carex caryophyllea,Sedge,102.8752874,0.142,41.9,1.89
G4,Short-grass,2Deer,Briza media,Sedge,68.28449514,0.138,43.9,1.97
G3,Short-grass,1Control,Crepis aurea,Grass,132.4572404,0.132,40.6,1.82
G1,Short-grass,3Marmot,Carex caryophyllea,Sedge,103.3815013,0.111,42.5,1.89
G5,Short-grass,3Marmot,Crepis aurea,Grass,130.9423347,0.145,41.9,1.85
G5,Short-grass,5Insect,Crepis aurea,Grass,187.3499373,0.172,41.7,1.84
G1,Short-grass,2Deer,Carex caryophyllea,Sedge,81.26819407,0.123,42.3,1.86
G5,Short-grass,4Mouse,Carex sempervirens,Grass,32.68937583,0.154,42.4,1.86
G3,Short-grass,2Deer,Briza media,Sedge,87.62604027,0.159,41.5,1.79
G5,Short-grass,3Marmot,Carex sempervirens,Grass,93.70817308,0.167,42.2,1.75
G4,Short-grass,3Marmot,Carex caryophyllea,Sedge,99.09249201,0.108,44,1.8
G5,Short-grass,3Marmot,Carex caryophyllea,Sedge,98.44701031,0.148,42.1,1.67
G5,Short-grass,2Deer,Carex caryophyllea,Sedge,101.1456265,0.114,42.2,1.65
G5,Short-grass,3Marmot,Crepis aurea,Grass,109.4841139,0.129,42.6,1.65
G5,Short-grass,4Mouse,Carex sempervirens,Grass,85.19186047,0.108,42.2,1.63
G5,Short-grass,1Control,Carex sempervirens,Grass,78.12352941,0.135,42.2,1.63
G5,Short-grass,4Mouse,Carex caryophyllea,Sedge,91.86150628,0.12,42.1,1.59
G5,Short-grass,2Deer,Crepis aurea,Grass,121.6452845,0.112,41.7,1.56
G5,Short-grass,4Mouse,Crepis aurea,Grass,146.1254019,0.114,42.4,1.58
G5,Short-grass,2Deer,Briza media,Sedge,82.02815249,0.14,42.5,1.58
G5,Short-grass,3Marmot,Briza media,Sedge,96.89370787,0.154,41.9,1.53
G5,Short-grass,1Control,Crepis aurea,Grass,141.590566,0.116,41.8,1.52
G5,Short-grass,2Deer,Carex sempervirens,Grass,6.768119266,0.122,41.9,1.49
G5,Short-grass,5Insect,Crepis aurea,Grass,100.4356098,0.116,42.6,1.43
G5,Short-grass,3Marmot,Carex sempervirens,Grass,NA,0.113,42.4,1.4
G5,Short-grass,5Insect,Carex sempervirens,Grass,74.92405745,0.123,42.3,1.33
G6,Short-grass,5Insect,Trifolium repens,Legume,210.2747508,0.204,42.4,5.13
G4,Short-grass,3Marmot,Carex sempervirens,Grass,NA,0.126,NA,NA
G5,Short-grass,4Mouse,Festuca rubra,Forb,148.5353659,0.166,NA,NA
G6,Short-grass,5Insect,Galium pumilum,Forb,192.0333333,0.227,NA,NA
G5,Short-grass,1Control,Briza media,Sedge,NA,0.135,NA,NA
G4,Short-grass,4Mouse,Festuca rubra,Forb,127.2587629,0.152,NA,NA
G5,Tall-grass,3Marmot,Carex sempervirens,Grass,75.12538226,0.107,41.8,1.33
G1,Tall-grass,3Marmot,Carex sempervirens,Grass,55.57188716,0.077,39.4,1.46
G6,Tall-grass,3Marmot,Carex sempervirens,Grass,67.53825301,0.133,42.6,1.51
G5,Tall-grass,4Mouse,Briza media,Sedge,95.37014134,0.123,42.3,1.52
G5,Tall-grass,4Mouse,Carex sempervirens,Grass,82.37449909,0.132,42.4,1.52
G1,Tall-grass,4Mouse,Crepis aurea,Grass,130.6464401,0.089,40.3,1.53
G5,Tall-grass,3Marmot,Briza media,Sedge,91.51479675,0.134,42,1.54
G5,Tall-grass,2Deer,Crepis aurea,Grass,124.1591288,0.112,41.9,1.55
G5,Tall-grass,5Insect,Briza media,Sedge,81.00116999,0.115,41.7,1.56
G5,Tall-grass,1Control,Briza media,Sedge,85.37361331,0.119,42.9,1.56
G5,Tall-grass,2Deer,Briza media,Sedge,92.97633659,0.15,41.9,1.57
G5,Tall-grass,3Marmot,Crepis aurea,Grass,110.1214712,0.104,41.7,1.57
G6,Tall-grass,2Deer,Carex sempervirens,Grass,72.46030151,0.132,42.4,1.57
G1,Tall-grass,4Mouse,Carex sempervirens,Grass,72.86744186,0.075,40.1,1.6
G5,Tall-grass,1Control,Briza media,Sedge,88.28749094,0.16,42.3,1.61
G2,Tall-grass,3Marmot,Carex sempervirens,Grass,66.72508772,0.112,40.8,1.63
G5,Tall-grass,2Deer,Carex sempervirens,Grass,96.0472,0.105,42.2,1.63
