Species,Site,AG_1500,Plant#,Leaf#,Larvae.Mass.mg
Barbarea_vulgaris,3,0.088452715,4,1,13.53
Barbarea_vulgaris,3,0.088452715,4,2,11.83
Barbarea_vulgaris,3,0.088452715,5,1,13.83
Barbarea_vulgaris,3,0.088452715,5,2,10.96
Barbarea_vulgaris,3,0.088452715,6,1,10.79
Barbarea_vulgaris,3,0.088452715,6,2,14.55
Barbarea_vulgaris,3,0.088452715,7,1,4.7
Barbarea_vulgaris,3,0.088452715,7,2,14.71
Barbarea_vulgaris,3,0.088452715,8,1,6.88
Barbarea_vulgaris,3,0.088452715,8,2,14.09
Barbarea_vulgaris,5,0.222661229,1,1,8.22
Barbarea_vulgaris,5,0.222661229,1,2,5.95
Barbarea_vulgaris,5,0.222661229,2,1,5.1
Barbarea_vulgaris,5,0.222661229,2,2,4.21
Barbarea_vulgaris,5,0.222661229,3,1,12.87
Barbarea_vulgaris,5,0.222661229,3,2,14.97
Barbarea_vulgaris,5,0.222661229,4,1,10.99
Barbarea_vulgaris,5,0.222661229,4,2,12.35
Barbarea_vulgaris,5,0.222661229,5,1,11.88
Barbarea_vulgaris,5,0.222661229,5,2,12.84
Barbarea_vulgaris,5,0.222661229,6,1,5.27
Barbarea_vulgaris,5,0.222661229,6,2,14.2
Barbarea_vulgaris,5,0.222661229,7a,1,14.19
Barbarea_vulgaris,5,0.222661229,7a,2,4.34
Barbarea_vulgaris,5,0.222661229,7b,1,14.31
Barbarea_vulgaris,5,0.222661229,7b,2,8.24
Barbarea_vulgaris,9,0.373948509,1,1,12.22
Barbarea_vulgaris,9,0.373948509,1,2,7.19
Barbarea_vulgaris,9,0.373948509,2,1,14.52
Barbarea_vulgaris,9,0.373948509,2,2,15.47
Barbarea_vulgaris,9,0.373948509,3,1,11.44
Barbarea_vulgaris,9,0.373948509,3,2,13.23
Barbarea_vulgaris,9,0.373948509,4,1,5.84
Barbarea_vulgaris,9,0.373948509,4,2,13.7
Barbarea_vulgaris,9,0.373948509,5,1,8.03
Barbarea_vulgaris,9,0.373948509,5,2,10.93
Barbarea_vulgaris,9,0.373948509,6,1,7.94
Barbarea_vulgaris,9,0.373948509,6,2,9.35
Barbarea_vulgaris,9,0.373948509,7,1,9.89
Barbarea_vulgaris,9,0.373948509,7,2,9.61
Barbarea_vulgaris,9,0.373948509,8,1,13.07
Barbarea_vulgaris,9,0.373948509,8,2,4.47
Barbarea_vulgaris,9,0.373948509,9,1,10.52
Barbarea_vulgaris,9,0.373948509,9,2,7.39
Barbarea_vulgaris,9,0.373948509,10,1,2.02
Barbarea_vulgaris,9,0.373948509,10,2,6.48
Barbarea_vulgaris,4,0.165773354,1,1,14.31
Barbarea_vulgaris,4,0.165773354,1,2,7.12
Barbarea_vulgaris,2,0.051961284,1a,1,10.07
Barbarea_vulgaris,2,0.051961284,1a,2,10.03
Barbarea_vulgaris,2,0.051961284,1b,1,9.84
Barbarea_vulgaris,2,0.051961284,1b,2,6.12
Barbarea_vulgaris,2,0.051961284,2a,1,11.3
Barbarea_vulgaris,2,0.051961284,2a,2,12.63
Barbarea_vulgaris,2,0.051961284,2b,1,5.13
Barbarea_vulgaris,2,0.051961284,2b,2,4.35
Barbarea_vulgaris,2,0.051961284,3,1,7.49
Barbarea_vulgaris,2,0.051961284,3,2,13.2
Barbarea_vulgaris,2,0.051961284,4,1,6.5
Barbarea_vulgaris,2,0.051961284,4,2,12.72
Barbarea_vulgaris,2,0.051961284,5,1,15.07
Barbarea_vulgaris,2,0.051961284,5,2,13.14
Barbarea_vulgaris,2,0.051961284,6,1,14.44
Barbarea_vulgaris,2,0.051961284,6,2,9.67
Barbarea_vulgaris,2,0.051961284,7,1,
Barbarea_vulgaris,2,0.051961284,7,2,10.88
Barbarea_vulgaris,6,0.33282189,3,1,8.36
Barbarea_vulgaris,6,0.33282189,3,2,
Barbarea_vulgaris,6,0.33282189,6,1,
Barbarea_vulgaris,6,0.33282189,6,2,5.44
Barbarea_vulgaris,6,0.33282189,7,1,7.34
Barbarea_vulgaris,6,0.33282189,7,2,7.64
Barbarea_vulgaris,6,0.33282189,8,1,4.89
Barbarea_vulgaris,6,0.33282189,8,2,5.73
Barbarea_vulgaris,6,0.33282189,9,1,9.26
Barbarea_vulgaris,6,0.33282189,9,2,4.88
Barbarea_vulgaris,6,0.33282189,10,1,2.13
Barbarea_vulgaris,6,0.33282189,10,2,10.38
Barbarea_vulgaris,6,0.33282189,11,1,12.05
Barbarea_vulgaris,6,0.33282189,11,2,12.76
Barbarea_vulgaris,6,0.33282189,12,1,12.41
Barbarea_vulgaris,6,0.33282189,12,2,2.89
