scrubbed_family,scrubbed_genus,scrubbed_species_binomial,trait_name,trait_value,unit,method,latitude,longitude,elevation_m,url_source,source_citation,project_pi,verbatim_family,verbatim_scientific_name,name_submitted,family_matched,name_matched,name_matched_author,higher_plant_group,tnrs_warning,matched_taxonomic_status,scrubbed_taxonomic_status,scrubbed_family.1,scrubbed_genus.1,scrubbed_specific_epithet,scrubbed_taxon_name_no_author,scrubbed_taxon_canonical,scrubbed_author,scrubbed_taxon_name_with_author,scrubbed_species_binomial_with_morphospecies,access,id
Cactaceae,Cumulopuntia,Cumulopuntia boliviana,leaf nitrogen content per leaf dry mass,8.35852806,mg.g-1,Total amount of N per unit of dry leaf mass - Cornelissen et al. 2003,-18.25667,-69.30472,4620,,,Cyrille Violle/Brian Enquist ,cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu,Opuntia ignescens Vaupel,Cactaceae Opuntia ignescens Vaupel,Cactaceae,Opuntia ignescens,Vaupel,flowering plants,,Synonym,Accepted,Cactaceae,Cumulopuntia,boliviana,Cumulopuntia boliviana,Cumulopuntia boliviana,(Salm-Dyck) F. Ritter,Cumulopuntia boliviana (Salm-Dyck) F. Ritter,Cumulopuntia boliviana,public,3111156
Cactaceae,Opuntia,Opuntia fragilis,plant flowering begin,7/5/1912,date,first-flowering time,,,,,"Travers, S.E., Dunnell, K.L. 2009. First-flowering dates of plants in the Northern Great Plains. Ecology 90:2332.",Steven Travers,steven.travers@ndsu.edu,Opuntia fragilis,Cactaceae Opuntia fragilis,Cactaceae,Opuntia fragilis,(Nutt.) Haw.,flowering plants,,Accepted,Accepted,Cactaceae,Opuntia,fragilis,Opuntia fragilis,Opuntia fragilis,(Nutt.) Haw.,Opuntia fragilis (Nutt.) Haw.,Opuntia fragilis,public,3115883
Cactaceae,Haageocereus,,leaf nitrogen content per leaf dry mass,18.05518307,mg.g-1,Total amount of N per unit of dry leaf mass - Cornelissen et al. 2003,-22.60444,-77.05083,2250,,,Cyrille Violle/Brian Enquist ,cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu,Haagocereus,Cactaceae Haagocereus,Cactaceae,Haageocereus,Backeb.,flowering plants,,Accepted,Accepted,Cactaceae,Haageocereus,,Haageocereus,Haageocereus,Backeb.,Haageocereus Backeb.,Haageocereus,public,3115881
Cactaceae,Echinocactus,Echinocactus horizonthalonius,seed mass,7.11,mg,data compilation; average of 1000 seeds,,,,http://www.kew.org/data/sid ,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H. 2008. Seed Information Database (release 7.1, May 2008) http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",sid@kew.org ,Echinocactus horizonthalonius,Echinocactus horizonthalonius,Cactaceae,Echinocactus horizonthalonius,Lem.,flowering plants,,Accepted,Accepted,Cactaceae,Echinocactus,horizonthalonius,Echinocactus horizonthalonius,Echinocactus horizonthalonius,Lem.,Echinocactus horizonthalonius Lem.,Echinocactus horizonthalonius,public,3116300
Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,seed mass,13.664,mg,data compilation; average of 1000 seeds,,,,http://www.kew.org/data/sid ,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H. 2008. Seed Information Database (release 7.1, May 2008) http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",sid@kew.org ,Opuntia acanthocarpa,Opuntia acanthocarpa,Cactaceae,Opuntia acanthocarpa,Engelm. & J.M. Bigelow,flowering plants,,Synonym,Accepted,Cactaceae,Cylindropuntia,acanthocarpa,Cylindropuntia acanthocarpa subsp. acanthocarpa,Cylindropuntia acanthocarpa acanthocarpa,,Cylindropuntia acanthocarpa subsp. acanthocarpa,Cylindropuntia acanthocarpa subsp. acanthocarpa,public,3116971
Cactaceae,Opuntia,Opuntia occidentalis,seed mass,12.655,mg,data compilation; average of 1000 seeds,,,,http://www.kew.org/data/sid ,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H. 2008. Seed Information Database (release 7.1, May 2008) http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",sid@kew.org ,Opuntia occidentalis,Opuntia occidentalis,Cactaceae,Opuntia occidentalis,Engelm. & J.M. Bigelow,flowering plants,,No opinion,No opinion,Cactaceae,Opuntia,occidentalis,Opuntia occidentalis,Opuntia occidentalis,,Opuntia occidentalis,Opuntia occidentalis,public,3117017
Cactaceae,Opuntia,Opuntia polyacantha,flower color,Pink,,,,,,,Brian_J_Enquist_3,,,Opuntia polyacantha,Cactaceae Opuntia polyacantha,Cactaceae,Opuntia polyacantha,Haw.,flowering plants,,Accepted,Accepted,Cactaceae,Opuntia,polyacantha,Opuntia polyacantha,Opuntia polyacantha,Haw.,Opuntia polyacantha Haw.,Opuntia polyacantha,public,3118550
Cactaceae,Opuntia,Opuntia engelmannii,whole plant dispersal syndrome,abiotic,,,,,,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6,"Bezeng BS, Davies TJ, Yessoufou K, Maurin O, Van der Bank M (2015) Revisiting DarwinÂs naturalization conundrum: explaining invasion success of non-native trees and shrubs in southern Africa. Journal of Ecology 103(4): 871-879. http://dx.doi.org/10.1111/1365-2745.12410",Bezeng BS,bezengsimmy@gmail.com,Opuntia engelmannii,Opuntia engelmannii,Cactaceae,Opuntia engelmannii,Salm-Dyck,flowering plants,,Accepted,Accepted,Cactaceae,Opuntia,engelmannii,Opuntia engelmannii,Opuntia engelmannii,Salm-Dyck,Opuntia engelmannii Salm-Dyck,Opuntia engelmannii,public,3121406
Cactaceae,Opuntia,Opuntia fragilis,seed mass,20.85,mg,data compilation; average of 1000 seeds,,,,http://www.kew.org/data/sid ,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H. 2008. Seed Information Database (release 7.1, May 2008) http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",sid@kew.org ,Opuntia fragilis,Opuntia fragilis,Cactaceae,Opuntia fragilis,(Nutt.) Haw.,flowering plants,,Accepted,Accepted,Cactaceae,Opuntia,fragilis,Opuntia fragilis,Opuntia fragilis,(Nutt.) Haw.,Opuntia fragilis (Nutt.) Haw.,Opuntia fragilis,public,3131577
Cactaceae,Opuntia,Opuntia xvaseyi,seed mass,4.859,mg,data compilation; average of 1000 seeds,,,,http://www.kew.org/data/sid ,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H. 2008. Seed Information Database (release 7.1, May 2008) http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",sid@kew.org ,Opuntia vaseyi,Opuntia vaseyi,Cactaceae,Opuntia vaseyi,"(J.M. Coult.) Britton & Rose, database artifact",flowering plants,,Synonym,Accepted,Cactaceae,Opuntia,xvaseyi,Opuntia xvaseyi,Opuntia xvaseyi,(J.M. Coult.) Britton & Rose,Opuntia xvaseyi (J.M. Coult.) Britton & Rose,Opuntia xvaseyi,public,3131979
Cactaceae,Cylindropuntia,Cylindropuntia leptocaulis,flower color,Yellow,,,,,,,Brian_J_Enquist_2,,,Opuntia leptocaulis,Cactaceae Opuntia leptocaulis,Cactaceae,Opuntia leptocaulis,DC.,flowering plants,,Synonym,Accepted,Cactaceae,Cylindropuntia,leptocaulis,Cylindropuntia leptocaulis,Cylindropuntia leptocaulis,(DC.) F.M. Knuth,Cylindropuntia leptocaulis (DC.) F.M. Knuth,Cylindropuntia leptocaulis,public,3145742
Cactaceae,Cylindropuntia,Cylindropuntia arbuscula,flower color,Yellow,,,,,,,Brian_J_Enquist_2,,,Opuntia arbuscula,Cactaceae Opuntia arbuscula,Cactaceae,Opuntia arbuscula,Engelm.,flowering plants,,Synonym,Accepted,Cactaceae,Cylindropuntia,arbuscula,Cylindropuntia arbuscula,Cylindropuntia arbuscula,(Engelm.) F.M. Knuth,Cylindropuntia arbuscula (Engelm.) F.M. Knuth,Cylindropuntia arbuscula,public,3145777
Cactaceae,Carnegiea,Carnegiea gigantea,seed mass,1.330093,mg,data compilation; average of 1000 seeds,,,,http://www.kew.org/data/sid ,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H. 2008. Seed Information Database (release 7.1, May 2008) http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",sid@kew.org ,Cereus giganteus,Cereus giganteus,Cactaceae,Cereus giganteus,Engelm.,flowering plants,,Synonym,Accepted,Cactaceae,Carnegiea,gigantea,Carnegiea gigantea,Carnegiea gigantea,(Engelm.) Britton & Rose,Carnegiea gigantea (Engelm.) Britton & Rose,Carnegiea gigantea,public,3142760
Cactaceae,Carnegiea,Carnegiea gigantea,seed mass,1.330093,mg,data compilation; average of 1000 seeds,,,,http://www.kew.org/data/sid ,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H. 2008. Seed Information Database (release 7.1, May 2008) http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",sid@kew.org ,Cereus giganteus,Cereus giganteus,Cactaceae,Cereus giganteus,Engelm.,flowering plants,,Synonym,Accepted,Cactaceae,Carnegiea,gigantea,Carnegiea gigantea,Carnegiea gigantea,(Engelm.) Britton & Rose,Carnegiea gigantea (Engelm.) Britton & Rose,Carnegiea gigantea,public,3142902
Cactaceae,Carnegiea,Carnegiea gigantea,seed mass,1.3,mg,data compilation; average of 1000 seeds,,,,http://www.kew.org/data/sid ,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H. 2008. Seed Information Database (release 7.1, May 2008) http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",sid@kew.org ,Cereus giganteus,Cereus giganteus,Cactaceae,Cereus giganteus,Engelm.,flowering plants,,Synonym,Accepted,Cactaceae,Carnegiea,gigantea,Carnegiea gigantea,Carnegiea gigantea,(Engelm.) Britton & Rose,Carnegiea gigantea (Engelm.) Britton & Rose,Carnegiea gigantea,public,3142938
Cactaceae,Carnegiea,Carnegiea gigantea,seed mass,1.007983,mg,data compilation; average of 1000 seeds,,,,http://www.kew.org/data/sid ,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H. 2008. Seed Information Database (release 7.1, May 2008) http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",sid@kew.org ,Cereus giganteus,Cereus giganteus,Cactaceae,Cereus giganteus,Engelm.,flowering plants,,Synonym,Accepted,Cactaceae,Carnegiea,gigantea,Carnegiea gigantea,Carnegiea gigantea,(Engelm.) Britton & Rose,Carnegiea gigantea (Engelm.) Britton & Rose,Carnegiea gigantea,public,3142952
Cactaceae,Carnegiea,Carnegiea gigantea,seed mass,1.007,mg,data compilation; average of 1000 seeds,,,,http://www.kew.org/data/sid ,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H. 2008. Seed Information Database (release 7.1, May 2008) http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",sid@kew.org ,Cereus giganteus,Cereus giganteus,Cactaceae,Cereus giganteus,Engelm.,flowering plants,,Synonym,Accepted,Cactaceae,Carnegiea,gigantea,Carnegiea gigantea,Carnegiea gigantea,(Engelm.) Britton & Rose,Carnegiea gigantea (Engelm.) Britton & Rose,Carnegiea gigantea,public,3142967
Cactaceae,Cereus,Cereus validus,whole plant woodiness,woody,,,,,,http://datadryad.org/resource/doi:10.5061/dryad.63q27.2,"Zanne AE, Tank DC, Cornwell WK, Eastman JM, Smith SA, FitzJohn RG, McGlinn DJ, O'Meara BC, Moles AT, Reich PB, Royer DL, Soltis DE, Stevens PF, Westoby M, Wright IJ, Aarssen L, Bertin RI, Calaminus A, Govaerts R, Hemmings F, Leishman MR, Oleksyn J, Soltis PS, Swenson NG, Warman L, Beaulieu JM, Ordonez A (2014) Three keys to the radiation of angiosperms into freezing environments. Nature 506(7486): 89Â92. http://dx.doi.org/10.1038/nature12872",Zanne AE,aezanne@gmail.com,Cereus validus,Cereus validus,Cactaceae,Cereus validus,Haw.,flowering plants,,Accepted,Accepted,Cactaceae,Cereus,validus,Cereus validus,Cereus validus,Haw.,Cereus validus Haw.,Cereus validus,public,3142968
Cactaceae,Corryocactus,Corryocactus brevistylus,whole plant woodiness,woody,,,,,,http://datadryad.org/resource/doi:10.5061/dryad.63q27.2,"Zanne AE, Tank DC, Cornwell WK, Eastman JM, Smith SA, FitzJohn RG, McGlinn DJ, O'Meara BC, Moles AT, Reich PB, Royer DL, Soltis DE, Stevens PF, Westoby M, Wright IJ, Aarssen L, Bertin RI, Calaminus A, Govaerts R, Hemmings F, Leishman MR, Oleksyn J, Soltis PS, Swenson NG, Warman L, Beaulieu JM, Ordonez A (2014) Three keys to the radiation of angiosperms into freezing environments. Nature 506(7486): 89Â92. http://dx.doi.org/10.1038/nature12872",Zanne AE,aezanne@gmail.com,Corryocactus brevistylus,Corryocactus brevistylus,Cactaceae,Corryocactus brevistylus,(K. Schum. ex Vaupel) Britton & Rose,flowering plants,,Accepted,Accepted,Cactaceae,Corryocactus,brevistylus,Corryocactus brevistylus,Corryocactus brevistylus,(K. Schum. ex Vaupel) Britton & Rose,Corryocactus brevistylus (K. Schum. ex Vaupel) Britton & Rose,Corryocactus brevistylus,public,3144081
Cactaceae,Cereus,Cereus validus,maximum whole plant height,4.15,m,,,,,,Leishman via pers comm with Sandra Diaz,Angela Moles,a.moles@unsw.edu.au,Cereus validus ,Cactaceae Cereus validus,Cactaceae,Cereus validus,Haw.,flowering plants,,Accepted,Accepted,Cactaceae,Cereus,validus,Cereus validus,Cereus validus,Haw.,Cereus validus Haw.,Cereus validus,public,3144334
Cactaceae,Gymnocalycium,,maximum whole plant height,0.065,m,,,,,,Leishman via pers comm with Sandra Diaz,Angela Moles,a.moles@unsw.edu.au,Gymnocalycium sp. ,Cactaceae Gymnocalycium sp.,Cactaceae,Gymnocalycium,Pfeiff. ex Mittler,flowering plants,,Accepted,Accepted,Cactaceae,Gymnocalycium,,Gymnocalycium,Gymnocalycium,Pfeiff. ex Mittler,Gymnocalycium Pfeiff. ex Mittler,Gymnocalycium sp.,public,3144335
Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,maximum whole plant height,0.72,m,,,,,,"Nobel, P. S. and E. G. Bobich 2002 Plant frequency, stem and root characteristics, and CO2 uptake for Opuntia acanthocarpa: Elevational correlates in the northwestern Sonoran Desert. Oecologia 130 2 165-172",Angela Moles,a.moles@unsw.edu.au,Opuntia acanthocarpa,Cactaceae Opuntia acanthocarpa,Cactaceae,Opuntia acanthocarpa,Engelm. & J.M. Bigelow,flowering plants,,Synonym,Accepted,Cactaceae,Cylindropuntia,acanthocarpa,Cylindropuntia acanthocarpa subsp. acanthocarpa,Cylindropuntia acanthocarpa acanthocarpa,,Cylindropuntia acanthocarpa subsp. acanthocarpa,Cylindropuntia acanthocarpa subsp. acanthocarpa,public,3144354
Cactaceae,Opuntia,Opuntia macrocentra,flower color,Yellow,,,,,,,Brian_J_Enquist,,,Opuntia macrocentra,Cactaceae Opuntia macrocentra,Cactaceae,Opuntia macrocentra,Engelm.,flowering plants,,Accepted,Accepted,Cactaceae,Opuntia,macrocentra,Opuntia macrocentra,Opuntia macrocentra,Engelm.,Opuntia macrocentra Engelm.,Opuntia macrocentra,public,3144565
Cactaceae,Ferocactus,Ferocactus fordii,flower color,Pink,,,,,,,Brian_J_Enquist,,,Ferocactus fordii,Cactaceae Ferocactus fordii,Cactaceae,Ferocactus fordii,(Orcutt) Britton & Rose,flowering plants,,Accepted,Accepted,Cactaceae,Ferocactus,fordii,Ferocactus fordii,Ferocactus fordii,(Orcutt) Britton & Rose,Ferocactus fordii (Orcutt) Britton & Rose,Ferocactus fordii,public,3144644
Cactaceae,Echinocereus,Echinocereus fendleri,flower color,Purple,,,,,,,Brian_J_Enquist_3,,,Echinocereus fendleri,Cactaceae Echinocereus fendleri,Cactaceae,Echinocereus fendleri,(Engelm.) Sencke ex J.N. Haage,flowering plants,,Accepted,Accepted,Cactaceae,Echinocereus,fendleri,Echinocereus fendleri,Echinocereus fendleri,(Engelm.) Sencke ex J.N. Haage,Echinocereus fendleri (Engelm.) Sencke ex J.N. Haage,Echinocereus fendleri,public,3144977
Cactaceae,Cylindropuntia,Cylindropuntia imbricata,flower color,Purple,,,,,,,Brian_J_Enquist,,,Cylindropuntia imbricata,Cactaceae Cylindropuntia imbricata,Cactaceae,Cylindropuntia imbricata,(Haw.) F.M. Knuth,flowering plants,,Accepted,Accepted,Cactaceae,Cylindropuntia,imbricata,Cylindropuntia imbricata,Cylindropuntia imbricata,(Haw.) F.M. Knuth,Cylindropuntia imbricata (Haw.) F.M. Knuth,Cylindropuntia imbricata,public,3145256
Cactaceae,Cereus,Cereus robinii,whole plant height,7.0104,m,Maximum height,,,,http://www.americanforests.org/resources/bigtrees/register.php,,,,Cereus robinii var. robinii,Cereus robinii var. robinii,Cactaceae,Cereus robinii var. robinii,,flowering plants,,Accepted,Accepted,Cactaceae,Cereus,robinii,Cereus robinii var. robinii,Cereus robinii robinii,,Cereus robinii var. robinii,Cereus robinii var. robinii,public,3147756
Cactaceae,Carnegiea,Carnegiea gigantea,whole plant height,11.2776,m,Maximum height,,,,http://www.americanforests.org/resources/bigtrees/register.php,,,,Cereus giganteus,Cereus giganteus,Cactaceae,Cereus giganteus,Engelm.,flowering plants,,Synonym,Accepted,Cactaceae,Carnegiea,gigantea,Carnegiea gigantea,Carnegiea gigantea,(Engelm.) Britton & Rose,Carnegiea gigantea (Engelm.) Britton & Rose,Carnegiea gigantea,public,3148822
Cactaceae,Opuntia,Opuntia polyacantha,plant flowering begin,7/21/1938,date,first-flowering time,,,,,"Travers, S.E., Dunnell, K.L. 2009. First-flowering dates of plants in the Northern Great Plains. Ecology 90:2332.",Steven Travers,steven.travers@ndsu.edu,Opuntia polycantha,Cactaceae Opuntia polycantha,Cactaceae,Opuntia polyacantha,Haw.,flowering plants,,Accepted,Accepted,Cactaceae,Opuntia,polyacantha,Opuntia polyacantha,Opuntia polyacantha,Haw.,Opuntia polyacantha Haw.,Opuntia polyacantha,public,3153008
Cactaceae,Echinopsis,Echinopsis spachiana,whole plant sexual system,Hermaphrodite,,,,,,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6,"Bezeng BS, Davies TJ, Yessoufou K, Maurin O, Van der Bank M (2015) Revisiting DarwinÂs naturalization conundrum: explaining invasion success of non-native trees and shrubs in southern Africa. Journal of Ecology 103(4): 871-879. http://dx.doi.org/10.1111/1365-2745.12410",Bezeng BS,bezengsimmy@gmail.com,Echinopsis spachiana,Echinopsis spachiana,Cactaceae,Echinopsis spachiana,(Lem.) Friedrich & G.D.Rowley,flowering plants,,Accepted,Accepted,Cactaceae,Echinopsis,spachiana,Echinopsis spachiana,Echinopsis spachiana,(Lem.) Friedrich & G.D.Rowley,Echinopsis spachiana (Lem.) Friedrich & G.D.Rowley,Echinopsis spachiana,public,3153864
Cactaceae,Neoraimondia,Neoraimondia herzogiana,stem wood density,0.54,g.cm-3,,,,,http://datadryad.org/resource/doi:10.5061/dryad.234,"Chave J, Coomes DA, Jansen S, Lewis SL, Swenson NG, Zanne AE (2009) Towards a worldwide wood economics spectrum. Ecology Letters 12(4): 351-366. http://dx.doi.org/10.1111/j.1461-0248.2009.01285.x",Lopez-Gonzalez G,G.Lopez-Gonzalez@leeds.ac.uk,Neoraimondia herzogiana,Neoraimondia herzogiana,Cactaceae,Neoraimondia herzogiana,(Backeb.) Buxb. & Krainz,flowering plants,,Accepted,Accepted,Cactaceae,Neoraimondia,herzogiana,Neoraimondia herzogiana,Neoraimondia herzogiana,(Backeb.) Buxb. & Krainz,Neoraimondia herzogiana (Backeb.) Buxb. & Krainz,Neoraimondia herzogiana,public,3166567
Cactaceae,Opuntia,Opuntia engelmannii,flower pollination syndrome,biotic,,,,,,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6,"Bezeng BS, Davies TJ, Yessoufou K, Maurin O, Van der Bank M (2015) Revisiting DarwinÂs naturalization conundrum: explaining invasion success of non-native trees and shrubs in southern Africa. Journal of Ecology 103(4): 871-879. http://dx.doi.org/10.1111/1365-2745.12410",Bezeng BS,bezengsimmy@gmail.com,Opuntia engelmannii,Opuntia engelmannii,Cactaceae,Opuntia engelmannii,Salm-Dyck,flowering plants,,Accepted,Accepted,Cactaceae,Opuntia,engelmannii,Opuntia engelmannii,Opuntia engelmannii,Salm-Dyck,Opuntia engelmannii Salm-Dyck,Opuntia engelmannii,public,3167417
